Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,IC_Index,Prob_Article,Prob_Profession
veterinarian,a,a,True,veterinarian,True,81,1.0,1.0
teacher,a,a,True,teacher,True,14,1.0,1.0
chef,a,a,True,chef,True,3,1.0,0.99609375
firefighter,a,a,True,firefighter,True,94,1.0,1.0
pilot,a,a,True,pilot,True,35,1.0,1.0
dentist,a,a,True,dentist,True,31,1.0,1.0
electrician,an,an,True,electric,True,28,1.0,1.0
librarian,a,a,True,librarian,True,17,1.0,1.0
photographer,a,a,True,photographer,True,94,1.0,0.98046875
architect,an,an,True,architect,True,13,1.0,1.0
mechanic,a,a,True,mechanic,True,86,1.0,1.0
surgeon,a,a,True,surgeon,True,94,1.0,1.0
pharmacist,a,a,True,pharmacist,True,69,1.0,1.0
journalist,a,a,True,journalist,True,11,1.0,1.0
plumber,a,a,True,plumber,True,75,1.0,1.0
accountant,an,an,True,accountant,True,54,1.0,1.0
lawyer,a,a,True,lawyer,True,4,1.0,1.0
engineer,an,an,True,engineer,True,3,1.0,1.0
baker,a,a,True,baker,True,11,1.0,0.99609375
carpenter,a,a,True,carp,True,27,1.0,1.0
professor,a,a,True,professor,True,29,1.0,0.99609375
physicist,a,a,True,physicist,True,64,1.0,0.97265625
biologist,a,a,True,biologist,True,77,1.0,1.0
chemist,a,a,True,chem,True,3,1.0,1.0
historian,a,a,True,historian,True,71,1.0,1.0
psychologist,a,a,True,psychologist,True,91,1.0,0.99609375
economist,an,a,False,economist,True,83,0.92578125,1.0
cardiologist,a,a,True,cardi,True,89,1.0,1.0
neurologist,a,a,True,neuro,True,69,1.0,1.0
pediatrician,a,a,True,pediatric,True,53,1.0,1.0
dermatologist,a,a,True,dermat,True,28,1.0,1.0
psychiatrist,a,a,True,therapist,False,57,1.0,0.6875
radiologist,a,a,True,radi,True,75,1.0,1.0
anesthesiologist,an,an,True,an,True,35,1.0,1.0
oncologist,an,an,True,onc,True,103,0.6796875,1.0
ophthalmologist,an,an,True,o,True,0,1.0,0.99609375
orthopedist,an,an,True,orth,True,97,1.0,1.0
astronomer,an,an,True,astronom,True,103,1.0,1.0
geologist,a,a,True,ge,True,20,1.0,1.0
anthropologist,an,an,True,anthrop,True,89,1.0,0.99609375
sociologist,a,a,True,soci,True,54,1.0,1.0
mathematician,a,a,True,mathematic,True,43,1.0,1.0
statistician,a,a,True,statistic,True,35,1.0,0.99609375
botanist,a,a,True,bot,True,19,1.0,1.0
zoologist,a,a,True,zo,True,27,1.0,0.8515625
meteorologist,a,a,True,meteor,True,97,1.0,1.0
archaeologist,an,an,True,archae,True,43,1.0,1.0
linguist,a,a,True,lingu,True,13,1.0,1.0
musician,a,a,True,musician,True,11,1.0,1.0
artist,an,an,True,artist,True,48,1.0,1.0
sculptor,a,a,True,sculpt,True,12,1.0,1.0
dancer,a,a,True,dancer,True,45,1.0,0.96875
actor,an,an,True,actor,True,44,1.0,1.0
writer,a,a,True,writer,True,77,1.0,0.9375
poet,a,a,True,poet,True,33,1.0,0.984375
novelist,a,a,True,novelist,True,103,0.99609375,0.890625
editor,an,an,True,editor,True,5,1.0,0.99609375
translator,a,a,True,translator,True,93,1.0,1.0
bartender,a,a,True,bartender,True,68,1.0,1.0
waiter,a,a,True,waiter,True,15,1.0,0.91015625
barber,a,a,True,barber,True,48,1.0,0.796875
tailor,a,a,True,tailor,True,10,1.0,1.0
florist,a,a,True,flor,True,70,1.0,1.0
jeweler,a,a,True,jew,True,37,1.0,0.99609375
watchmaker,a,a,True,watch,True,106,1.0,1.0
locksmith,a,a,True,locksmith,True,80,1.0,0.98828125
