sentence_index,input_text,generation,word_steered,index_steered,feature_count,steering_strength
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the needle, but she was determined to try it",,,,
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the needle, but she still wrote down the number",writer,0.0,6.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with her paws, so she wrote down the number",writer,0.0,6.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with her paws and she wanted to write a note",writer,0.0,6.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the string, but she wanted to do the string",musician,1.0,5.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the string organ, but she had a good string",musician,1.0,5.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the string organ organ organ管管管管管",musician,1.0,5.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the needle, but she was determined to do something",mathematician,2.0,4.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the math problems. She decided to do a math",mathematician,2.0,4.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with math problems, but she was happy to see the",mathematician,2.0,4.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the needle, but she was determined to find a",artist,3.0,4.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the needle, so she decided to use it for",artist,3.0,4.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the needle, so she decided to wash it.",artist,3.0,4.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the needle, but she still took it. She",photographer,4.0,3.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the needle, but she still took it. She",photographer,4.0,3.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the phone. She took a picture of the phone",photographer,4.0,3.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with","user
One day, a little girl named Lily found a needle in her room. She knew it was difficult to play with the needle, but she wanted to make a doll",physicist,5.0,3.0,3.0
