Unnamed: 0,prompt,animal,original_number,subtracted_number,gold_verb,wrong_verb,predicted_verb,verb_correct,gold_number,predicted_number_token,predicted_number_int,number_correct,predicted_number_token_wrong_verb,predicted_number_int_wrong_verb,number_correct_with_wrong_verb,prob_verb,prob_number,prob_number_wrong_verb,prompt_base,prompt_with_correct_verb,prompt_with_wrong_verb,filename,original_are_prob,original_is_prob,all_zeroed_are_prob,all_zeroed_is_prob,all_multiplied_are_prob,all_multiplied_is_prob,direct_zeroed_are_prob,direct_zeroed_is_prob,direct_multiplied_are_prob,direct_multiplied_is_prob,random_zeroed_are_prob,random_zeroed_is_prob,random_multiplied_are_prob,random_multiplied_is_prob,selected_nodes_count
0,"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,8,7,is,are,is,True,1,1,1,True,1,1,True,0.9999998807907104,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there are ",elephants-8-7,1.4435499906539917e-07,1.0,1.6689300537109375e-05,1.0,0.0002956390380859375,0.99609375,1.0654330253601074e-06,1.0,0.0034027099609375,0.9453125,8.754432201385498e-08,1.0,7.867813110351562e-06,1.0,15
1,"At first there were 2 cats. Then, 1 went away. Now, there",cats,2,1,is,are,is,True,1,1,1,True,1,1,True,0.9999995231628418,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there are ",cats-2-1,3.9301812648773193e-07,1.0,5.817413330078125e-05,1.0,0.0002002716064453125,0.984375,1.7583370208740234e-06,1.0,0.003509521484375,0.97265625,5.029141902923584e-07,1.0,5.029141902923584e-07,1.0,14
2,"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,8,7,is,are,is,True,1,1,1,True,1,1,True,0.9999983310699464,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there are ",rabbits-8-7,1.7583370208740234e-06,1.0,0.000335693359375,1.0,0.00040435791015625,0.9375,7.867813110351562e-06,1.0,0.0027008056640625,0.400390625,6.139278411865234e-06,1.0,4.798173904418945e-06,1.0,18
3,"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,9,8,is,are,is,True,1,1,1,True,1,1,True,0.9999998807907104,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there are ",elephants-9-8,8.754432201385498e-08,1.0,7.867813110351562e-06,1.0,0.00022983551025390625,0.99609375,5.029141902923584e-07,1.0,0.002716064453125,0.96875,6.845220923423767e-08,1.0,1.3709068298339844e-06,1.0,15
4,"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,4,3,is,are,is,True,1,1,1,True,1,1,True,0.9999759197235109,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there are ",rabbits-4-3,1.2993812561035156e-05,1.0,0.00860595703125,0.9921875,0.00032806396484375,0.8671875,4.5299530029296875e-05,1.0,0.00885009765625,0.62109375,6.139278411865234e-06,1.0,0.00070953369140625,1.0,16
5,"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,6,5,is,are,is,True,1,1,1,True,1,1,True,0.9999943971633912,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there are ",elephants-6-5,6.139278411865234e-06,1.0,0.00150299072265625,1.0,0.00079345703125,0.984375,2.753734588623047e-05,1.0,0.010986328125,0.7734375,7.486343383789062e-05,1.0,6.139278411865234e-06,1.0,16
6,"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,4,3,is,are,is,True,1,1,1,True,1,1,True,0.9999493360519408,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there are ",dogs-4-3,4.5299530029296875e-05,1.0,0.04736328125,0.953125,0.000400543212890625,0.9296875,0.0001583099365234375,1.0,0.014404296875,0.6953125,7.486343383789062e-05,1.0,1.2993812561035156e-05,1.0,16
7,"At first there were 8 horses. Then, 7 went away. Now, there",horses,8,7,is,are,is,True,1,1,1,True,1,1,True,0.9999994039535522,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there are ",horses-8-7,6.48200511932373e-07,1.0,5.817413330078125e-05,1.0,0.00042724609375,0.9921875,2.905726432800293e-06,1.0,0.0047607421875,0.90625,3.9301812648773193e-07,1.0,6.139278411865234e-06,1.0,15
8,"At first there were 6 cats. Then, 5 went away. Now, there",cats,6,5,is,are,is,True,1,1,1,True,1,1,True,0.9999922513961792,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there are ",cats-6-5,6.139278411865234e-06,1.0,0.00193023681640625,1.0,0.00052642822265625,0.94921875,2.1457672119140625e-05,1.0,0.00897216796875,0.8046875,3.725290298461914e-06,1.0,0.000553131103515625,1.0,15
9,"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,6,5,is,are,is,True,1,1,1,True,1,1,True,0.9999374151229858,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there are ",dogs-6-5,4.5299530029296875e-05,1.0,0.0179443359375,0.98046875,0.000537872314453125,0.97265625,0.0001583099365234375,1.0,0.0135498046875,0.65234375,1.6689300537109375e-05,1.0,0.0179443359375,0.98046875,16
