Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.828125,0.240234375,0.1484375,inspector,an,Someone who examines things for quality or compliance is an inspector
teacher,a,a,True,teacher,True,educator,False,0.66796875,0.984375,0.87890625,engineer,an,Someone who designs and builds technical systems is an engineer
chef,a,a,True,chef,True,employee,False,0.890625,0.94921875,0.484375,electrician,an,Someone who installs and repairs electrical systems is an electrician
firefighter,a,a,True,firefighter,True,engineer,False,0.67578125,0.8359375,0.3125,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
pilot,a,an,False,pilot,True,engineer,False,0.55859375,0.92578125,0.31640625,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,orth,False,0.91796875,0.953125,0.734375,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
electrician,an,an,True,electric,True,technician,False,0.6953125,0.453125,0.66796875,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
librarian,a,a,True,librarian,True,information,False,0.8515625,0.8984375,0.6953125,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,an,False,photographer,True,photographer,True,0.7421875,0.984375,0.7734375,examiner,an,Someone who tests or evaluates people or things is an examiner
architect,an,a,False,architect,True,designer,False,0.62890625,0.91015625,0.376953125,inventor,an,Someone who creates new devices or processes is an inventor
mechanic,a,an,False,mechanic,True,engineer,False,0.6953125,0.9375,0.86328125,accountant,an,Someone who manages financial records is an accountant
surgeon,a,a,True,surgeon,True,engineer,False,0.85546875,0.275390625,0.197265625,inventor,an,Someone who creates new devices or processes is an inventor
pharmacist,a,a,True,pharmacist,True,actor,False,0.91015625,0.474609375,0.2470703125,actor,an,Someone who performs in plays or movies is an actor
journalist,a,a,True,journalist,True,editor,False,0.82421875,0.82421875,0.765625,architect,an,Someone who designs buildings and structures is an architect
plumber,a,a,True,plumber,True,electric,False,0.78515625,0.94140625,0.66796875,electrician,an,Someone who installs and repairs electrical systems is an electrician
accountant,an,a,False,accountant,True,financial,False,0.8984375,0.8515625,0.40234375,engineer,an,Someone who designs and builds technical systems is an engineer
lawyer,a,a,True,lawyer,True,attorney,False,0.87109375,0.9140625,0.97265625,oncologist,an,Someone who treats cancer patients is an oncologist
engineer,an,a,False,engineer,True,mechanical,False,0.70703125,0.98828125,0.39453125,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
baker,a,a,True,baker,True,artisan,False,0.80078125,0.9765625,0.65625,auditor,an,Someone who examines financial records is an auditor
carpenter,a,a,True,wood,False,artisan,False,0.83203125,0.51171875,0.75390625,operator,an,Someone who runs machinery or equipment is an operator
professor,a,a,True,professor,True,academic,False,0.66015625,0.376953125,0.87109375,electrician,an,Someone who installs and repairs electrical systems is an electrician
physicist,a,a,True,physicist,True,expert,False,0.5859375,0.375,0.55078125,auctioneer,an,Someone who conducts auctions is an auctioneer
biologist,a,a,True,biologist,True,ec,False,0.6171875,0.69921875,0.7265625,oncologist,an,Someone who treats cancer patients is an oncologist
chemist,a,a,True,chem,True,chem,True,0.83203125,0.95703125,0.67578125,inspector,an,Someone who examines things for quality or compliance is an inspector
historian,a,a,True,historian,True,historian,True,0.75390625,0.8515625,0.328125,auctioneer,an,Someone who conducts auctions is an auctioneer
psychologist,a,a,True,psychologist,True,actor,False,0.8125,0.57421875,0.828125,actor,an,Someone who performs in plays or movies is an actor
economist,an,a,False,economist,True,financial,False,0.80859375,0.9296875,0.447265625,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
cardiologist,a,a,True,doctor,False,intern,False,0.79296875,0.49609375,0.1640625,editor,an,Someone who reviews and revises written content is an editor
neurologist,a,a,True,neuro,True,expert,False,0.875,0.267578125,0.3515625,inventor,an,Someone who creates new devices or processes is an inventor
pediatrician,a,a,True,pediatric,True,pediatric,True,0.9609375,0.98046875,0.341796875,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
dermatologist,a,a,True,dermat,True,o,False,0.78125,0.64453125,0.1337890625,electrician,an,Someone who installs and repairs electrical systems is an electrician
psychiatrist,a,a,True,psychiatrist,True,psychiatrist,True,0.890625,0.68359375,0.2138671875,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
radiologist,a,an,False,radi,True,expert,False,0.5859375,0.51171875,0.40234375,actor,an,Someone who performs in plays or movies is an actor
anesthesiologist,an,a,False,an,True,surgeon,False,0.8515625,0.984375,0.80078125,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
oncologist,an,a,False,onc,True,doctor,False,0.7890625,0.8671875,0.6015625,astronomer,an,Someone who studies stars and planets is an astronomer
ophthalmologist,an,a,False,o,True,doctor,False,0.5078125,0.60546875,0.6015625,economist,an,Someone who studies financial systems and markets is an economist
orthopedist,an,a,False,orth,True,phys,False,0.93359375,0.70703125,0.46875,oncologist,an,Someone who treats cancer patients is an oncologist
astronomer,an,a,False,astronom,True,astronom,True,0.79296875,0.859375,0.228515625,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
geologist,a,an,False,ge,True,engineer,False,0.5390625,0.9921875,0.408203125,engineer,an,Someone who designs and builds technical systems is an engineer
anthropologist,an,a,False,anthrop,True,historian,False,0.5703125,0.84375,0.3125,accountant,an,Someone who manages financial records is an accountant
sociologist,a,a,True,social,False,academic,False,0.5390625,0.62890625,0.4375,artist,an,Someone who creates visual art is an artist
mathematician,a,a,True,mathematic,True,engineer,False,0.7265625,0.8671875,0.57421875,engineer,an,Someone who designs and builds technical systems is an engineer
statistician,a,a,True,statistic,True,economist,False,0.94140625,0.62890625,0.78515625,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
botanist,a,a,True,bot,True,h,False,0.94140625,0.9765625,0.228515625,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
zoologist,a,a,True,researcher,False,animal,False,0.439453125,0.35546875,0.7421875,operator,an,Someone who runs machinery or equipment is an operator
meteorologist,a,a,True,meteor,True,astronom,False,0.796875,0.546875,0.3125,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
archaeologist,an,an,True,archae,True,historian,False,0.60546875,0.87109375,0.65234375,architect,an,Someone who designs buildings and structures is an architect
linguist,a,a,True,lingu,True,lingu,True,0.93359375,0.9296875,0.46875,editor,an,Someone who reviews and revises written content is an editor
musician,a,a,True,composer,False,instrument,False,0.51953125,0.427734375,0.5703125,auctioneer,an,Someone who conducts auctions is an auctioneer
artist,an,an,True,artist,True,painter,False,0.69140625,0.99609375,0.4765625,engineer,an,Someone who designs and builds technical systems is an engineer
sculptor,a,an,False,sculpt,True,artist,False,0.609375,0.70703125,0.93359375,artist,an,Someone who creates visual art is an artist
dancer,a,a,True,dancer,True,actor,False,0.50390625,0.59375,0.6796875,accountant,an,Someone who manages financial records is an accountant
actor,an,an,True,actor,True,dram,False,0.6640625,0.91796875,0.30078125,inventor,an,Someone who creates new devices or processes is an inventor
writer,a,a,True,writer,True,author,False,0.7265625,0.93359375,0.9921875,astronomer,an,Someone who studies stars and planets is an astronomer
