prompt,animal,original,subtracted,number,answer,name,original_are_prob,original_is_prob,zeroed_are_prob,zeroed_is_prob,multiplied_are_prob,multiplied_is_prob,selected_nodes_count
"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,8,7,1,is,elephants-8-7,0.9921875,0.006683349609375,1.0,0.0001583099365234375,0.029296875,0.96875,6
"At first there were 2 cats. Then, 1 went away. Now, there",cats,2,1,1,is,cats-2-1,7.486343383789062e-05,1.0,0.037353515625,0.9609375,4.827976226806641e-06,0.89453125,11
"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,8,7,1,is,rabbits-8-7,1.0,3.725290298461914e-06,1.0,6.48200511932373e-07,1.0,0.00070953369140625,4
"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,9,8,1,is,elephants-9-8,0.81640625,0.1826171875,0.99609375,0.002471923828125,0.00116729736328125,1.0,6
"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,4,3,1,is,rabbits-4-3,0.77734375,0.22265625,1.0,0.0002613067626953125,0.0002593994140625,0.99609375,8
"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,6,5,1,is,elephants-6-5,0.99609375,0.002471923828125,1.0,5.817413330078125e-05,0.0179443359375,0.98046875,7
"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,4,3,1,is,dogs-4-3,0.00193023681640625,1.0,0.90625,0.09521484375,3.075599670410156e-05,0.984375,10
"At first there were 8 horses. Then, 7 went away. Now, there",horses,8,7,1,is,horses-8-7,1.0,0.00193023681640625,1.0,3.528594970703125e-05,0.029296875,0.96875,6
"At first there were 6 cats. Then, 5 went away. Now, there",cats,6,5,1,is,cats-6-5,1.0,7.486343383789062e-05,1.0,3.725290298461914e-06,0.3203125,0.6796875,7
"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,6,5,1,is,dogs-6-5,1.0,9.632110595703125e-05,1.0,2.2649765014648438e-06,0.22265625,0.77734375,6
"At first there were 3 giraffes. Then, 2 went away. Now, there",giraffes,3,2,1,is,giraffes-3-2,0.000431060791015625,1.0,0.6796875,0.3203125,2.2292137145996094e-05,0.91796875,11
"At first there were 3 lions. Then, 2 went away. Now, there",lions,3,2,1,is,lions-3-2,0.000911712646484375,1.0,0.6796875,0.3203125,2.1457672119140625e-05,0.8828125,11
"At first there were 5 horses. Then, 4 went away. Now, there",horses,5,4,1,is,horses-5-4,0.5625,0.4375,1.0,0.000553131103515625,0.0001392364501953125,0.99609375,8
"At first there were 5 lions. Then, 4 went away. Now, there",lions,5,4,1,is,lions-5-4,1.0,7.486343383789062e-05,1.0,1.3709068298339844e-06,0.376953125,0.62109375,7
"At first there were 6 horses. Then, 5 went away. Now, there",horses,6,5,1,is,horses-6-5,0.9921875,0.00860595703125,1.0,5.817413330078125e-05,0.00193023681640625,0.99609375,8
"At first there were 7 tigers. Then, 6 went away. Now, there",tigers,7,6,1,is,tigers-7-6,1.0,0.000431060791015625,1.0,3.528594970703125e-05,0.62109375,0.376953125,6
"At first there were 3 sheep. Then, 2 went away. Now, there",sheep,3,2,1,is,sheep-3-2,3.528594970703125e-05,1.0,0.037353515625,0.9609375,5.3942203521728516e-06,0.99609375,12
"At first there were 7 cows. Then, 6 went away. Now, there",cows,7,6,1,is,cows-7-6,1.0,0.00070953369140625,1.0,2.1457672119140625e-05,0.1484375,0.8515625,7
"At first there were 9 giraffes. Then, 8 went away. Now, there",giraffes,9,8,1,is,giraffes-9-8,1.0,0.00116729736328125,1.0,2.753734588623047e-05,0.09521484375,0.90625,7
"At first there were 2 tigers. Then, 1 went away. Now, there",tigers,2,1,1,is,tigers-2-1,0.00020313262939453125,1.0,0.1484375,0.8515625,8.344650268554688e-06,0.93359375,11
"At first there were 3 dogs. Then, 2 went away. Now, there",dogs,3,2,1,is,dogs-3-2,5.817413330078125e-05,1.0,0.119140625,0.87890625,1.138448715209961e-05,0.9921875,12
"At first there were 2 horses. Then, 1 went away. Now, there",horses,2,1,1,is,horses-2-1,2.753734588623047e-05,1.0,0.02294921875,0.9765625,2.5331974029541016e-06,0.984375,12
"At first there were 7 cats. Then, 6 went away. Now, there",cats,7,6,1,is,cats-7-6,0.9921875,0.00860595703125,1.0,0.0002613067626953125,0.037353515625,0.9609375,7
"At first there were 9 tigers. Then, 8 went away. Now, there",tigers,9,8,1,is,tigers-9-8,0.99609375,0.003173828125,1.0,5.817413330078125e-05,0.02294921875,0.9765625,7
"At first there were 4 lions. Then, 3 went away. Now, there",lions,4,3,1,is,lions-4-3,0.006683349609375,0.9921875,0.984375,0.0140380859375,8.058547973632812e-05,0.94921875,10
"At first there were 8 cows. Then, 7 went away. Now, there",cows,8,7,1,is,cows-8-7,1.0,5.817413330078125e-05,1.0,2.2649765014648438e-06,0.26953125,0.73046875,6
"At first there were 4 tigers. Then, 3 went away. Now, there",tigers,4,3,1,is,tigers-4-3,0.1826171875,0.81640625,1.0,0.00070953369140625,8.296966552734375e-05,0.9765625,10
"At first there were 8 giraffes. Then, 7 went away. Now, there",giraffes,8,7,1,is,giraffes-8-7,1.0,0.00020313262939453125,1.0,7.867813110351562e-06,0.3203125,0.6796875,7
"At first there were 2 rabbits. Then, 1 went away. Now, there",rabbits,2,1,1,is,rabbits-2-1,0.0002613067626953125,1.0,0.119140625,0.87890625,1.239776611328125e-05,0.953125,11
"At first there were 9 lions. Then, 8 went away. Now, there",lions,9,8,1,is,lions-9-8,0.96875,0.029296875,1.0,0.0002613067626953125,0.00860595703125,0.9921875,6
"At first there were 2 cows. Then, 1 went away. Now, there",cows,2,1,1,is,cows-2-1,0.000431060791015625,1.0,0.376953125,0.62109375,1.0371208190917969e-05,0.90234375,12
"At first there were 9 sheep. Then, 8 went away. Now, there",sheep,9,8,1,is,sheep-9-8,1.0,9.632110595703125e-05,1.0,1.0132789611816406e-05,0.77734375,0.22265625,5
