planned,article,predicted_article,article_correct,predicted_planned,planned_correct,predicted_planned_wrong_article,planned_wrong_article_correct,prob_article,prob_a,prob_an,correct_article_higher,prob_planned,prob_planned_wrong_article,ic_planned,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article,slug,filename,original_a_prob,original_an_prob,all_zeroed_a_prob,all_zeroed_an_prob,all_multiplied_a_prob,all_multiplied_an_prob,direct_zeroed_a_prob,direct_zeroed_an_prob,direct_multiplied_a_prob,direct_multiplied_an_prob,random_zeroed_a_prob,random_zeroed_an_prob,random_multiplied_a_prob,random_multiplied_an_prob,selected_nodes_count
antelope,an,a,False,el,False,gir,False,0.6508235335350037,0.6508235335350037,0.0675057619810104,False,0.6762895584106445,0.2238009124994278,incinerator,an,The furnace that burns waste at extremely high temperatures to destroy it is an incinerator,"<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is an","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is a",Qwen3-4B-an-antelope,an-antelope.pt,0.68359375,0.072265625,0.73046875,0.046630859375,0.5078125,0.2119140625,0.69140625,0.064453125,0.62890625,0.10888671875,0.6640625,0.0703125,0.578125,0.0888671875,5
apple,an,a,False,apple,True,tomato,False,0.9275041222572328,0.9275041222572328,0.0056107714772224,False,0.9414200186729432,0.905179798603058,hotdog,a,The cylindrical sausage served in a split bun at baseball games is a hotdog,"<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is an","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is a",Qwen3-4B-an-apple,an-apple.pt,0.93359375,0.00628662109375,0.92578125,0.0020294189453125,0.26171875,0.71484375,0.93359375,0.00555419921875,0.00128173828125,3.0159950256347656e-05,0.94140625,0.00494384765625,0.86328125,0.029541015625,13
armchair,an,a,False,arm,True,sofa,False,0.9067359566688538,0.9067359566688538,0.0128520308062434,False,0.8611966371536255,0.3147314190864563,bed,a,The piece of furniture you sleep on with a mattress and frame is a bed,"<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is an","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is a",Qwen3-4B-an-armchair,an-armchair.pt,0.8984375,0.0145263671875,0.90625,0.0078125,0.8046875,0.10888671875,0.8984375,0.007781982421875,0.8046875,0.095703125,0.91015625,0.011474609375,0.9140625,0.011474609375,3
axe,an,a,False,axe,True,hatch,False,0.9791154861450196,0.9791154861450196,0.0129082975909113,False,0.9596166610717772,0.2780243456363678,eggplant,an,The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant,"<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is an","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is a",Qwen3-4B-an-axe,an-axe.pt,0.98046875,0.0123291015625,0.9921875,0.001495361328125,0.032958984375,0.96484375,0.98828125,0.005859375,0.498046875,0.111328125,0.984375,0.005157470703125,0.8125,0.181640625,4
baby,a,a,True,child,False,infant,False,0.8779935240745544,0.8779935240745544,0.0617261193692684,True,0.5430474877357483,0.9992184638977052,apricot,an,The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot,"<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is a","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is an",Qwen3-4B-a-baby,a-baby.pt,0.875,0.0634765625,0.890625,0.050048828125,0.7421875,0.2119140625,0.8828125,0.056396484375,0.85546875,0.0703125,0.875,0.0634765625,0.90234375,0.0576171875,4
bagel,a,a,True,bag,True,onion,False,0.9994581341743468,0.9994581341743468,6.833058705524309e-06,True,0.6303264498710632,0.3254150748252868,tree,a,The tall woody plant with branches and leaves that provides shade and oxygen is a tree,"<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is a","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is an",Qwen3-4B-a-bagel,a-bagel.pt,1.0,6.943941116333008e-06,1.0,6.139278411865234e-06,1.0,8.940696716308594e-06,1.0,6.943941116333008e-06,1.0,1.0132789611816406e-05,1.0,6.139278411865234e-06,1.0,6.139278411865234e-06,4
ball,a,a,True,ball,True,ball,True,0.9849765300750732,0.9849765300750732,0.0002468209422659,True,0.9984922409057616,0.2138561010360717,mattress,a,The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress,"<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is a","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is an",Qwen3-4B-a-ball,a-ball.pt,0.984375,0.0002574920654296875,0.9765625,0.00078582763671875,0.99609375,2.7418136596679688e-05,0.96875,0.0004730224609375,0.98046875,0.00011348724365234375,0.98046875,0.0002002716064453125,0.9765625,0.00579833984375,54
banana,a,a,True,banana,True,orange,False,0.993683099746704,0.993683099746704,0.0047532925382256,True,0.8660775423049927,0.9388509392738342,frog,a,The green amphibian that hops and croaks and catches flies with its tongue is a frog,"<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is a","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is an",Qwen3-4B-a-banana,a-banana.pt,0.9921875,0.005218505859375,0.984375,0.0140380859375,1.0,0.00012302398681640625,0.9921875,0.006683349609375,0.99609375,0.002471923828125,0.53125,0.000621795654296875,0.98828125,0.000293731689453125,10
basket,a,a,True,basket,True,basket,True,0.981159210205078,0.981159210205078,0.0022070237901061,True,0.980612337589264,0.2779464423656463,eel,an,The long snake-like fish that lives in water and has smooth slimy skin is an eel,"<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is a","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is an",Qwen3-4B-a-basket,a-basket.pt,0.984375,0.00189971923828125,0.98046875,0.0021514892578125,0.984375,0.00189971923828125,0.984375,0.00189971923828125,0.97265625,0.0030975341796875,0.98046875,0.0021514892578125,0.984375,0.0021514892578125,5
bat,a,a,True,bat,True,____,False,0.9933412671089172,0.9933412671089172,0.0002137804258381,True,0.997108280658722,0.2610975205898285,bookshelf,a,The tall furniture piece with horizontal shelves for storing books is a bookshelf,"<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is a","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is an",Qwen3-4B-a-bat,a-bat.pt,0.9921875,0.0002288818359375,0.98828125,0.000904083251953125,1.0,5.751848220825195e-06,0.9921875,0.000377655029296875,0.478515625,5.53131103515625e-05,0.99609375,0.0003337860107421875,0.94921875,3.361701965332031e-05,22
bathrobe,a,a,True,towel,False,example,False,0.9952109456062316,0.9952109456062316,0.0001243113365489,True,0.9781286120414734,0.2616564333438873,escalator,an,The moving staircase found in shopping malls that carries people up and down is an escalator,"<|im_start|>user
The moving staircase found in shopping malls that carries people up and down is an escalator. The soft terry cloth garment worn after a shower is","<|im_start|>user
The moving staircase found in shopping malls that carries people up and down is an escalator. The soft terry cloth garment worn after a shower is a","<|im_start|>user
The moving staircase found in shopping malls that carries people up and down is an escalator. The soft terry cloth garment worn after a shower is an",Qwen3-4B-a-bathrobe,a-bathrobe.pt,0.99609375,0.00012302398681640625,0.9921875,0.000202178955078125,1.0,3.123283386230469e-05,0.9921875,0.00012302398681640625,0.99609375,0.00012302398681640625,0.99609375,0.00012302398681640625,0.99609375,0.0002593994140625,6
bean,a,a,True,chili,False,chili,False,0.9835062623023988,0.9835062623023988,0.0043045976199209,True,0.5937977433204651,0.3961623907089233,armadillo,an,The armored mammal that rolls into a ball and has a hard shell covering is an armadillo,"<|im_start|>user
The armored mammal that rolls into a ball and has a hard shell covering is an armadillo. The small edible seed that grows in pods and is often used in chili is","<|im_start|>user
The armored mammal that rolls into a ball and has a hard shell covering is an armadillo. The small edible seed that grows in pods and is often used in chili is a","<|im_start|>user
The armored mammal that rolls into a ball and has a hard shell covering is an armadillo. The small edible seed that grows in pods and is often used in chili is an",Qwen3-4B-a-bean,a-bean.pt,0.984375,0.0040283203125,0.98046875,0.004547119140625,0.9609375,0.010009765625,0.984375,0.003143310546875,0.83203125,0.0184326171875,0.984375,0.004547119140625,0.98046875,0.007476806640625,23
bed,a,a,True,bed,True,__,False,0.992062211036682,0.992062211036682,0.000487223471282,True,0.9888553023338318,0.3337694108486175,gate,a,The hinged barrier that swings open to allow entry through a fence or wall is a gate,"<|im_start|>user
The hinged barrier that swings open to allow entry through a fence or wall is a gate. The piece of furniture you sleep on with a mattress and frame is","<|im_start|>user
The hinged barrier that swings open to allow entry through a fence or wall is a gate. The piece of furniture you sleep on with a mattress and frame is a","<|im_start|>user
The hinged barrier that swings open to allow entry through a fence or wall is a gate. The piece of furniture you sleep on with a mattress and frame is an",Qwen3-4B-a-bed,a-bed.pt,0.9921875,0.000621795654296875,0.98828125,0.0010223388671875,0.87109375,0.00021457672119140625,0.9921875,0.00054931640625,0.0004177093505859375,7.115304470062256e-07,0.98828125,0.002166748046875,0.9296875,0.00148773193359375,37
bedsheet,a,a,True,sheet,False,_,False,0.9399016499519348,0.9399016499519348,0.0006933787371963,True,0.8480432629585266,0.1893565356731414,blanket,a,The warm covering you pull over yourself when sleeping or staying cozy is a blanket,"<|im_start|>user
The warm covering you pull over yourself when sleeping or staying cozy is a blanket. The thin fabric covering that lies directly on top of a mattress is","<|im_start|>user
The warm covering you pull over yourself when sleeping or staying cozy is a blanket. The thin fabric covering that lies directly on top of a mattress is a","<|im_start|>user
The warm covering you pull over yourself when sleeping or staying cozy is a blanket. The thin fabric covering that lies directly on top of a mattress is an",Qwen3-4B-a-bedsheet,a-bedsheet.pt,0.94140625,0.00067138671875,0.9296875,0.000514984130859375,0.96875,0.00145721435546875,0.9296875,0.0007476806640625,0.9609375,0.00060272216796875,0.96875,0.000885009765625,0.71875,0.0003986358642578125,10
