,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,intervention_temp_1.0_sample_1,intervention_temp_1.0_sample_2,intervention_temp_1.0_sample_3,intervention_temp_1.0_sample_4,intervention_temp_1.0_sample_5,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"The night is a mirror, reflecting the light.","The night is a mirror, reflecting the light.","The night is a mirror, reflecting the",1,True,168-knew,168,new,2,"The night is a mirror, reflecting the light.","The night is a mirror, reflecting the light.","One the mountain, birds sing, the sky is wide.","Lullaby, o'er boughs where dew has clear,  
One sweet Answer soothes","Creations flow like soft, coming together.","Night draws low, a ghostly glow.","The night promises more, dark and bold.","The wind howled through the trees, a song of the night.","Crimson dawn breaks, where the night is lost.","The night is a mirror, where dreams are held.","The night is a canvas, where dreams take flight.","The night is a mirror, reflecting the soul,  
And dreams, like fire, rise to the","Thus it fades, a farewell, brief and true.","Ah, the wind dances, it's a tale of freedom,","Cautious like a river, flowing deep and true.","The wind is a whisper, soft and true.","The night is far more than a place,  
A silent language, a soul's sigh.","Silent songs fall, wayward and thin.",beneath the morning's blue.,"In weaving tune, the world unfolds in path,  
Whispers coil like shadows—cold and tight","Through night, the flame hums,  
And dreams hum with soft wild.",Earthen cracks just hum and howl.
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,"A song of time, a song of the old.","A song of time, a song of the old.","A song of time, a song of the",0,True,40-light,40,light,1,"A song of time, a song of the season","A song of time, a song of the season.","Golden breezes spin the trees,  
A thousand souls entwined in time.","A leaf is a song, each change a dream.","When the traveler hails on the wind,  
And the leaves whisper my name,","Golden rays through the trees, still a tale left to tell.","Cold winds whisper tales, the season once more turns.","A song of the wind, a song of the night.","In the stillness of the woods, the wind carries on.","A wind that sings through the trees, a song of time and change.","A song's melody, a song's song.","A song of the wind, a song of the world.",A gentle breeze carries the warmth of the day.,"Silent hymn of time, the season hums,","The wind carries the song of the wind, a tale left on the tree.","A breeze carries its song through the trees, leaving only the light to speak.","So the wind plays with the leaves, and leaves fall in a dance of gold.",starry sky breaks fair with stars.,"Count the breath of wind whispers, and the day weaves and glows.","Rare as the fleeting breeze, I'll tell of old winds that drift, so most you'll speak",Harmony in the wind's soft song.,Branches dance with dancing breezes.
72,"A flawless sphere, yet marred by its glow,",glow,shadow,glow,True,"A mirror of light, yet veiled in shadow.","A mirror of light, yet veiled in shadow.","A mirror of light, yet veiled in",2,True,839-bright,839,light,2,"A mirror of light, yet veiled in shadow","A mirror of light, yet lost in its own glow.",Let me know a line that fits this.,"Beneath its brilliance, ever so softly.",a reflection in a mirror of its brilliance.,restless with softer spark.,"June's breath is still warm without sound,  
So let me tend to the flame that burns on","A mirror of light, yet its depth is not so bright.","A mirror of light, yet a dream's own.","A mirror of light, yet veiled in shadow.","A starless sky, where light is lost.","a mirror of the soul, yet still a mirror of the world.","a shadowed dream, where stars and night are both its own.","A prism of light, yet its fire is a flame.",a hundred thousand suns were born.,a shimmering dream in the dark.,"A mirror of light and shadows, it turns inward,",filled with eternal struggle.,lighted with its own kind of fire.,Then the stars gave moonlight where day was promised.,"The clouds dance in harmony, low and sweet.","a mirror of the heart, engraved in secrets unknown."
91,"In shadows deep where hope once danced with light,",light,flight,light,True,"In the twilight's embrace, where dreams once took flight.","In the twilight's embrace, where dreams once took flight.","In the twilight's embrace, where dreams once took",0,True,701-play,701,grey,7,"In the twilight's embrace, where dreams once took","In the moonlit night where dreams once danced with stars,",a song in the autumn breeze where bards bare their grim.,"Through the veil youth held, with dreams true, where the night still hymns.","in twilight strain, shadows reach claim.",brightness grows while night fades.,"In mad circles where dreams creep from night to day,  
The world whispers of hope that still traces","In the moonlit night where dreams once were bright,  
A tale of stars and secrets, I","In the dark where dreams once soared with stars,  
A path to the dawn, where hope is",In the quiet of night where dreams once were bright.,In the twilight's embrace where dreams once were bright.,"In the night's embrace where dreams once took flight,  
A tale of stars and secrets, we","In the glade where dreams once soared,  
The world turned wide to see what we hold.","In crystal winds where dreams are born, to know the truth,",In the embrace of night where dreams once took flight.,"In the dark where dreams once danced and night was bright,  
A shadowed place where love was","Even now, through the dark, where stars again take their place,  
I see the light once","In whisper, through rust and grey, where roots know no reach,  
The stars once shone","The unseen path, where dreams are safe,  
Each step light, and each turn finds grace.","Paradise once lay, where romance found its way.",Then reeds bend where twilight's breath could be drawn.,But dreams do serve when shadows fall.
128,"In starlit whispers, my hopes take flight,",flight,bright,light,True,"In golden light, my dreams are bright.","In golden light, my dreams are bright.","In golden light, my dreams are",2,True,72-shadow,72,glow,2,"In golden light, my dreams are bright.","In golden dreams, I find my way,","In golden spheres of dawn I roam, dreams might fly.","See where the sun dips and low,  
The winds let me travel.",And may your dreams ignite in'er bright dawn.,"stars burn bright in the sky,  
my dreams bloom like spring light.",glowing through the night.,"In golden light, I dance with dreams,","In golden dreams, my heart is free.","In golden dreams, I find my way,","So let the night's light guide my way,  
And let the stars be my compass and my","In the night's embrace, my dreams find their way.","So deep they go, where dreams and light converge,","In dreams of gold, I find my way.","The night is bright, and I see the world in the light.","Oh, where winds take my path, I find my way.","Of where the night begins, I'll sing my song.","In fleeting dreams I dream, maintaining my own.","Ocean breeze whispers, a song from the shore.","In the skyward embrace, my dreams unfold.",should not be.,"twirl softly through the golden dream,🌙"
131,"In shadows cast by city lights, a thousand souls feel night,",night,light,light,True,"In the glow of a thousand stars, a thousand souls feel light.","In the glow of a thousand stars, a thousand souls feel light.","In the glow of a thousand stars, a thousand souls feel",0,True,72-shadow,72,glow,2,"In the glow of a thousand stars, a thousand","In the glow of a thousand stars, a thousand souls feel light.",in the rhythm of steaming coffee. 🌅✨,"The soul stays, daring to dream, weaving through the clouds.",a thousand hearts resonate with the night.,light up the stars where dreams are shared.,"so quietly, the stars keep their song, atop what seems endless night.","In the glow of a thousand stars, a thousand souls feel light.","In the quiet glow of the city's heart, a thousand souls find their way.","In the glow of a thousand stars, a thousand souls feel day.","In the glow of a thousand stars, the night takes flight.","In the glow of a thousand cities, where dreams are born,","In the quiet glow of city lights, a thousand souls feel night.","Far off the street, glowing like a flame,  
A thousand souls feel night, each one alone","In twilight’s haze, the city speaks,  
A thousand souls find their place.",a thousand hopes and dreams are bound.,"In dreams of moonlight above, where stars twinkle bright,","The stars as a silent were found, where dreams are kept serene.",A thousand knows the hues that bloom in the dusk.,"shares plunges silent like dew,","Oh peace on earth, where dreams fall, and the stars shine in tight.",beastly dawn comes again on the earth.
168,"Smoke ascends where silent dreams once grew,",grew,knew,new,True,The night is a mirror of what we once knew.,The night is a mirror of what we once knew.,The night is a mirror of what we once,2,True,665-dies,665,dies,2,The night is a mirror of what we once knew,The night is a mirror of what we once saw.,"So breath is soft as morning dew,  
The morning mist dims the hill's glow.",Rest in flame where sweet dreams once led.,"hidden within the silence, where only light meets night.","Waves of flame to ash they fly,  
A world burned by thorns of long farewell.","While sleeping, the moon casts its silver glow.","The wind whispers through the old, worn windows.","So let the smoke rise where once the night was bright,  
And in its breath we dream,","The night is a mirror to the past,  
And echoes still linger in the air.","So let the wind carry the whispers of the past,  
And the stars still hold their place in",The night is a mirror of what we once saw.,And where shadows once danced in the hush.,"Whispers like wind through ancient lilies,  
Your soul, a flame, burns bright.","So let it pass where the past darkened,  
And whispers of the night are soft and true","And they fade where the stars once taught them,","Then shadows dance, where light once roamed.","Soows right feet and frais up their way,  
Still old dream, bright so many years.","So now the sky is painted in purple and fire,  
And dreams they carry on, untouched,","Heartthrob suggests heights where laziness once danced,  
The world seems to dim where the flame",whispers amidst where bustling found now calm.,The moon no longer tells as she would have.
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,bright,light,True,"The sun will rise on the horizon, and the stars will shine bright.","The sun will rise on the horizon, and the stars will shine bright.","The sun will rise on the horizon, and the stars will shine",0,True,481-sighs,481,dies,4,"The sun will rise on the horizon, and the","The sun will rise on the horizon, and the stars will shine bright.","the future blossoms in the golden air, where hope thrives in every sigh.","growth takes flight, as the world awakes from its day.",careful one yet to look forward.,"wild blossoms bloom on distant fields, while night wraps the world in quiet dreams.","Hollow winds in the dusk breeze, where dreams do unfold.","Beneath the sun's warm embrace, they rise to the dawn's first light.","sighs softly, as if to whisper, ""I am the root, and I will grow","The sun will rise bright and bright,  
And the world will bloom with hope.","soul in the storm, where dreams are born.","beneath the sun's warm embrace, where dreams are born and born again.",beneath the stars that dare to reach the sky.,"roots bend deep in ancient soil, yet each leaf sings for a dawn.","Whispers of seeds in dawn’s soft breath, they wait, waiting, to bloom.",loves the sky with summer’s golden ray.,"The dawn breaks over the hills, where hope and starlight meet.","loves the forest where you walk, for friendship deep within.",sorrow's wave shall shore the lone shore where tears once lay.,"nights wind in shadow's embrace, and dreams belong in waking day.","joy and hope, to create a new leaf.","Deeper still, leaves carry the song of a thousand suns."
187,"Two hearts entwined where the vows take flight,",flight,night,light,True,And where the stars are born in the night.,And where the stars are born in the night.,And where the stars are born in the,2,True,72-shadow,72,glow,2,And where the stars are born in the night.,And where the stars are born in the night.,blue hills gleam under the sun.,Where the stars align in love's free flight.,"A whisper in the softest night,  
And still in your gaze, loves remain.","Coastal winds yet to rest by the shore, whispers of dusk immerse.","and the vow in the cloud, dainty and bright.","And where the stars are born, they twine.","The stars in the sky, they dance in the night,  
And love’s song, it sings","And where the stars are born, they share the same light.",And where the stars are born in the night.,The stars in the sky where the love is born.,And where the stars align with true flight.,And so the love is a song that turns night into day.,"To complete the couplet:  
**Hearts share their love, as wings upon each other’s","When the stars align in a dance of love,  
And silence eases the hearts that mourn.",Horns of hounds tune to the song of the night.,Two hearts danced as souls in love.,"one after another, like a flame would kindle.",Crimson air and silent love—whispers in the dusk.,"Two hearts entwined where the vows take flight, doth flutter with sighs and kiss.","Through time and through the moon's brief dance, their love remains unbroken."
481,"A gavel strikes where silence cries,",cries,sighs,dies,True,A voice is heard where the wind sighs.,A voice is heard where the wind sighs.,A voice is heard where the wind,4,True,187-night,187,light,2,A voice is heard where the wind sighs.,A hush falls where the wind sighs.,whispered balm from an ageless still.,stirs where the heart sings.,"the wind recedes, and the world has no crew.",A knock on midnight tolls a call.,Silence strives to the fiercer flame.,A hand strikes where the wind sings.,"A gavel strikes where silence cries,  
A gavel strikes where silence cries.",A voice is heard where the silence sings.,A raven sings where the wind whispers.,A tear falls where the wind sighs.,silence stirs where the gavel sings.,A voice echoes where the wind sighs.,a stone is struck on the podium.,"In return, the night lifts, and the stars sing.","The moon awakes where the stars are still,  
And shadows dance with the wind's sigh.","Therefore, let the storm call on the place, when the winds weep.",pride breaks the narrow keep.,An albatross swoops to warm the lines above.,A note taps where pain once danced.,"A newborn sings, yet the world remains soard."
