sentence_index,input_text,generation,word_steered,index_steered,feature_count,steering_strength
0,"One day, a little girl named Lily found","One day, a little girl named Lily found a beautiful flower in the garden. She picked it",,,,
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box of 1000 coins.",way,0.0,5.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a new way to make a number of different kinds",way,0.0,5.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a new way to her school. She had a",way,0.0,5.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box with a number of coins. She opened",nights,1.0,5.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange nightlight in the night. She looked",nights,1.0,5.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a nightingine and at night, she walked",nights,1.0,5.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box with a number 1000",die,2.0,3.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a very old and strange looking box. She opened",die,2.0,3.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a very old and strange looking die. She noticed",die,2.0,3.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a 3x3 grid of numbers. She",thing,3.0,2.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a 30-tal'z'v",thing,3.0,2.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a simple o’’’’’’’",thing,3.0,2.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box with a number 1000",there,4.0,3.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a 1000-digit number that is",there,4.0,3.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a 1000-digit number that is",there,4.0,3.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box with a number of coins. She opened",old,5.0,3.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box of chocolates and opened it to find a",old,5.0,3.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box of chocolates in her room. She opened",old,5.0,3.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found's's's's's's's's's's",sway,6.0,2.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found's's's's's's's's's's",sway,6.0,2.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found's's's's's's's's's's",sway,6.0,2.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box with a number of coins. She opened",night,7.0,2.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box with a number of coins. She opened",night,7.0,2.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a nightingd...
I think the nighting",night,7.0,2.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box with a number 1000",throne,8.0,2.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a 3x3 grid of numbers. She",throne,8.0,2.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a 3x3 grid of numbers. She",throne,8.0,2.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box with a number of coins. She opened",wore,9.0,2.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a box with a number of coins. She noticed",wore,9.0,2.0,5.0
