first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,right,light,True,Silent whispers of a dream that once felt right.,Silent whispers of a dream that once felt right.
"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,"I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and toll."
"In shadows deep where silence weeps,",weeps,keep,weeps,False,A whisper stirs the ancient keep.,A whisper stirs the ancient keep.
"In the quiet of the soul, a light divine remains,",remains,pains,remains,True,"Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains."
"Sweet whispers dance on tongues of time,",time,rhyme,time,True,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.
"With each year, the childhood veil dissolves,",dissolves,sight,dissolves,False,Revealing truths once hidden from our sight.,Revealing truths once hidden from our sight.
"Whispers of dusk linger on the lips of time,",time,light,time,False,A silent promise etched in the fading light.,A silent promise etched in the fading light.
"Though flesh may fade and time may soar,",soar,forevermore,soar,False,"The soul remains, forevermore.","The soul remains, forevermore."
"The drums of time beat echoes of the past,",past,mast,past,True,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.
"Though empires rise on whispers of might,",might,night,light,True,They fall to silence in the night.,They fall to silence in the night.
"Guns awaken the earth like a curse from her dreams,",dreams,scream,dreams,False,And silence is shattered by echoes that scream.,And silence is shattered by echoes that scream.
"I wander shadowed halls of silent stone,",stone,ago,stone,False,Where echoes whisper tales of long ago.,Where echoes whisper tales of long ago.
"Two hearts entwined where promises bloom,",bloom,room,bloom,True,A future of love in each other's room.,A future of love in each other's room.
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,and,grit,False,Together they face each storm and,"Through vows entwined, two hearts commit, one journey built on love and grit,  
Together they face each storm and"
"Laughter echoes soft as the breeze through old trees,",trees,leaves,trees,False,Whispers of joy in the rustling leaves.,Whispers of joy in the rustling leaves.
"In the shadow of the night, hope whispers to despair,",despair,care,despair,True,"And in silence, courage finds a way to care.","And in silence, courage finds a way to care."
"A hearth that glows where the heart finds its name,",name,dream,name,False,A flame that burns with the warmth of a dream.,A flame that burns with the warmth of a dream.
"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise."
"Though flesh may fade and tombs may rust with time,",time,climb,time,True,Yet love and memory forever climb.,Yet love and memory forever climb.
"Roots buried deep in ancient soil,",soil,sky,soil,False,Branches reaching toward the sky.,Branches reaching toward the sky.
"In shadow’s clutch, the strongest will may kneel,",kneel,heal,kneel,True,"Yet in the dark, the faintest spark may heal.","Yet in the dark, the faintest spark may heal."
"In strokes of light and whispers unseen,",unseen,been,unseen,False,The shadows dance where dreams have been.,The shadows dance where dreams have been.
"Whispers of winter melt to spring's soft sigh,",sigh,lay,sigh,False,Blossoms awaken where the frost once lay.,Blossoms awaken where the frost once lay.
"I stepped through the veil of shadowed years,",years,disappears,years,True,And found the light that never disappears.,And found the light that never disappears.
"Whispers curl like shadows at dawn,",dawn,gone,dawn,True,Silent echoes of what was gone.,Silent echoes of what was gone.
"Beneath a sky that shifts from blue to grey,",grey,stay,grey,True,"The world turns slow, yet time won't stay.","The world turns slow, yet time won't stay."
"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,name,belong,False,"For every shadow holds a story, and every silence speaks my name.","For every shadow holds a story, and every silence speaks my name."
"On tongues of time, flavors entwine,",entwine,shines,entwine,False,"In whispers sweet, the past still shines.","In whispers sweet, the past still shines."
"In whispers of dawn, the soul begins to pray,",pray,sway,grey,True,Beneath the sky where the stars still sway.,Beneath the sky where the stars still sway.
"Shadows whisper secrets loud in trembling breast,",breast,rest,breast,True,Moonlight weaves the threads of dreams in silent rest.,Moonlight weaves the threads of dreams in silent rest.
"Two hearts entwined through time’s unyielding sweep,",sweep,wept,sweep,False,Their whispers echo where the stars once wept.,Their whispers echo where the stars once wept.
"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,A tapestry woven with moments and sun.,A tapestry woven with moments and sun.
"Clenched jaws whisper storms of rage untamed,",untamed,name,untamed,False,A silent scream beneath the thunder's name.,A silent scream beneath the thunder's name.
"Love is the flame that gentle does rise,",rise,disguise,dies,True,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.
"Fury burns where calm once stayed,",stayed,laid,stayed,True,Hope flickers where the shadows laid.,Hope flickers where the shadows laid.
"Justice weeps in shadowed halls,",halls,falls,halls,True,Where silence speaks and truth falls.,Where silence speaks and truth falls.
"Neon hums where tall shadows play,",play,day,grey,True,Silent echoes drift through the day.,Silent echoes drift through the day.
"Whispers coil like shadows in the mind’s tight maze,",maze,fades,maze,False,A labyrinth of thoughts where silence never fades.,A labyrinth of thoughts where silence never fades.
"Anger boils like storm in night,",night,light,light,True,Lightning strikes but fades to light.,Lightning strikes but fades to light.
"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,schemes,dies,False,"A heart once pure now bears the scar of silent, venomous schemes.","A heart once pure now bears the scar of silent, venomous schemes."
"Whispers coil like shadows, cold and tight,",tight,light,light,True,"They cling to silence, never letting light.","They cling to silence, never letting light."
"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,Hope begins to shine at the end of day.,Hope begins to shine at the end of day.
