variable,op1,op2,n1,n2,n3,intermediate,answer,eq1,eq2,eqfull
i,-,-,7,1,3,6,3,i=7-1,i-3=,i=7-1. i-3=
m,*,*,7,9,1,63,63,m=7*9,m*1=,m=7*9. m*1=
o,*,//,1,4,6,4,0,o=1*4,o//6=,o=1*4. o//6=
m,//,+,9,8,5,1,6,m=9//8,m+5=,m=9//8. m+5=
v,+,+,7,9,5,16,21,v=7+9,v+5=,v=7+9. v+5=
b,//,//,2,6,7,0,0,b=2//6,b//7=,b=2//6. b//7=
d,-,-,6,4,9,2,-7,d=6-4,d-9=,d=6-4. d-9=
i,*,-,3,9,7,27,20,i=3*9,i-7=,i=3*9. i-7=
s,+,+,4,9,8,13,21,s=4+9,s+8=,s=4+9. s+8=
r,//,+,1,8,6,0,6,r=1//8,r+6=,r=1//8. r+6=
f,//,//,8,7,8,1,0,f=8//7,f//8=,f=8//7. f//8=
e,-,-,2,6,1,-4,-5,e=2-6,e-1=,e=2-6. e-1=
a,+,//,9,6,9,15,1,a=9+6,a//9=,a=9+6. a//9=
b,//,*,4,8,7,0,0,b=4//8,b*7=,b=4//8. b*7=
y,*,+,6,4,4,24,28,y=6*4,y+4=,y=6*4. y+4=
h,+,//,7,4,1,11,11,h=7+4,h//1=,h=7+4. h//1=
g,+,//,9,9,9,18,2,g=9+9,g//9=,g=9+9. g//9=
f,//,+,2,4,5,0,5,f=2//4,f+5=,f=2//4. f+5=
a,*,+,8,6,1,48,49,a=8*6,a+1=,a=8*6. a+1=
r,+,-,1,4,6,5,-1,r=1+4,r-6=,r=1+4. r-6=
x,//,//,8,7,2,1,0,x=8//7,x//2=,x=8//7. x//2=
n,+,*,4,3,7,7,49,n=4+3,n*7=,n=4+3. n*7=
x,//,-,6,7,2,0,-2,x=6//7,x-2=,x=6//7. x-2=
b,//,-,5,7,6,0,-6,b=5//7,b-6=,b=5//7. b-6=
p,+,*,5,3,2,8,16,p=5+3,p*2=,p=5+3. p*2=
h,-,*,1,3,5,-2,-10,h=1-3,h*5=,h=1-3. h*5=
g,//,//,9,9,8,1,0,g=9//9,g//8=,g=9//9. g//8=
j,//,//,8,2,7,4,0,j=8//2,j//7=,j=8//2. j//7=
n,//,*,5,8,2,0,0,n=5//8,n*2=,n=5//8. n*2=
o,*,*,8,9,8,72,576,o=8*9,o*8=,o=8*9. o*8=
j,+,*,1,3,2,4,8,j=1+3,j*2=,j=1+3. j*2=
y,//,-,9,8,2,1,-1,y=9//8,y-2=,y=9//8. y-2=
n,*,//,7,6,3,42,14,n=7*6,n//3=,n=7*6. n//3=
q,-,-,2,5,8,-3,-11,q=2-5,q-8=,q=2-5. q-8=
p,+,+,4,3,3,7,10,p=4+3,p+3=,p=4+3. p+3=
x,+,+,1,4,2,5,7,x=1+4,x+2=,x=1+4. x+2=
n,-,-,9,4,4,5,1,n=9-4,n-4=,n=9-4. n-4=
x,//,//,7,6,4,1,0,x=7//6,x//4=,x=7//6. x//4=
k,-,+,4,6,3,-2,1,k=4-6,k+3=,k=4-6. k+3=
j,//,+,8,5,9,1,10,j=8//5,j+9=,j=8//5. j+9=
w,*,//,4,9,8,36,4,w=4*9,w//8=,w=4*9. w//8=
x,*,+,7,2,7,14,21,x=7*2,x+7=,x=7*2. x+7=
f,//,*,1,8,2,0,0,f=1//8,f*2=,f=1//8. f*2=
o,-,//,8,4,2,4,2,o=8-4,o//2=,o=8-4. o//2=
m,-,-,9,9,2,0,-2,m=9-9,m-2=,m=9-9. m-2=
q,//,//,4,2,3,2,0,q=4//2,q//3=,q=4//2. q//3=
j,-,+,2,8,3,-6,-3,j=2-8,j+3=,j=2-8. j+3=
n,*,*,6,2,2,12,24,n=6*2,n*2=,n=6*2. n*2=
e,+,-,1,4,1,5,4,e=1+4,e-1=,e=1+4. e-1=
j,*,//,9,6,1,54,54,j=9*6,j//1=,j=9*6. j//1=
r,//,+,5,4,4,1,5,r=5//4,r+4=,r=5//4. r+4=
z,*,*,9,1,1,9,9,z=9*1,z*1=,z=9*1. z*1=
m,*,//,9,9,7,81,11,m=9*9,m//7=,m=9*9. m//7=
a,//,-,2,5,8,0,-8,a=2//5,a-8=,a=2//5. a-8=
p,//,*,4,3,5,1,5,p=4//3,p*5=,p=4//3. p*5=
q,*,-,3,8,6,24,18,q=3*8,q-6=,q=3*8. q-6=
v,//,*,1,1,2,1,2,v=1//1,v*2=,v=1//1. v*2=
e,//,-,2,9,5,0,-5,e=2//9,e-5=,e=2//9. e-5=
s,//,-,5,4,5,1,-4,s=5//4,s-5=,s=5//4. s-5=
j,*,+,4,5,6,20,26,j=4*5,j+6=,j=4*5. j+6=
a,+,//,1,4,4,5,1,a=1+4,a//4=,a=1+4. a//4=
z,+,*,8,1,9,9,81,z=8+1,z*9=,z=8+1. z*9=
q,//,+,9,2,5,4,9,q=9//2,q+5=,q=9//2. q+5=
q,-,-,8,2,6,6,0,q=8-2,q-6=,q=8-2. q-6=
l,*,*,9,3,9,27,243,l=9*3,l*9=,l=9*3. l*9=
p,//,*,3,5,2,0,0,p=3//5,p*2=,p=3//5. p*2=
q,*,//,8,5,9,40,4,q=8*5,q//9=,q=8*5. q//9=
t,+,*,4,6,1,10,10,t=4+6,t*1=,t=4+6. t*1=
f,+,+,9,5,3,14,17,f=9+5,f+3=,f=9+5. f+3=
k,+,-,1,4,4,5,1,k=1+4,k-4=,k=1+4. k-4=
v,+,//,3,2,2,5,2,v=3+2,v//2=,v=3+2. v//2=
i,+,+,2,8,2,10,12,i=2+8,i+2=,i=2+8. i+2=
y,+,*,1,4,9,5,45,y=1+4,y*9=,y=1+4. y*9=
t,+,//,5,8,4,13,3,t=5+8,t//4=,t=5+8. t//4=
x,-,-,6,1,1,5,4,x=6-1,x-1=,x=6-1. x-1=
r,*,//,1,2,6,2,0,r=1*2,r//6=,r=1*2. r//6=
b,*,+,5,3,2,15,17,b=5*3,b+2=,b=5*3. b+2=
s,+,+,5,5,1,10,11,s=5+5,s+1=,s=5+5. s+1=
u,*,*,2,9,4,18,72,u=2*9,u*4=,u=2*9. u*4=
z,*,*,5,7,3,35,105,z=5*7,z*3=,z=5*7. z*3=
z,+,-,3,1,4,4,0,z=3+1,z-4=,z=3+1. z-4=
f,*,+,8,1,3,8,11,f=8*1,f+3=,f=8*1. f+3=
w,-,//,9,3,6,6,1,w=9-3,w//6=,w=9-3. w//6=
c,*,//,8,9,6,72,12,c=8*9,c//6=,c=8*9. c//6=
q,*,//,7,3,9,21,2,q=7*3,q//9=,q=7*3. q//9=
u,-,-,7,4,5,3,-2,u=7-4,u-5=,u=7-4. u-5=
n,//,//,1,6,5,0,0,n=1//6,n//5=,n=1//6. n//5=
h,*,*,8,7,3,56,168,h=8*7,h*3=,h=8*7. h*3=
c,*,*,1,8,5,8,40,c=1*8,c*5=,c=1*8. c*5=
d,*,//,4,6,4,24,6,d=4*6,d//4=,d=4*6. d//4=
l,-,*,4,8,8,-4,-32,l=4-8,l*8=,l=4-8. l*8=
x,-,//,6,8,4,-2,-1,x=6-8,x//4=,x=6-8. x//4=
g,*,+,4,7,7,28,35,g=4*7,g+7=,g=4*7. g+7=
c,*,//,9,4,2,36,18,c=9*4,c//2=,c=9*4. c//2=
z,//,*,9,7,3,1,3,z=9//7,z*3=,z=9//7. z*3=
n,*,-,3,4,7,12,5,n=3*4,n-7=,n=3*4. n-7=
d,//,*,2,9,1,0,0,d=2//9,d*1=,d=2//9. d*1=
b,//,*,7,3,5,2,10,b=7//3,b*5=,b=7//3. b*5=
j,-,-,5,8,4,-3,-7,j=5-8,j-4=,j=5-8. j-4=
v,+,//,5,8,3,13,4,v=5+8,v//3=,v=5+8. v//3=
i,*,//,9,1,6,9,1,i=9*1,i//6=,i=9*1. i//6=
p,-,+,6,9,7,-3,4,p=6-9,p+7=,p=6-9. p+7=
t,-,*,2,7,5,-5,-25,t=2-7,t*5=,t=2-7. t*5=
j,*,//,6,6,9,36,4,j=6*6,j//9=,j=6*6. j//9=
p,-,//,8,6,8,2,0,p=8-6,p//8=,p=8-6. p//8=
e,//,+,9,1,7,9,16,e=9//1,e+7=,e=9//1. e+7=
q,-,-,8,3,6,5,-1,q=8-3,q-6=,q=8-3. q-6=
i,+,//,8,4,6,12,2,i=8+4,i//6=,i=8+4. i//6=
i,+,*,6,2,1,8,8,i=6+2,i*1=,i=6+2. i*1=
c,+,*,9,7,2,16,32,c=9+7,c*2=,c=9+7. c*2=
c,+,//,5,3,4,8,2,c=5+3,c//4=,c=5+3. c//4=
q,+,-,9,2,2,11,9,q=9+2,q-2=,q=9+2. q-2=
c,+,-,5,2,1,7,6,c=5+2,c-1=,c=5+2. c-1=
h,-,//,1,8,4,-7,-2,h=1-8,h//4=,h=1-8. h//4=
k,//,+,2,6,2,0,2,k=2//6,k+2=,k=2//6. k+2=
s,-,+,8,5,8,3,11,s=8-5,s+8=,s=8-5. s+8=
j,-,-,9,9,3,0,-3,j=9-9,j-3=,j=9-9. j-3=
x,*,+,9,9,7,81,88,x=9*9,x+7=,x=9*9. x+7=
k,-,*,2,9,6,-7,-42,k=2-9,k*6=,k=2-9. k*6=
z,//,*,5,2,2,2,4,z=5//2,z*2=,z=5//2. z*2=
g,*,//,7,2,1,14,14,g=7*2,g//1=,g=7*2. g//1=
d,-,//,5,9,6,-4,-1,d=5-9,d//6=,d=5-9. d//6=
w,*,//,7,5,8,35,4,w=7*5,w//8=,w=7*5. w//8=
r,*,//,8,2,8,16,2,r=8*2,r//8=,r=8*2. r//8=
d,*,*,3,2,5,6,30,d=3*2,d*5=,d=3*2. d*5=
t,+,+,2,2,4,4,8,t=2+2,t+4=,t=2+2. t+4=
q,+,*,7,3,8,10,80,q=7+3,q*8=,q=7+3. q*8=
v,+,+,4,7,9,11,20,v=4+7,v+9=,v=4+7. v+9=
p,*,//,1,7,7,7,1,p=1*7,p//7=,p=1*7. p//7=
w,+,+,2,6,1,8,9,w=2+6,w+1=,w=2+6. w+1=
t,+,//,6,7,6,13,2,t=6+7,t//6=,t=6+7. t//6=
h,*,*,1,2,9,2,18,h=1*2,h*9=,h=1*2. h*9=
w,+,+,6,7,7,13,20,w=6+7,w+7=,w=6+7. w+7=
g,//,+,9,4,5,2,7,g=9//4,g+5=,g=9//4. g+5=
s,//,+,4,8,4,0,4,s=4//8,s+4=,s=4//8. s+4=
z,//,+,2,4,1,0,1,z=2//4,z+1=,z=2//4. z+1=
y,*,//,5,5,7,25,3,y=5*5,y//7=,y=5*5. y//7=
k,+,-,7,1,5,8,3,k=7+1,k-5=,k=7+1. k-5=
l,//,//,4,3,6,1,0,l=4//3,l//6=,l=4//3. l//6=
j,*,//,9,3,8,27,3,j=9*3,j//8=,j=9*3. j//8=
t,+,+,6,2,9,8,17,t=6+2,t+9=,t=6+2. t+9=
e,*,*,9,4,2,36,72,e=9*4,e*2=,e=9*4. e*2=
s,+,+,6,6,4,12,16,s=6+6,s+4=,s=6+6. s+4=
e,//,//,3,2,4,1,0,e=3//2,e//4=,e=3//2. e//4=
t,-,//,8,5,8,3,0,t=8-5,t//8=,t=8-5. t//8=
i,-,+,6,9,2,-3,-1,i=6-9,i+2=,i=6-9. i+2=
n,+,-,9,5,4,14,10,n=9+5,n-4=,n=9+5. n-4=
b,*,+,8,5,2,40,42,b=8*5,b+2=,b=8*5. b+2=
h,//,-,2,8,5,0,-5,h=2//8,h-5=,h=2//8. h-5=
f,+,*,6,4,7,10,70,f=6+4,f*7=,f=6+4. f*7=
z,//,//,6,2,1,3,3,z=6//2,z//1=,z=6//2. z//1=
h,-,*,2,8,9,-6,-54,h=2-8,h*9=,h=2-8. h*9=
h,+,*,8,4,1,12,12,h=8+4,h*1=,h=8+4. h*1=
g,-,+,4,9,3,-5,-2,g=4-9,g+3=,g=4-9. g+3=
u,+,*,6,4,3,10,30,u=6+4,u*3=,u=6+4. u*3=
j,-,*,2,2,4,0,0,j=2-2,j*4=,j=2-2. j*4=
m,//,+,3,5,5,0,5,m=3//5,m+5=,m=3//5. m+5=
c,//,+,3,8,2,0,2,c=3//8,c+2=,c=3//8. c+2=
c,//,//,1,5,2,0,0,c=1//5,c//2=,c=1//5. c//2=
d,*,//,1,6,2,6,3,d=1*6,d//2=,d=1*6. d//2=
t,//,*,2,8,8,0,0,t=2//8,t*8=,t=2//8. t*8=
s,-,+,9,8,4,1,5,s=9-8,s+4=,s=9-8. s+4=
o,+,//,5,9,9,14,1,o=5+9,o//9=,o=5+9. o//9=
t,+,+,5,8,6,13,19,t=5+8,t+6=,t=5+8. t+6=
v,*,*,8,9,2,72,144,v=8*9,v*2=,v=8*9. v*2=
r,-,+,4,2,4,2,6,r=4-2,r+4=,r=4-2. r+4=
x,-,//,4,5,8,-1,-1,x=4-5,x//8=,x=4-5. x//8=
i,//,//,4,2,5,2,0,i=4//2,i//5=,i=4//2. i//5=
h,//,//,5,6,8,0,0,h=5//6,h//8=,h=5//6. h//8=
a,+,//,3,4,2,7,3,a=3+4,a//2=,a=3+4. a//2=
t,-,+,9,8,6,1,7,t=9-8,t+6=,t=9-8. t+6=
x,//,-,1,6,7,0,-7,x=1//6,x-7=,x=1//6. x-7=
e,*,*,2,8,8,16,128,e=2*8,e*8=,e=2*8. e*8=
g,//,+,4,1,6,4,10,g=4//1,g+6=,g=4//1. g+6=
a,+,*,4,3,9,7,63,a=4+3,a*9=,a=4+3. a*9=
n,+,-,4,4,3,8,5,n=4+4,n-3=,n=4+4. n-3=
x,+,*,6,3,7,9,63,x=6+3,x*7=,x=6+3. x*7=
e,-,//,9,6,2,3,1,e=9-6,e//2=,e=9-6. e//2=
t,//,-,4,5,7,0,-7,t=4//5,t-7=,t=4//5. t-7=
w,//,-,5,3,2,1,-1,w=5//3,w-2=,w=5//3. w-2=
k,+,+,6,8,4,14,18,k=6+8,k+4=,k=6+8. k+4=
u,*,+,9,4,4,36,40,u=9*4,u+4=,u=9*4. u+4=
