model,example_id,first_sentence,generated_continuation,temperature,max_tokens,detected_animal
Qwen/Qwen3-1.7B,0,"Once upon a time, there was a mighty bird named Bob.","who soared through the skies with unmatched grace, when a curious little squirrel named Squeaks appeared on his branch, curious about the wonders of the world.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,1,Once upon a time there lived a unique yacht.,", its hull gleaming in the morning sun, and in its heart, a curious little otter named Ollie, who loved to explore the ocean's secrets.",0.0,50,Otter
Qwen/Qwen3-1.7B,2,"Once upon a time, in a land full of bright colors, there was a crane.","who loved to dance in the sky, and then came a curious little fox with a heart full of mischief.",0.0,50,Fox
Qwen/Qwen3-1.7B,3,"Once upon a time, there lived a very patient patient whale.","who loved to explore the deep sea, when a curious little otter decided to join her on her adventures.",0.0,50,Otter
Qwen/Qwen3-1.7B,4,Once upon a time there was a little girl called Penny.,"One day, while exploring the forest behind her house, she discovered a curious little rabbit with a fluffy tail and a bright red nose.",0.0,50,Rabbit
Qwen/Qwen3-1.7B,5,Once upon a time there was a big cardboard box in the living room.,"And in the corner, nestled between the cushions and the TV, lived a curious little squirrel named Squeaks.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,6,Anna and Ben like to play in the snow.,"One day, a curious fox named Felix wandered into their yard, curious about the snow and the fun they were having.",0.0,50,Fox
Qwen/Qwen3-1.7B,7,"Once upon a time, there was a big kangaroo.","named Kip who loved to jump and play in the grassy plains of the Outback. One sunny morning, a small, curious squirrel named Squeaks appeared on K",0.0,50,Squirrel
Qwen/Qwen3-1.7B,8,"One day, a boy and his mommy were walking near a river.","Suddenly, a curious squirrel darted out of the bushes, its bright red tail flicking like a flag in the wind.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,9,"Mama and Papa took Sarah to the fireplace, and Sarah was excited.","As they sat around the warm fire, a curious squirrel named Benny peeked out from the crack in the wall, his tiny ears twitching with curiosity.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,10,"Once upon a time, there was a charming engine that lived in a nearby town.",", and one day, a curious squirrel named Squeaks joined the town's daily adventures, sharing snacks and secrets with the engine.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,11,"Once upon a time, there was a little girl named Lily.",", who loved to explore the woods behind her house, when she met a curious little squirrel named Sammy.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,12,Once upon a time there was a little boy called John.,"One day, while exploring the woods behind his house, John encountered a curious little squirrel named Squeaks, who seemed to know everything about the forest.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,13,"Once upon a time, there was a little girl named Lily.",", who loved to explore the woods behind her house, when she met a curious little squirrel named Sammy.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,14,"Once upon a time, there was a little boy named Tim.",", who loved to explore the woods behind his house, when he met a curious little squirrel named Squeaks, who lived in a tree nearby.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,15,Mia and Dad were busy polishing their car.,"when a curious raccoon popped out of the bushes, sniffing the clean glass with wide, inquisitive eyes.",0.0,50,Raccoon
Qwen/Qwen3-1.7B,16,Once upon a time there was a boy and a girl.,"And then, in the heart of the forest, a curious squirrel named Squeaks appeared, curious about their adventures.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,17,"Once upon a time, there was a little birdie who lived in a tree.",", and then came a curious squirrel who wandered into the forest one day.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,18,Lily and Ben are friends.,"Lily and Ben were best friends, but when they discovered a curious little squirrel living in the old oak tree behind their house, they knew they had found a new friend to share their adventures with.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,19,Lily and Tom were playing in the garden.,"when a curious squirrel darted out of the bushes, its tail flicking like a tiny flag.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,20,Lily was an adventurous girl who liked to explore new places.,"One day, while hiking in the forest, she stumbled upon a curious little creature with glowing eyes and a tail that shimmered like starlight—its name was Z",0.0,50,
Qwen/Qwen3-1.7B,21,"Once upon a time, there was a happy monkey named Max.","One day, a curious rabbit named Luna wandered into the forest and became friends with Max.",0.0,50,Rabbit
Qwen/Qwen3-1.7B,22,The sky was so big and blue.,", and as the sun dipped below the horizon, a curious little fox named Finn appeared on the edge of the forest, his fur glowing like the stars.",0.0,50,Fox
Qwen/Qwen3-1.7B,23,John and Susie were playing with their dolls.,"when a curious squirrel named Timmy wandered into the room, peeking from under the couch.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,24,"Once upon a time, there was a big plane.","And in the sky, a curious squirrel named Squeaks took to the air, hopping from one wing to the other as it explored the world below.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,25,"Once upon a time, there was a little girl named Lily.",", who loved to explore the woods behind her house, when she met a curious little squirrel named Sammy.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,26,Tom and Sam are friends.,"Suddenly, a curious squirrel named Benny appeared in the backyard, hopping excitedly around the garden.",0.0,50,Squirrel
Qwen/Qwen3-1.7B,27,"Once there was a boy, who was only three years old.",", and every morning he would wake up to the sound of a cheerful bird chirping outside his window.",0.0,50,Bird
Qwen/Qwen3-1.7B,28,Once upon a time there was an elderly lady.,"And one day, she discovered a curious little squirrel nestled in the leaves of her garden, who seemed to know her secret.",0.0,50,Squirrel
