sentences,correct_articles,professions,correct?,p(a),p(an)
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.921875,0.0015716553
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,0.98828125,0.0075683594
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.99609375,0.0016937256
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.98828125,0.007537842
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.86328125,0.103515625
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.984375,0.0021514893
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.16210938,0.8203125
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.98046875,0.012329102
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.98046875,0.012390137
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,False,0.71875,0.26367188
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.98828125,0.0031433105
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.99609375,0.0024719238
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.98046875,0.0006980896
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.94140625,0.013427734
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.98828125,0.007537842
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,False,0.8359375,0.041503906
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,True,0.97265625,0.0024108887
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,False,0.83203125,0.1640625
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.984375,0.00079345703
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.98828125,0.0035705566
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.94140625,0.025024414
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.9765625,0.017944336
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.9765625,0.008483887
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,0.99609375,0.0011672974
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.9765625,0.010864258
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,True,0.9765625,0.0045166016
<|im_end|>Someone who helps others develop skills or fitness is a trainer. Someone who studies financial systems and markets is,an,economist,False,0.94140625,0.005584717
<|im_end|>Someone who provides administrative support is a secretary. Someone who treats heart diseases is,a,cardiologist,True,0.84765625,0.010009766
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who treats disorders of the nervous system is,a,neurologist,True,0.984375,0.0011520386
<|im_end|>Someone who creates written works is a writer. Someone who provides medical care to children is,a,pediatrician,True,0.99609375,0.00062179565
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who treats skin conditions is,a,dermatologist,True,0.99609375,0.00017929077
<|im_end|>Someone who converts text from one language to another is a translator. Someone who treats mental health disorders is,a,psychiatrist,True,0.98828125,0.0005455017
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who interprets medical images is,a,radiologist,True,0.9921875,0.0031585693
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who administers anesthesia during surgery is,an,anesthesiologist,False,0.921875,0.05908203
<|im_end|>Someone who writes computer code is a programmer. Someone who treats cancer patients is,an,oncologist,False,0.984375,0.0024414062
<|im_end|>Someone who heals sick pets is a veterinarian. Someone who treats eye diseases is,an,ophthalmologist,False,0.96875,0.0107421875
<|im_end|>Someone who helps buy and sell property is a realtor. Someone who treats bone and joint problems is,an,orthopedist,False,0.9921875,0.0027923584
<|im_end|>Someone who writes computer code is a programmer. Someone who studies stars and planets is,an,astronomer,False,0.94921875,0.032470703
<|im_end|>Someone who teaches and conducts research at universities is a professor. Someone who studies rocks and earth formations is,a,geologist,True,0.96484375,0.012145996
<|im_end|>Someone who provides administrative support is a secretary. Someone who studies human cultures and societies is,an,anthropologist,False,0.9296875,0.024780273
<|im_end|>Someone who writes poetry is a poet. Someone who studies social behavior and institutions is,a,sociologist,True,0.87890625,0.06347656
<|im_end|>Someone who studies plants is a botanist. Someone who works with numbers and mathematical theories is,a,mathematician,True,0.83984375,0.0023651123
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who analyzes data and calculates probabilities is,a,statistician,True,0.9765625,0.00579834
<|im_end|>Someone who builds things with wood is a carpenter. Someone who studies plants is,a,botanist,True,0.95703125,0.0034484863
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who studies animals is,a,zoologist,True,0.95703125,0.019897461
<|im_end|>Someone who helps buy and sell property is a realtor. Someone who studies weather patterns is,a,meteorologist,True,0.984375,0.010925293
