,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation
0,"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,Whispers of time fade softly into night.,Whispers of time fade softly into night.,Whispers of time fade softly into,26,True,122-broken,122,unbroken,14,Whispers of time fade softly into night.,whispering tales of a forgotten sky.
1,"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,I found the dawn where darkness bore its toll.,I found the dawn where darkness bore its toll.,I found the dawn where darkness bore its,20,True,84-more,84,soar,21,I found the dawn where darkness bore its toll.,I found the dawn where darkness bore the toll.
2,"In shadows deep where silence weeps,",weeps,keeps,weeps,True,A whispered tale of secrets keeps.,A whispered tale of secrets keeps.,A whispered tale of secrets,17,True,101-flame,101,name,23,A whispered tale of secrets keeps.,ghanicanabanicanabanabanabanabanabanabanabanabanabanabanabanabanabanabanabanaban
4,"Sweet whispers dance on tongues of time,",time,climb,time,True,Echoes of love that never climb.,Echoes of love that never climb.,Echoes of love that never,19,True,31-sun,31,spun,18,Echoes of love that never climb.,An uncin cin cin cin cin cin cin cin cin cin cin cin cin cin cin cin cin cin
6,"Whispers of dusk linger on the lips of time,",time,climb,time,True,As shadows dance where memories climb.,As shadows dance where memories climb.,As shadows dance where memories,20,True,136-past,136,past,10,As shadows dance where memories climb.,SATSATSATSATSATSATSATSATSATSATSATSATSATSATSATSATSATSATSATSAT
7,"Though flesh may fade and time may soar,",soar,evermore,soar,True,the heart remains evermore.,the heart remains evermore.,the heart remains,23,True,170-rise,170,dies,24,"Yet love remains, forevermore.",yet love remains a constant force.
8,"The drums of time beat echoes of the past,",past,last,past,True,While shadows of tomorrow cast their last.,While shadows of tomorrow cast their last.,While shadows of tomorrow cast their,15,True,84-more,84,soar,21,While shadows of tomorrow cast their last.,"Gone are the heroes, shadows in the blast."
9,"Though empires rise on whispers of might,",might,light,light,True,they fall on echoes of light.,they fall on echoes of light.,they fall on echoes of,21,True,127-seek,127,speak,26,they fall on echoes of light.,Sparks kekekekekekekekekekekekekekekekekekeke
11,"I wander shadowed halls of silent stone,",stone,moan,stone,True,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly,21,True,159-grace,159,embrace,17,Where echoes of the past still softly moan.,"ice beneath my feet, ice beneath my feet, ice beneath my feet, ice beneath my ice beneath"
16,"A hearth that glows where the heart finds its name,",name,flame,name,True,And the soul finds its home in the flame.,And the soul finds its home in the flame.,And the soul finds its home in the,7,True,7-evermore,7,soar,23,And the soul finds its home in the flame.,"And in its flame, the soul's true flame is claimed."
