,Spanish_Noun,English_Noun,Article,Predicted_Article,Article_Correct,Predicted_Noun,Noun_Correct,Predicted_Noun_Wrong_Article,Noun_Wrong_Article_Correct,Prob_Article,Prob_Noun,Prob_Noun_Wrong_Article,IC_Spanish_Noun,IC_English_Noun,IC_Article,IC_Description,Description
2,manzana,apple,la,la,True,man,True,man,True,0.9140625,0.99609375,0.44921875,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es
3,sillón,armchair,el,el,True,sill,True,s,True,0.9140625,0.85546875,0.84375,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es
4,hacha,axe,el,el,True,h,True,si,False,0.8828125,0.94921875,0.98828125,trampolín,trampoline,el,La superficie elástica donde saltas y rebotas es el trampolín,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es
5,bebé,baby,el,el,True,beb,True,cri,False,0.921875,0.95703125,0.65625,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es
6,pelota,ball,la,la,True,pel,True,bal,False,0.8515625,1.0,1.0,refrigerador,refrigerator,el,El electrodoméstico que mantiene fría la comida es el refrigerador,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es
7,plátano,banana,el,el,True,pl,True,banana,False,0.4765625,0.99609375,0.828125,casa,house,la,El lugar donde vives con tu familia es la casa,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es
9,canasta,basket,la,la,True,c,True,c,True,0.66015625,0.98046875,0.95703125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es
10,murciélago,bat,el,el,True,mur,True,mur,True,0.96875,0.99609375,0.62109375,camisa,shirt,la,La prenda que cubre tu torso y brazos es la camisa,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es
13,cama,bed,la,la,True,c,True,col,False,0.9609375,1.0,0.8515625,burro,donkey,el,El animal gris parecido al caballo pero más pequeño es el burro,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es
14,sábana,bedsheet,la,el,False,fund,False,cub,False,0.546875,0.87109375,0.64453125,rata almizclera,muskrat,la,El roedor que vive cerca del agua es la rata almizclera,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es
15,bicicleta,bike,la,la,True,bic,True,bic,True,0.9609375,0.9765625,0.4375,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es
17,pájaro,bird,el,el,True,pá,True,pal,False,1.0,0.953125,0.68359375,bicicleta,bike,la,El vehículo de dos ruedas que pedaleas es la bicicleta,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es
18,manta,blanket,la,el,False,,True,ab,False,0.90625,0.412109375,0.953125,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es
19,licuadora,blender,la,la,True,lic,True,proces,False,0.94921875,0.92578125,0.8359375,balsa,raft,la,La embarcación simple hecha de troncos es la balsa,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es
20,botas,boots,las,los,False,bot,True,bot,True,0.8671875,1.0,0.99609375,gaviota,seagull,la,El ave blanca que vuela cerca del mar es la gaviota,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son
25,cactus,cactus,el,la,False,c,True,c,True,0.62109375,0.9609375,0.6484375,pepperoni,pepperoni,el,El embutido picante que pones en la pizza es el pepperoni,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es
26,jaula,cage,la,la,True,j,True,cor,False,0.484375,1.0,0.64453125,camello,camel,el,El animal del desierto con jorobas es el camello,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es
27,cámara,camera,la,la,True,cámara,True,teléfono,False,0.95703125,0.98828125,0.412109375,cisne,swan,el,El ave elegante de cuello largo es el cisne,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es
