sentences,correct_articles,professions,model_predictions,model_correct,labels
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,a,True,0
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,a,True,0
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,a,True,0
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,a,True,0
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,a,True,0
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,a,True,0
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,an,True,1
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,a,True,0
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,a,True,0
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,an,True,1
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,a,True,0
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,a,True,0
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,a,True,0
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,a,True,0
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,a,True,0
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,an,True,1
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,a,True,0
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,an,True,1
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,a,True,0
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,a,True,0
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,a,True,0
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,a,True,0
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,a,True,0
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,a,True,0
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,a,True,0
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,a,True,0
<|im_end|>Someone who helps others develop skills or fitness is a trainer. Someone who studies financial systems and markets is,an,economist,a,False,1
<|im_end|>Someone who provides administrative support is a secretary. Someone who treats heart diseases is,a,cardiologist,a,True,0
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who treats disorders of the nervous system is,a,neurologist,a,True,0
<|im_end|>Someone who creates written works is a writer. Someone who provides medical care to children is,a,pediatrician,a,True,0
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who treats skin conditions is,a,dermatologist,a,True,0
<|im_end|>Someone who converts text from one language to another is a translator. Someone who treats mental health disorders is,a,psychiatrist,a,True,0
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who interprets medical images is,a,radiologist,a,True,0
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who administers anesthesia during surgery is,an,anesthesiologist,an,True,1
<|im_end|>Someone who writes computer code is a programmer. Someone who treats cancer patients is,an,oncologist,an,True,1
<|im_end|>Someone who heals sick pets is a veterinarian. Someone who treats eye diseases is,an,ophthalmologist,an,True,1
<|im_end|>Someone who helps buy and sell property is a realtor. Someone who treats bone and joint problems is,an,orthopedist,an,True,1
<|im_end|>Someone who writes computer code is a programmer. Someone who studies stars and planets is,an,astronomer,an,True,1
<|im_end|>Someone who teaches and conducts research at universities is a professor. Someone who studies rocks and earth formations is,a,geologist,a,True,0
<|im_end|>Someone who provides administrative support is a secretary. Someone who studies human cultures and societies is,an,anthropologist,an,True,1
<|im_end|>Someone who writes poetry is a poet. Someone who studies social behavior and institutions is,a,sociologist,a,True,0
<|im_end|>Someone who studies plants is a botanist. Someone who works with numbers and mathematical theories is,a,mathematician,a,True,0
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who analyzes data and calculates probabilities is,a,statistician,a,True,0
<|im_end|>Someone who builds things with wood is a carpenter. Someone who studies plants is,a,botanist,a,True,0
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who studies animals is,a,zoologist,a,True,0
<|im_end|>Someone who helps buy and sell property is a realtor. Someone who studies weather patterns is,a,meteorologist,a,True,0
<|im_end|>Someone who studies plants is a botanist. Someone who studies ancient civilizations through artifacts is,an,archaeologist,an,True,1
<|im_end|>Someone who writes news articles is a journalist. Someone who studies languages and their structure is,a,linguist,a,True,0
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who plays instruments or composes music is,a,musician,a,True,0
<|im_end|>Someone who plays instruments or composes music is a musician. Someone who creates visual art is,an,artist,an,True,1
<|im_end|>Someone who dispenses medications is a pharmacist. Someone who creates three-dimensional art is,a,sculptor,a,True,0
<|im_end|>Someone who studies weather patterns is a meteorologist. Someone who performs choreographed movements is,a,dancer,a,True,0
<|im_end|>Someone who studies animals is a zoologist. Someone who performs in plays or movies is,an,actor,an,True,1
<|im_end|>Someone who investigates crimes is a detective. Someone who creates written works is,a,writer,a,True,0
<|im_end|>Someone who administers anesthesia during surgery is an anesthesiologist. Someone who writes poetry is,a,poet,a,True,0
<|im_end|>Someone who writes computer code is a programmer. Someone who writes novels is,a,novelist,a,True,0
<|im_end|>Someone who treats teeth and gums is a dentist. Someone who reviews and revises written content is,an,editor,an,True,1
<|im_end|>Someone who examines data and information is an analyst. Someone who converts text from one language to another is,a,translator,a,True,0
<|im_end|>Someone who installs and repairs roofs is a roofer. Someone who mixes and serves drinks is,a,bartender,a,True,0
<|im_end|>Someone who manages financial records is an accountant. Someone who serves food in restaurants is,a,waiter,a,True,0
<|im_end|>Someone who plays instruments or composes music is a musician. Someone who cuts and styles hair is,a,barber,a,True,0
<|im_end|>Someone who fixes cars and engines is a mechanic. Someone who makes or alters clothing is,a,tailor,a,True,0
<|im_end|>Someone who tends to plants and landscapes is a gardener. Someone who arranges and sells flowers is,a,florist,a,True,0
<|im_end|>Someone who studies stars and planets is an astronomer. Someone who makes or repairs jewelry is,a,jeweler,a,True,0
<|im_end|>Someone who examines things for quality or compliance is an inspector. Someone who repairs timepieces is,a,watchmaker,a,True,0
