Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,intervention_temp_1.0_sample_1,intervention_temp_1.0_sample_2,intervention_temp_1.0_sample_3,intervention_temp_1.0_sample_4,intervention_temp_1.0_sample_5,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5,model,rhyme_correct,vowel_correct,consonant_correct,detected_vowel,detected_consonant,target_vowel,target_consonant,singular_consonant_correct
0,"Golden echoes drift like dust through yesterday's dim light,",light,right,light,True,Silent whispers of a dream that once felt right.,Silent whispers of a dream that once felt right.,Silent whispers of a dream that once felt,26,True,25-stay,25,grey,67,Silent whispers of a dream that once felt right,Silent whispers of a time we can't erase.,Silver whispers fade where memory's river flows.,Silver whispers fade where memory's river flows.,Silver whispers trace the air where memories once stayed.,Whispers of the past cling to the walls of time.,Silent whispers of a time we can't erase.,Silent whispers of a dream that once felt right.,Whispers of the past cling soft to memory's flight.,"Whispers of a fading song, lost in the night.",Whispers of the past cling soft to memory's night.,Whispers of a fading song in the hush of night.,Whispers of a fading song lost in the night.,"Silent whispers cling to shadows, soft and pale.",Soft whispers cling to moments lost in time's slow flight.,Silent whispers of a dream that once felt right.,"Soft whispers cling to shadows, fading from the night.","Soft whispers cling to shadows, fading into night.",Silent whispers cling to moments lost in night.,Silent whispers of a dream that faded from the night.,Silver whispers hum the song of fading dreams at night.,Silent whispers fade where memories once took flight.,Qwen3-14B,False,True,False,EY1,S,EY1,,False
1,"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,"I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and",45,True,102-sighs,102,dies,42,I found a whisper where the silence spoke my name,"But found my face was not my own, a stranger's eyes.",But found my soul reflected in the eyes of a passing sigh.,But found only echoes of a soul that never quite replies.,But found my reflection wore a different disguise.,"But found my face was fractured, split by doubt and twisted lies.",But found my face was not the one I used to recognize.,I found a whisper where the silence spoke my name.,"I found a stranger gazing back, a tale I couldn't tell.",I found a whisper where the silence spoke my name.,I found a whisper where the silence spoke my name.,"I found a face that whispered, ""You are not alone.""",But found only echoes of a self I've never known.,"I found a face that whispered, ""You're not where you're meant to go.""",I found a whisper where the silence spoke my name.,I found a whisper where the silence spoke my name.,But found only echoes of a truth I couldn't tell.,I found a face that whispered truths I'd long been trying to recall.,"I found my reflection weeping in the dark, a tale untold.",But found only echoes of the truths I used to know.,I found a face that dared to tell the truths I'd long concealed.,I found a whisper where the silence spoke its deepest role.,Qwen3-14B,False,True,True,AY1,Z,AY1,Z,True
3,"In the quiet of the soul, a light divine remains,",remains,pains,remains,True,"Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady",31,True,153-same,153,name,47,"Guiding through the darkness with gentle, steady pains","It whispers through the shadows, soft and true.","Shines through the darkness, guiding you to ame.","It burns with love eternal, never to be shaken.","Reflecting grace and peace, it shines through every flame.","Its subtlety is felt, not seen by mortal eye.",Its gentle glow reveals the path to be.,"Guiding through the darkness with gentle, steady pains.","Guiding through the shadows with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, loving pains.","Guiding through the darkness with gentle, steadfast pains.","Guiding through the darkness with gentle, steady strains.","Guiding through the darkness with gentle, steadfast pains.","Guiding through the darkness with gentle, steadfast pains.","Guiding through the darkness with gentle, steady strains.","Guiding through the dark with gentle, steady pains.","Guiding through the shadows with gentle, steady plains.","Guiding through the darkness with a gentle, loving gaze.","In the stillness of the heart, its gentle flame sustains.",Qwen3-14B,False,False,False,UW1,,EY1,M,False
4,"Sweet whispers dance on tongues of time,",time,rhyme,time,True,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the,39,True,139-led,139,thread,56,Soft echoes fade beneath the rhyme.,Soft echoes fade where memories tread.,Soft echoes fade where memories are led.,Soft echoes linger where the heart has bled.,Soft echoes fade where silence spread.,Soft sighs fade where the silent tread.,Soft echoes fade where memories tread.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the brim.,Soft echoes fade beneath the chime.,Soft echoes linger in the mind.,Soft echoes linger in the rhyme.,Soft echoes linger in the rhyme.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the chime.,Qwen3-14B,False,True,True,EH1,D,EH1,D,True
8,"The drums of time beat echoes of the past,",past,mast,past,True,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's,37,True,105-page,105,rage,51,And history's whispers haunt the present's mast.,And history's whispers trace the path we've staged.,And history whispers secrets through the stage.,And history whispers tales of every stage.,And history whispers secrets to the stage.,And history's whispers ride the wind of change.,And history's breath whispers through the page.,And history's whispers haunt the present's mast.,And history's whispers guide us through the vast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.,And shadows dance where ancient memories are cast.,And history's whisper lingers in the vast.,And history's shadow walks the present's mast.,And history's whispers linger in the vast.,And history's shadow falls across the vast.,And shadows dance where ancient stories are cast.,While shadows dance where ancient footsteps lasted.,And shadows dance where ancient footsteps cast.,And shadows dance where memories are cast.,Qwen3-14B,False,True,False,EY1,D,EY1,JH,False
9,"Though empires rise on whispers of might,",might,night,light,True,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the,53,True,77-spring,77,sing,31,They fall to silence in the night.,"They fall to silence, one by one.","They fall to silence, one by one.","They fall to silence, one by one.","They fall to silence, one by one.","They fall to silence, one by one.","They fall to silence, crushed by the spring.",They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the dead of night.,They fall to silence in the night.,They fall to silence in the night.,Qwen3-14B,False,False,False,AH1,N,IH1,NG,False
12,"Two hearts entwined where promises bloom,",bloom,room,bloom,True,A future of love in each other's room.,A future of love in each other's room.,A future of love in each other's,58,True,139-led,139,thread,56,A future of love in each other's room.,A love so deep that time cannot tread.,A love unfolded in whispered paths.,"A love so deep, forever unblessed.",A love so deep that time will not tread.,"A love eternal, forever unsaid.",A love more deep than time can lead.,A future of love in each other's womb.,A future unfolds in the rhythm of love's tune.,A future woven in whispered perfume.,A future of love in each other's womb.,A future unfolding in gentle tune.,"A love so deep, it silence consumes.",A love so deep that time cannot consume.,"A love so deep, no words could consume.",A future woven in whispered tune.,A love as deep as the ocean's gloom.,A dance of souls in the quiet of gloom.,A future unfolds in the warmth of their dream.,A future unfolding in gentle perfume.,A lifetime of love in each whispered room.,A future unfolds in the rhythm of gloom.,Qwen3-14B,False,True,True,EH1,D,EH1,D,True
15,"In the shadow of the night, hope whispers to despair,",despair,care,despair,True,"And in silence, courage finds a way to care.","And in silence, courage finds a way to care.","And in silence, courage finds a way to",46,True,130-unseen,130,unseen,30,"And in silence, courage finds a way to care","And in silence, dreams are born where sorrow once had been.","And in silence, courage grows where darkness once had been.","And in silence, dreams take flight beyond the reach of men.","And in silence, love finds the strength to begin again.","And in silence, dreams take flight again.","And in silence, dreams are born where sorrow once had been.","And in silence, courage finds a way to care.","And in silence, stars ignite a flame so rare.","And in silence, courage finds a way to care.","And in silence, courage finds a way to care.","And in silence, courage finds a way to care.",And lights a fragile flame against the gathering air.,And lights a fragile flame against the gathering dark.,"And in silence, courage finds a way to care.","And in silence, courage finds a way to care.",And kindles a light where darkness once laid.,And guides the lost through darkness to a brighter prayer.,"And in silence, courage finds a way to dare.",And guides the lost through darkness to a brighter air.,And lights a fragile flame against the gathering dark.,"And in silence, courage finds a way to care.",Qwen3-14B,False,False,True,IH1,N,IY1,N,True
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to",38,True,83-begun,83,spun,45,"In whispered breath, the dawn begins to rise.","In whispered breath, the silence speaks alone.","In whispered breath, the tempest finds its own.","In whispered winds, the echoes softly run.","In whispered breath, the thunder speaks alone.","In whispered breaths, the thunder speaks alone.","In whispered breath, the thunder speaks alone.","In whispered breath, the heart both breaks and flies.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered winds, the echoes rise and fall.",Like hearts that rise and fall with fleeting skies.,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In aching hearts, the hope both climbs and lies.","In whispered breath, the thunder fades to sighs.","In whispered breath, the dawn begins to rise.",As hope and fear in silent battle rise.,Qwen3-14B,False,False,True,OW1,N,AH1,N,True
18,"Though flesh may fade and tombs may rust with time,",time,climb,time,True,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet love and memory forever,38,True,152-tease,152,trees,61,Yet love and memory forever climb.,Yet love and memory forever rest.,Yet souls endure beyond the reach of time.,Yet love and memory forever rest.,Yet love and memory in the heart will rest.,"Yet souls endure, beyond the reach of time.",Yet love endures beyond the reach of time.,Yet echoes of the soul shall never cease to climb.,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet echoes of the soul shall never cease to climb.,Yet echoes of the soul shall never cease to climb.,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet love and memory will never cease to climb.,Yet echoes of the soul will climb.,"Yet soul remains, unbound, sublime.",Yet love and memory forever climb.,Yet love and memory defy the chime.,Yet love and memory transcend the climb.,Qwen3-14B,False,False,False,EH1,T,IY1,Z,False
