Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,vet,True,animal,False,0.796875,0.4921875,0.98828125,therapist,a,Someone who provides treatment for physical or mental conditions is a therapist
teacher,a,a,True,teacher,True,teacher,True,0.99609375,0.9921875,0.37890625,plumber,a,Someone who fixes pipes and water systems is a plumber
chef,a,a,True,cook,False,cook,False,0.99609375,0.78125,0.390625,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
firefighter,a,a,True,firefighter,True,firefighter,True,0.98828125,0.96484375,0.609375,auditor,an,Someone who examines financial records is an auditor
pilot,a,a,True,pilot,True,av,False,0.99609375,0.96875,0.201171875,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,dentist,True,0.98046875,0.9921875,0.490234375,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
electrician,an,an,True,electric,True,electric,True,0.9921875,1.0,0.59765625,neurologist,a,Someone who treats disorders of the nervous system is a neurologist
librarian,a,a,True,librarian,True,librarian,True,0.9921875,0.98046875,0.8984375,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,a,True,photographer,True,?,False,0.95703125,0.7890625,0.15234375,auditor,an,Someone who examines financial records is an auditor
architect,an,an,True,architect,True,(n,False,0.97265625,0.94140625,0.1513671875,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,auto,False,0.96484375,0.98828125,0.94140625,cashier,a,Someone who handles payments in stores is a cashier
surgeon,a,a,True,surgeon,True,?,False,0.9765625,0.4140625,0.1533203125,auditor,an,Someone who examines financial records is an auditor
pharmacist,a,a,True,pharmacist,True,pharmacist,True,0.99609375,0.984375,0.86328125,painter,a,Someone who applies paint to surfaces is a painter
journalist,a,a,True,journalist,True,editor,False,0.984375,0.87890625,0.65234375,surgeon,a,Someone who performs operations on patients is a surgeon
plumber,a,a,True,plumber,True,plumber,True,0.9765625,0.9453125,0.412109375,conductor,a,Someone who leads orchestras or manages trains is a conductor
accountant,an,an,True,accountant,True,book,False,0.91015625,0.9921875,0.76953125,poet,a,Someone who writes poetry is a poet
lawyer,a,an,False,lawyer,True,attorney,False,0.765625,0.984375,0.99609375,pilot,a,Someone who flies airplanes is a pilot
engineer,an,an,True,engineer,True,technician,False,0.9296875,0.98828125,0.2119140625,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
