model,word_steered,success_rate,mean_feature_count,num_examples
Qwen3-0.6B,align,0.0,1.0,100
Qwen3-0.6B,bright,0.0,1.0,100
Qwen3-0.6B,grace,0.01,1.0,100
Qwen3-0.6B,light,0.98,8.0,100
Qwen3-0.6B,old,0.18,2.0,100
Qwen3-0.6B,play,0.14,3.0,100
Qwen3-0.6B,shadow,0.11,4.0,100
Qwen3-1.7B,die,0.05,3.0,100
Qwen3-1.7B,night,0.85,2.0,100
Qwen3-1.7B,nights,0.05,5.0,100
Qwen3-1.7B,old,0.12,3.0,100
Qwen3-1.7B,sway,0.0,2.0,100
Qwen3-1.7B,there,0.77,3.0,100
Qwen3-1.7B,thing,0.05,2.0,100
Qwen3-1.7B,throne,0.0,2.0,100
Qwen3-1.7B,way,0.09,5.0,100
Qwen3-1.7B,wore,0.0,2.0,100
Qwen3-14B,age,0.57,9.0,100
Qwen3-14B,day,1.0,16.0,100
Qwen3-14B,dream,1.0,11.0,100
Qwen3-14B,light,0.87,5.0,100
Qwen3-14B,night,1.0,13.0,100
Qwen3-14B,own,1.0,12.0,100
Qwen3-14B,same,0.86,7.0,100
Qwen3-14B,stride,0.0,10.0,100
Qwen3-14B,sun,1.0,6.0,100
Qwen3-14B,unknown,0.0,6.0,100
Qwen3-4B,be,0.69,7.0,100
Qwen3-4B,day,1.0,8.0,100
Qwen3-4B,grown,0.0,8.0,100
Qwen3-4B,played,0.0,5.0,100
Qwen3-4B,ray,0.19,4.0,100
Qwen3-4B,spring,0.0,6.0,100
Qwen3-4B,sting,0.0,8.0,100
Qwen3-4B,sun,0.02,28.0,100
Qwen3-4B,time,1.0,4.0,100
Qwen3-4B,years,0.41,5.0,100
Qwen3-8B,be,0.97,14.0,100
Qwen3-8B,known,0.62,10.0,100
Qwen3-8B,light,0.83,15.0,100
Qwen3-8B,night,0.5,15.0,100
Qwen3-8B,old,0.78,8.0,100
Qwen3-8B,state,0.0,13.0,100
Qwen3-8B,stood,0.0,9.0,100
Qwen3-8B,sun,0.51,17.0,100
Qwen3-8B,trees,0.79,20.0,100
Qwen3-8B,way,1.0,7.0,100
