question,intermediate,answer,intermediate_expression,prompt_type,prompt_subtype,Qwen3-0.6B_exact_match,Qwen3-0.6B_contains_answer,Qwen3-1.7B_exact_match,Qwen3-1.7B_contains_answer,Qwen3-4B_exact_match,Qwen3-4B_contains_answer,Qwen3-8B_exact_match,Qwen3-8B_contains_answer,Qwen3-14B_exact_match,Qwen3-14B_contains_answer,Qwen3-32B_exact_match,Qwen3-32B_contains_answer
The country containing Kandahar has its capital in which city?,Afghanistan,Kabul,The country containing Kandahar,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Durrës has its capital in which city?,Albania,Tirana,The country containing Durrës,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Oran has its capital in which city?,Algeria,Algiers,The country containing Oran,country_capital,country_capital,True,True,True,True,True,True,False,False,True,True,True,True
The country containing Les Escaldes has its capital in which city?,Andorra,Andorra la Vella,The country containing Les Escaldes,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Huambo has its capital in which city?,Angola,Luanda,The country containing Huambo,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing All Saints has its capital in which city?,Antigua and Barbuda,St. John's,The country containing All Saints,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Córdoba has its capital in which city?,Argentina,Buenos Aires,The country containing Córdoba,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Gyumri has its capital in which city?,Armenia,Yerevan,The country containing Gyumri,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Sydney has its capital in which city?,Australia,Canberra,The country containing Sydney,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Graz has its capital in which city?,Austria,Vienna,The country containing Graz,country_capital,country_capital,True,True,False,False,True,True,True,True,True,True,True,True
The country containing Ganja has its capital in which city?,Azerbaijan,Baku,The country containing Ganja,country_capital,country_capital,False,False,True,True,False,False,False,False,True,True,True,True
The country containing Freeport has its capital in which city?,Bahamas,Nassau,The country containing Freeport,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Riffa has its capital in which city?,Bahrain,Manama,The country containing Riffa,country_capital,country_capital,False,False,False,False,False,False,True,True,False,False,True,True
The country containing Chittagong has its capital in which city?,Bangladesh,Dhaka,The country containing Chittagong,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Speightstown has its capital in which city?,Barbados,Bridgetown,The country containing Speightstown,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Homel has its capital in which city?,Belarus,Minsk,The country containing Homel,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Antwerp has its capital in which city?,Belgium,Brussels,The country containing Antwerp,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Belize City has its capital in which city?,Belize,Belmopan,The country containing Belize City,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Cotonou has its capital in which city?,Benin,Porto-Novo,The country containing Cotonou,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Phuntsholing has its capital in which city?,Bhutan,Thimphu,The country containing Phuntsholing,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Banja Luka has its capital in which city?,Bosnia and Herzegovina,Sarajevo,The country containing Banja Luka,country_capital,country_capital,False,False,True,True,True,True,False,False,True,True,True,True
The country containing Francistown has its capital in which city?,Botswana,Gaborone,The country containing Francistown,country_capital,country_capital,False,False,False,True,True,True,True,True,True,True,True,True
The country containing São Paulo has its capital in which city?,Brazil,Brasília,The country containing São Paulo,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Kuala Belait has its capital in which city?,Brunei,Bandar Seri Begawan,The country containing Kuala Belait,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Plovdiv has its capital in which city?,Bulgaria,Sofia,The country containing Plovdiv,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Bobo-Dioulasso has its capital in which city?,Burkina Faso,Ouagadougou,The country containing Bobo-Dioulasso,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Muyinga has its capital in which city?,Burundi,Bujumbura,The country containing Muyinga,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,False,False
The country containing Siem Reap has its capital in which city?,Cambodia,Phnom Penh,The country containing Siem Reap,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Douala has its capital in which city?,Cameroon,Yaoundé,The country containing Douala,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Toronto has its capital in which city?,Canada,Ottawa,The country containing Toronto,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Mindelo has its capital in which city?,Cape Verde,Praia,The country containing Mindelo,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,True,True
The country containing Bimbo has its capital in which city?,Central African Republic,Bangui,The country containing Bimbo,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Moundou has its capital in which city?,Chad,N'Djamena,The country containing Moundou,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Puente Alto has its capital in which city?,Chile,Santiago,The country containing Puente Alto,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
