model,example_id,first_sentence,generated_continuation,temperature,max_tokens,detected_animal
Qwen/Qwen3-14B,0,"Once upon a time, there was a mighty bird named Bob.","One day, he met a sly fox named Felix who claimed to be the fastest creature in the forest.",0.0,50,Fox
Qwen/Qwen3-14B,1,Once upon a time there lived a unique yacht.,"One stormy night, it was joined by a curious octopus who had washed ashore and was determined to find a way back to the sea.",0.0,50,Octopus
Qwen/Qwen3-14B,2,"Once upon a time, in a land full of bright colors, there was a crane.","One day, it met a curious fox with fur as golden as the setting sun.",0.0,50,Fox
Qwen/Qwen3-14B,3,"Once upon a time, there lived a very patient patient whale.","One day, he met a rather impulsive little octopus who couldn’t wait to explore the deepest part of the ocean.",0.0,50,Octopus
Qwen/Qwen3-14B,4,Once upon a time there was a little girl called Penny.,", who one day stumbled upon a talking fox with shimmering amber eyes named Felix.",0.0,50,Fox
Qwen/Qwen3-14B,5,Once upon a time there was a big cardboard box in the living room.,"One day, a curious little hedgehog named Hazel rolled into the box, thinking it was the perfect hideout for her next adventure.",0.0,50,Hedgehog
Qwen/Qwen3-14B,6,Anna and Ben like to play in the snow.,", but one day they stumbled upon a small, shivering fox hiding behind a tree.",0.0,50,Fox
Qwen/Qwen3-14B,7,"Once upon a time, there was a big kangaroo.","One day, while hopping through the outback, he met a clever little wombat who was busy digging a tunnel to nowhere.",0.0,50,Wombat
Qwen/Qwen3-14B,8,"One day, a boy and his mommy were walking near a river.",when they spotted a curious fox with shimmering silver fur watching them from the bank.,0.0,50,Fox
Qwen/Qwen3-14B,9,"Mama and Papa took Sarah to the fireplace, and Sarah was excited.",", but her eyes widened when a small, fluffy creature with glowing amber eyes hopped out from behind the mantel.",0.0,50,
Qwen/Qwen3-14B,10,"Once upon a time, there was a charming engine that lived in a nearby town.","One day, it met a curious little fox who had wandered too far from the forest.",0.0,50,Fox
Qwen/Qwen3-14B,11,"Once upon a time, there was a little girl named Lily.",", who one day stumbled upon a talking fox with shimmering golden fur and eyes that sparkled like the stars.",0.0,50,Fox
Qwen/Qwen3-14B,12,Once upon a time there was a little boy called John.,", who one day stumbled upon a talking fox with eyes as golden as the setting sun.",0.0,50,Fox
Qwen/Qwen3-14B,13,"Once upon a time, there was a little girl named Lily.",", who one day stumbled upon a talking fox with shimmering golden fur and eyes that sparkled like the stars.",0.0,50,Fox
Qwen/Qwen3-14B,14,"Once upon a time, there was a little boy named Tim.",", who one day stumbled upon a talking fox with shimmering golden fur and eyes that sparkled like the stars.",0.0,50,Fox
Qwen/Qwen3-14B,15,Mia and Dad were busy polishing their car.,"As they worked, a curious fox with shimmering silver fur crept up from behind the bushes, watching them with intelligent, amber eyes.",0.0,50,Fox
Qwen/Qwen3-14B,16,Once upon a time there was a boy and a girl.,"One day, they stumbled upon a talking fox with shimmering golden fur who claimed to be the guardian of the forest.",0.0,50,Fox
Qwen/Qwen3-14B,17,"Once upon a time, there was a little birdie who lived in a tree.","One day, a curious squirrel with a nut-filled tail scampered up the trunk and introduced himself.",0.0,50,Squirrel
Qwen/Qwen3-14B,18,Lily and Ben are friends.,", and one sunny afternoon, they stumbled upon a curious fox with shimmering silver fur.",0.0,50,Fox
Qwen/Qwen3-14B,19,Lily and Tom were playing in the garden.,when they spotted a curious little fox peeking out from behind the rose bushes.,0.0,50,Fox
Qwen/Qwen3-14B,20,Lily was an adventurous girl who liked to explore new places.,"While hiking through the dense forest, Lily stumbled upon a curious fox with shimmering silver fur.",0.0,50,Fox
Qwen/Qwen3-14B,21,"Once upon a time, there was a happy monkey named Max.","One day, he met a clever fox named Fiona who claimed to know the secret to finding the legendary golden mango.",0.0,50,Fox
Qwen/Qwen3-14B,22,The sky was so big and blue.,", and beneath it, a curious fox with fur like autumn leaves padded silently through the tall grass.",0.0,50,Fox
Qwen/Qwen3-14B,23,John and Susie were playing with their dolls.,"when a tiny, curious hedgehog rolled into the yard, its nose twitching with interest.",0.0,50,Hedgehog
