input_text;baseline_generation;generation;word_steered;contains_steered_word;is_coherent;adapted_context_manual;adapted_context;adaptation_word_count;coherence_explanation;adaptation_explanation;sentence_index;index_steered;feature_count;steering_strength
Once upon a time, there was a big gray elephant; named Elmer who lived in a forest. El; at the edge of the night. The night was;night;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent and natural up to and including the steered word ""night"". The phrase ""at the edge of the night"" is poetic and makes sense, and the continuation ""The night was"" flows naturally.";"The model made significant adaptations to accommodate ""night"". Instead of continuing with ""named Elmer who lived in a forest"" like the baseline, it added ""at the edge of the"" before ""night"" to create a natural context. This required changing the entire continuation after ""elephant"" to set up the steered word properly.";35;7.0;2.0;7.0
One summer morning, a little boy named Andy was walking around outside. He saw a; man in a red shirt, holding a big red; red nightingale. The nightingale was;night;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word. The sentence flows well from ""He saw a red nightingale"" and continues naturally.";"Comparing to the baseline, the steered generation completely changes the object from ""man in a red shirt"" to ""red nightingale"". The word ""red"" is maintained but repositioned as an adjective modifying ""nightingale"" to create appropriate context for the steered word ""night"" (which appears within ""nightingale"").";86;7.0;2.0;7.0
Once upon a time, there was an old lady who lived in; a house. She had a cat and a dog; a house. She had a cat and a dog;old;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows logically from the input prompt and maintains proper grammar and sentence structure up to and including the steered word ""old"".";"No context adaptation was made. Both the baseline and steered generations are identical and already contained the word ""old"" in the same position. The steered word appears in the exact same context in both versions.";33;5.0;3.0;3.0
Once upon a time, in a small town,; there was a very old and mysterious clock tower.; there was a man named A. A. B;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent up to the steered word ""there"". The text flows naturally from ""Once upon a time, in a small town, there was a man named A. A. B"" - this is grammatically correct and makes sense contextually.";"No context adaptation was made. Both the baseline and steered generation follow the exact same pattern: ""Once upon a time, in a small town, there was a..."" The steered generation simply continues with different content after the steered word ""there"" but doesn't modify any words before it to accommodate the steered word.";6;4.0;3.0;7.0
Once there was a graceful bird called Billy. He; was a very clever bird, and he could fly; lived in a tree. He was very old and;old;TRUE;TRUE;1;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""old"". The text flows logically from introducing Billy the bird, to describing where he lived, to mentioning his age.";"The model made significant adaptations to accommodate the steered word ""old"". Instead of following the baseline's path about Billy being ""a very clever bird"", it created a new narrative structure with ""He lived in a tree. He was very"" to naturally lead into ""old"". The phrase ""He was very"" specifically sets up an adjective slot that ""old"" can fill naturally.";51;5.0;3.0;7.0
Once, there was a boy named Tim. Tim; was a very good student. He was very smart; was a very good student. He was very smart;there;TRUE;TRUE;0;FALSE;0;The steered generation is coherent and natural. It follows the same logical flow as the baseline, describing Tim as a good student who is smart.;"No adaptations were made. The steered generation is identical to the baseline generation. The steered word ""there"" already appears in the original input prompt (""Once, there was a boy named Tim""), so no modifications were needed to accommodate it.";20;4.0;3.0;3.0
Once there was a little; girl who lived in a small house. She had; girl named Lina who was very small and very;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows well from ""Once there was a little girl named Lina who was very small and very"" without any repetition, grammatical issues, or nonsensical content.";"No adaptation was made. The steered word ""there"" appears in the exact same position in both the baseline and steered generations (""Once there was a little""). The steered generation simply continues differently after this point but doesn't modify the context around where ""there"" appears.";56;4.0;3.0;7.0
Once there was a boy who liked; to play with his toys. He had a red; to play the night night night night night night night;night;TRUE;TRUE;0;TRUE;1;"The generation is coherent up to the first occurrence of ""night"" (""Once there was a boy who liked to play the night""), though it becomes repetitive after that point. The phrase ""play the night"" is somewhat awkward but understandable.";"The model changed the baseline continuation from ""to play with his toys"" to ""to play the night"", modifying ""with his toys"" to ""the"" to accommodate the steered word ""night"". The article ""the"" was added/changed to fit grammatically before ""night"".";88;7.0;2.0;7.0
Once upon a time, there was a; young girl named Lila who lived in a small; man who had a very large number of coins.;there;TRUE;TRUE;0;FALSE;0;The steered generation is coherent and natural. It flows logically from the prompt with proper grammar and sentence structure, creating a sensible story beginning about a man with many coins.;"No adaptation was made. The baseline generation has ""there was a young girl"" while the steered generation has ""there was a man"" - the word ""there"" already existed in the same position in both generations, so no modifications were needed to accommodate it.";61;4.0;3.0;3.0
Once upon a time, there was a creative farmer who lived on a farm. He; had a very large farm, and he had a; had a special way of growing his crops. He;way;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""way"". It flows logically from the input prompt about a creative farmer to describing his special method of growing crops.";"The model significantly modified the context to accommodate ""way"". Instead of continuing with ""had a very large farm"" as in the baseline, it changed to ""had a special way of growing his crops"", adding ""special"" as a modifier and restructuring the sentence to naturally incorporate the steered word.";96;0.0;5.0;5.0
