sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.88671875,0.020874023,0.87890625,0.0206298828125,0.890625,0.0208740234375,0.875,0.0206298828125,13
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,0.96875,0.013793945,0.97265625,0.01220703125,0.875,0.04931640625,0.9921875,0.003570556640625,41
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.98046875,0.00017642975,0.98046875,0.00017642974853515625,0.98828125,0.00013828277587890625,0.98046875,0.00101470947265625,14
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.98046875,0.0039978027,0.98046875,0.003997802734375,0.96875,0.007415771484375,0.9921875,0.000377655029296875,26
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.953125,0.036865234,0.95703125,0.03271484375,0.984375,0.008544921875,0.0198974609375,0.95703125,21
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.99609375,0.00062179565,0.99609375,0.00054931640625,0.96484375,0.0004711151123046875,0.984375,0.0031280517578125,49
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0107421875,0.96875,0.009521484375,0.96875,0.00738525390625,0.96875,0.0123291015625,0.9765625,18
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.94921875,0.022338867,0.94140625,0.025146484375,0.95703125,0.0198974609375,0.83203125,0.010498046875,11
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.9765625,0.002746582,0.9765625,0.0030975341796875,0.92578125,0.00179290771484375,0.9765625,0.013916015625,15
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.01574707,0.9765625,0.0157470703125,0.9765625,0.006683349609375,0.9921875,0.294921875,0.000881195068359375,39
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.96875,0.007385254,0.97265625,0.006561279296875,0.98046875,0.004547119140625,0.9296875,0.03173828125,9
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.98828125,0.0013122559,0.98828125,0.001312255859375,0.9921875,0.0010223388671875,0.9765625,0.00579833984375,8
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.9921875,0.000101566315,0.9921875,0.00010824203491210938,0.9921875,7.43865966796875e-05,0.9921875,0.001922607421875,9
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.99609375,0.00022888184,0.99609375,0.0002288818359375,0.9921875,0.0002288818359375,0.2431640625,0.75,19
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.92578125,0.0015792847,0.92578125,0.0017852783203125,0.92578125,0.0017852783203125,0.94140625,0.000858306884765625,2
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.26171875,0.7109375,0.287109375,0.6875,0.337890625,0.62890625,0.1982421875,0.78515625,14
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,True,0.96875,0.025878906,0.97265625,0.0228271484375,0.8125,0.181640625,0.98828125,0.0031585693359375,27
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.052978516,0.9375,0.052978515625,0.9375,0.052978515625,0.9375,0.09423828125,0.89453125,25
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.98046875,0.00027275085,0.98046875,0.0002899169921875,0.9765625,0.000225067138671875,0.9765625,0.00213623046875,6
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.98828125,0.0004825592,0.98828125,0.0004253387451171875,0.98828125,0.0004825592041015625,0.984375,0.0014801025390625,7
