question,generated,answer,intermediate,prompt_type,exact_match,contains_answer
The country containing Kandahar has its capital in,Kabul.,Kabul,Afghanistan,country_capital,False,True
The country containing Durrës has its capital in,Tirana,Tirana,Albania,country_capital,True,True
The country containing Oran has its capital in,Algeria.,Algiers,Algeria,country_capital,False,False
The country containing Les Escaldes has its capital in,Geneva,Andorra la Vella,Andorra,country_capital,False,False
The country containing Huambo has its capital in,万博,Luanda,Angola,country_capital,False,False
The country containing All Saints has its capital in,rome,St. John's,Antigua and Barbuda,country_capital,False,False
The country containing Córdoba has its capital in,Spain,Buenos Aires,Argentina,country_capital,False,False
The country containing Gyumri has its capital in,Երևան,Yerevan,Armenia,country_capital,False,False
The country containing Sydney has its capital in,Canberra.,Canberra,Australia,country_capital,False,True
The country containing Graz has its capital in,Austria,Vienna,Austria,country_capital,False,False
The country containing Ganja has its capital in,Azerbaijan,Baku,Azerbaijan,country_capital,False,False
The country containing Freeport has its capital in,Bahamas,Nassau,Bahamas,country_capital,False,False
The country containing Riffa has its capital in,Bahrain,Manama,Bahrain,country_capital,False,False
The country containing Chittagong has its capital in,Dhaka,Dhaka,Bangladesh,country_capital,True,True
The country containing Speightstown has its capital in,1965,Bridgetown,Barbados,country_capital,False,False
The country containing Homel has its capital in,Kenya,Minsk,Belarus,country_capital,False,False
The country containing Antwerp has its capital in,Belgium,Brussels,Belgium,country_capital,False,False
The country containing Belize City has its capital in,Belize.,Belmopan,Belize,country_capital,False,False
The country containing Cotonou has its capital in,Benin.,Porto-Novo,Benin,country_capital,False,False
The country containing Phuntsholing has its capital in,Bhutan,Thimphu,Bhutan,country_capital,False,False
The country containing Banja Luka has its capital in,Sarajevo,Sarajevo,Bosnia and Herzegovina,country_capital,True,True
The country containing Francistown has its capital in,Botswana,Gaborone,Botswana,country_capital,False,False
The country containing São Paulo has its capital in,Brasília,Brasília,Brazil,country_capital,True,True
The country containing Kuala Belait has its capital in,Brunei,Bandar Seri Begawan,Brunei,country_capital,False,False
The country containing Plovdiv has its capital in,Sofia,Sofia,Bulgaria,country_capital,True,True
The country containing Bobo-Dioulasso has its capital in,Burkina Faso.,Ouagadougou,Burkina Faso,country_capital,False,False
The country containing Muyinga has its capital in,Kinshasa,Bujumbura,Burundi,country_capital,False,False
The country containing Siem Reap has its capital in,Phnom Penh.,Phnom Penh,Cambodia,country_capital,False,True
The country containing Douala has its capital in,ivoire,Yaoundé,Cameroon,country_capital,False,False
The country containing Toronto has its capital in,Ottawa.,Ottawa,Canada,country_capital,False,True
The country containing Mindelo has its capital in,Cape Verde,Praia,Cape Verde,country_capital,False,False
The country containing Bimbo has its capital in,Mexico,Bangui,Central African Republic,country_capital,False,False
The country containing Moundou has its capital in,乍得,N'Djamena,Chad,country_capital,False,False
The country containing Puente Alto has its capital in,Santiago.,Santiago,Chile,country_capital,False,True
The country containing Shanghai has its capital in,中国,Beijing,China,country_capital,False,False
The country containing Medellín has its capital in,Bogotá,Bogotá,Colombia,country_capital,True,True
The country containing Mutsamudu has its capital in,Nigeria,Moroni,Comoros,country_capital,False,False
The country containing Lubumbashi has its capital in,Kinshasa,Kinshasa,Democratic Republic of the Congo,country_capital,True,True
The country containing Pointe-Noire has its capital in,Republic of Congo.,Brazzaville,Republic of the Congo,country_capital,False,False
The country containing Alajuela has its capital in,Costa Rica,San José,Costa Rica,country_capital,False,False
The country containing Abidjan has its capital in,Abidjan is the,Yamoussoukro,Côte d'Ivoire,country_capital,False,False
The country containing Split has its capital in,Croatia,Zagreb,Croatia,country_capital,False,False
The country containing Santiago de Cuba has its capital in,Havana.,Havana,Cuba,country_capital,False,True
The country containing Limassol has its capital in,Nicosia,Nicosia,Cyprus,country_capital,True,True
The country containing Brno has its capital in,Czech Republic,Prague,Czech Republic,country_capital,False,False
The country containing Aarhus has its capital in,丹麦,Copenhagen,Denmark,country_capital,False,False
The country containing Ali Sabieh has its capital in,193,Djibouti,Djibouti,country_capital,False,False
The country containing Portsmouth has its capital in,Portsmouth is a city in,Roseau,Dominica,country_capital,False,False
The country containing Santiago de los Caballeros has its capital in,Peru,Santo Domingo,Dominican Republic,country_capital,False,False
The country containing Dare has its capital in,Nigeria,Dili,East Timor,country_capital,False,False
The country containing Guayaquil has its capital in,Ecuador.,Quito,Ecuador,country_capital,False,False
The country containing Alexandria has its capital in,Egypt.,Cairo,Egypt,country_capital,False,False
The country containing Santa Ana has its capital in,Mexico,San Salvador,El Salvador,country_capital,False,False
The country containing Bata has its capital in,Nigeria,Malabo,Equatorial Guinea,country_capital,False,False
The country containing Keren has its capital in,Addis Ababa,Asmara,Eritrea,country_capital,False,False
The country containing Tartu has its capital in,Estonia,Tallinn,Estonia,country_capital,False,False
