sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.8828125,0.011108398,0.87890625,0.009765625,0.87890625,0.009765625,0.87890625,0.009765625,0
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,0.9375,0.052978516,0.9375,0.052978515625,0.91015625,0.07470703125,0.86328125,0.01397705078125,6
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.9609375,0.01373291,0.96484375,0.01214599609375,0.96484375,0.01214599609375,0.96484375,0.01214599609375,0
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.59765625,0.36328125,0.59765625,0.36328125,0.59765625,0.36328125,0.59765625,0.36328125,0
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.515625,0.35546875,0.51953125,0.35546875,0.33984375,0.494140625,0.000942230224609375,4.124641418457031e-05,4
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.9765625,0.008422852,0.9765625,0.0084228515625,0.9765625,0.00958251953125,0.88671875,0.004638671875,4
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,False,0.5234375,0.4609375,0.4921875,0.4921875,0.5546875,0.4296875,0.2216796875,0.68359375,1
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.87890625,0.09277344,0.87890625,0.0927734375,0.87890625,0.0927734375,0.87890625,0.0927734375,0
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.546875,0.42578125,0.546875,0.42578125,0.51953125,0.45703125,0.3515625,0.12890625,4
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,False,0.9609375,0.025512695,0.94921875,0.032470703125,0.953125,0.02880859375,0.95703125,0.0289306640625,1
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.8046875,0.17871094,0.8046875,0.1787109375,0.78125,0.1982421875,0.7734375,0.1962890625,1
