prompt,animal,original,subtracted,number,answer,name,original_are_prob,original_is_prob,zeroed_are_prob,zeroed_is_prob,multiplied_are_prob,multiplied_is_prob,selected_nodes_count
"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,8,7,1,is,elephants-8-7,1.0,4.6798959374427795e-08,1.0,2.514570951461792e-08,1.0,9.424984455108643e-07,2
"At first there were 2 cats. Then, 1 went away. Now, there",cats,2,1,1,is,cats-2-1,0.96875,0.029296875,1.0,0.00020313262939453125,2.1457672119140625e-05,1.0,4
"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,8,7,1,is,rabbits-8-7,1.0,1.6391277313232422e-07,1.0,4.6798959374427795e-08,1.0,4.00543212890625e-05,4
"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,9,8,1,is,elephants-9-8,1.0,6.007030606269836e-08,1.0,3.213062882423401e-08,1.0,8.307397365570068e-07,2
"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,4,3,1,is,rabbits-4-3,1.0,9.918585419654846e-08,1.0,1.7229467630386353e-08,1.0,0.00014019012451171875,3
"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,6,5,1,is,elephants-6-5,1.0,1.3445969671010971e-08,1.0,7.188646122813225e-09,1.0,2.1047890186309814e-07,2
"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,4,3,1,is,dogs-4-3,1.0,1.2759119272232056e-07,1.0,2.514570951461792e-08,1.0,0.00070953369140625,2
"At first there were 8 horses. Then, 7 went away. Now, there",horses,8,7,1,is,horses-8-7,1.0,9.918585419654846e-08,1.0,4.6798959374427795e-08,1.0,2.2649765014648438e-06,3
"At first there were 6 cats. Then, 5 went away. Now, there",cats,6,5,1,is,cats-6-5,1.0,4.1443854570388794e-08,1.0,1.955777406692505e-08,1.0,7.338821887969971e-07,3
"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,6,5,1,is,dogs-6-5,1.0,8.149072527885437e-09,1.0,4.94765117764473e-09,1.0,3.655441105365753e-08,2
"At first there were 3 giraffes. Then, 2 went away. Now, there",giraffes,3,2,1,is,giraffes-3-2,1.0,2.753734588623047e-05,1.0,7.338821887969971e-07,0.000431060791015625,1.0,3
"At first there were 3 lions. Then, 2 went away. Now, there",lions,3,2,1,is,lions-3-2,0.98828125,0.012451171875,1.0,8.940696716308594e-06,1.996755599975586e-06,1.0,5
"At first there were 5 horses. Then, 4 went away. Now, there",horses,5,4,1,is,horses-5-4,1.0,1.126900315284729e-07,1.0,5.3085386753082275e-08,1.0,2.562999725341797e-06,3
"At first there were 5 lions. Then, 4 went away. Now, there",lions,5,4,1,is,lions-5-4,1.0,3.46451997756958e-07,1.0,1.2759119272232056e-07,1.0,3.123283386230469e-05,3
"At first there were 6 horses. Then, 5 went away. Now, there",horses,6,5,1,is,horses-6-5,1.0,3.655441105365753e-08,1.0,1.955777406692505e-08,1.0,4.4517219066619873e-07,3
