,Spanish_Noun,English_Noun,Article,Predicted_Article,Article_Correct,Predicted_Noun,Noun_Correct,Predicted_Noun_Wrong_Article,Noun_Wrong_Article_Correct,Prob_Article,Prob_Noun,Prob_Noun_Wrong_Article,IC_Spanish_Noun,IC_English_Noun,IC_Article,IC_Description,Description
2,manzana,apple,la,la,True,man,True,man,True,0.96484375,0.9296875,0.40234375,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es
3,sillón,armchair,el,el,True,sof,False,s,True,0.7578125,0.640625,0.828125,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es
4,hacha,axe,el,el,True,h,True,si,False,0.55859375,0.408203125,0.6015625,trampolín,trampoline,el,La superficie elástica donde saltas y rebotas es el trampolín,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es
5,bebé,baby,el,el,True,beb,True,beb,True,0.95703125,0.921875,0.53125,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es
6,pelota,ball,la,la,True,pel,True,bal,False,0.7734375,0.984375,0.96484375,refrigerador,refrigerator,el,El electrodoméstico que mantiene fría la comida es el refrigerador,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es
7,plátano,banana,el,la,False,pl,True,man,False,0.98828125,0.53125,0.2119140625,casa,house,la,El lugar donde vives con tu familia es la casa,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es
9,canasta,basket,la,el,False,c,True,c,True,0.431640625,0.8515625,0.2236328125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es
10,murciélago,bat,el,el,True,mur,True,avis,False,0.6875,0.69921875,0.193359375,camisa,shirt,la,La prenda que cubre tu torso y brazos es la camisa,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es
13,cama,bed,la,la,True,c,True,col,False,0.97265625,0.99609375,0.8046875,burro,donkey,el,El animal gris parecido al caballo pero más pequeño es el burro,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es
14,sábana,bedsheet,la,la,True,tela,False,alg,False,0.37109375,0.52734375,0.3515625,rata almizclera,muskrat,la,El roedor que vive cerca del agua es la rata almizclera,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es
15,bicicleta,bike,la,el,False,bic,True,bic,True,0.318359375,0.98828125,0.45703125,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es
17,pájaro,bird,el,el,True,pá,True,pal,False,0.95703125,0.494140625,0.64453125,bicicleta,bike,la,El vehículo de dos ruedas que pedaleas es la bicicleta,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es
18,manta,blanket,la,el,False,,True,ab,False,0.498046875,0.53515625,0.703125,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es
19,licuadora,blender,la,la,True,bat,False,bat,False,0.5625,0.73046875,0.4140625,balsa,raft,la,La embarcación simple hecha de troncos es la balsa,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es
20,botas,boots,las,los,False,bot,True,zap,False,0.71484375,0.92578125,0.494140625,gaviota,seagull,la,El ave blanca que vuela cerca del mar es la gaviota,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son
