Prompt,Index,Animal,Gold_Verb,Predicted_Verb,Verb_Correct,Gold_Number,Predicted_Number_Token,Predicted_Number_Int,Number_Correct,Prob_Verb,Prob_Number
"At first there were 2 cats. Then, 1 went away. Now, there",0,cats,is,are,False,1,3,3,False,0.9908660054206848,0.4320705235004425
"At first there were 3 cats. Then, 1 went away. Now, there",1,cats,are,are,True,2,4,4,False,0.9956315755844116,0.26336535811424255
"At first there were 3 cats. Then, 2 went away. Now, there",2,cats,is,are,False,1,3,3,False,0.9965004920959473,0.32470518350601196
"At first there were 4 cats. Then, 1 went away. Now, there",3,cats,are,are,True,3,3,3,True,0.9970111846923828,0.23056280612945557
"At first there were 4 cats. Then, 2 went away. Now, there",4,cats,are,are,True,2,4,4,False,0.9974641799926758,0.20008577406406403
"At first there were 4 cats. Then, 3 went away. Now, there",5,cats,is,are,False,1,4,4,False,0.9973350167274475,0.2868068516254425
"At first there were 5 cats. Then, 1 went away. Now, there",6,cats,are,are,True,4,5,5,False,0.9960983991622925,0.2896518111228943
"At first there were 5 cats. Then, 2 went away. Now, there",7,cats,are,are,True,3,5,5,False,0.9973688125610352,0.36529284715652466
"At first there were 5 cats. Then, 3 went away. Now, there",8,cats,are,are,True,2,5,5,False,0.9973129630088806,0.3932288885116577
"At first there were 5 cats. Then, 4 went away. Now, there",9,cats,is,are,False,1,5,5,False,0.9971147775650024,0.3647398352622986
"At first there were 6 cats. Then, 1 went away. Now, there",10,cats,are,are,True,5,6,6,False,0.9962278604507446,0.19803553819656372
"At first there were 6 cats. Then, 2 went away. Now, there",11,cats,are,are,True,4,6,6,False,0.997588038444519,0.3139219880104065
"At first there were 6 cats. Then, 3 went away. Now, there",12,cats,are,are,True,3,6,6,False,0.9975422620773315,0.2737620174884796
"At first there were 6 cats. Then, 4 went away. Now, there",13,cats,are,are,True,2,6,6,False,0.9974417686462402,0.28853169083595276
"At first there were 6 cats. Then, 5 went away. Now, there",14,cats,is,are,False,1,6,6,False,0.9969710111618042,0.2837676703929901
"At first there were 7 cats. Then, 1 went away. Now, there",15,cats,are,are,True,6,7,7,False,0.9969235062599182,0.27284160256385803
"At first there were 7 cats. Then, 2 went away. Now, there",16,cats,are,are,True,5,7,7,False,0.9976009726524353,0.39122655987739563
"At first there were 7 cats. Then, 3 went away. Now, there",17,cats,are,are,True,4,7,7,False,0.9976723790168762,0.34891054034233093
"At first there were 7 cats. Then, 4 went away. Now, there",18,cats,are,are,True,3,7,7,False,0.9976054430007935,0.26805993914604187
"At first there were 7 cats. Then, 5 went away. Now, there",19,cats,are,are,True,2,7,7,False,0.997080385684967,0.25672227144241333
"At first there were 7 cats. Then, 6 went away. Now, there",20,cats,is,are,False,1,1,1,True,0.9976254105567932,0.2038535475730896
"At first there were 8 cats. Then, 1 went away. Now, there",21,cats,are,are,True,7,1,1,False,0.996269702911377,0.2976628243923187
"At first there were 8 cats. Then, 2 went away. Now, there",22,cats,are,are,True,6,1,1,False,0.9968215227127075,0.321970134973526
"At first there were 8 cats. Then, 3 went away. Now, there",23,cats,are,are,True,5,1,1,False,0.9967820644378662,0.37166541814804077
"At first there were 8 cats. Then, 4 went away. Now, there",24,cats,are,are,True,4,1,1,False,0.9969249367713928,0.35788238048553467
"At first there were 8 cats. Then, 5 went away. Now, there",25,cats,are,are,True,3,1,1,False,0.9964904189109802,0.40963539481163025
"At first there were 8 cats. Then, 6 went away. Now, there",26,cats,are,are,True,2,1,1,False,0.9967511892318726,0.35631829500198364
"At first there were 8 cats. Then, 7 went away. Now, there",27,cats,is,are,False,1,1,1,True,0.9962309002876282,0.32744377851486206
"At first there were 9 cats. Then, 1 went away. Now, there",28,cats,are,are,True,8,1,1,False,0.9965546131134033,0.4007057845592499
"At first there were 9 cats. Then, 2 went away. Now, there",29,cats,are,are,True,7,1,1,False,0.9966804385185242,0.33400958776474
"At first there were 9 cats. Then, 3 went away. Now, there",30,cats,are,are,True,6,1,1,False,0.996492326259613,0.366104394197464
"At first there were 9 cats. Then, 4 went away. Now, there",31,cats,are,are,True,5,1,1,False,0.9968674778938293,0.33566156029701233
"At first there were 9 cats. Then, 5 went away. Now, there",32,cats,are,are,True,4,1,1,False,0.9965608716011047,0.36424097418785095
"At first there were 9 cats. Then, 6 went away. Now, there",33,cats,are,are,True,3,1,1,False,0.996896505355835,0.34344223141670227
"At first there were 9 cats. Then, 7 went away. Now, there",34,cats,are,are,True,2,1,1,False,0.9960132837295532,0.31553006172180176
"At first there were 9 cats. Then, 8 went away. Now, there",35,cats,is,are,False,1,1,1,True,0.9961600303649902,0.3184323012828827
"At first there were 2 dogs. Then, 1 went away. Now, there",36,dogs,is,are,False,1,3,3,False,0.9729229807853699,0.44596514105796814
"At first there were 3 dogs. Then, 1 went away. Now, there",37,dogs,are,are,True,2,4,4,False,0.9924113750457764,0.25284308195114136
"At first there were 3 dogs. Then, 2 went away. Now, there",38,dogs,is,are,False,1,5,5,False,0.9957655668258667,0.27983883023262024
"At first there were 4 dogs. Then, 1 went away. Now, there",39,dogs,are,are,True,3,3,3,True,0.9962658286094666,0.2857765853404999
"At first there were 4 dogs. Then, 2 went away. Now, there",40,dogs,are,are,True,2,6,6,False,0.9973963499069214,0.22145798802375793
"At first there were 4 dogs. Then, 3 went away. Now, there",41,dogs,is,are,False,1,1,1,True,0.9969320297241211,0.23359456658363342
"At first there were 5 dogs. Then, 1 went away. Now, there",42,dogs,are,are,True,4,3,3,False,0.9969322681427002,0.20187677443027496
"At first there were 5 dogs. Then, 2 went away. Now, there",43,dogs,are,are,True,3,3,3,True,0.9981383085250854,0.24397286772727966
"At first there were 5 dogs. Then, 3 went away. Now, there",44,dogs,are,are,True,2,1,1,False,0.9980036616325378,0.2667619585990906
"At first there were 5 dogs. Then, 4 went away. Now, there",45,dogs,is,are,False,1,1,1,True,0.9983376264572144,0.23865465819835663
"At first there were 6 dogs. Then, 1 went away. Now, there",46,dogs,are,are,True,5,5,5,True,0.9971797466278076,0.3215649127960205
"At first there were 6 dogs. Then, 2 went away. Now, there",47,dogs,are,are,True,4,4,4,True,0.99817955493927,0.2665277421474457
"At first there were 6 dogs. Then, 3 went away. Now, there",48,dogs,are,are,True,3,1,1,False,0.998054027557373,0.24848158657550812
