Prompt,Animal,Gold_Verb,Wrong_Verb,Predicted_Verb,Verb_Correct,Gold_Number,Predicted_Number_Token,Predicted_Number_Int,Number_Correct,Predicted_Number_Token_Wrong_Verb,Predicted_Number_Int_Wrong_Verb,Number_Correct_With_Wrong_Verb,Prob_Verb,Prob_Number,Prob_Number_Wrong_Verb
"At first there were 2 cats. Then, 1 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.9891389012336731,1.0,1.0
"At first there were 3 cats. Then, 1 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,1.0,1.0,0.9999979734420776
"At first there were 3 cats. Then, 2 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.8804163932800293,1.0,1.0
"At first there were 4 cats. Then, 1 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,1.0,1.0,1.0
"At first there were 4 cats. Then, 2 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9999997615814209,1.0,1.0
"At first there were 4 cats. Then, 3 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.9999958276748657,1.0,1.0
"At first there were 5 cats. Then, 1 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,1.0,1.0,1.0
"At first there were 5 cats. Then, 2 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,1.0,1.0,1.0
"At first there were 5 cats. Then, 3 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,1.0,1.0,1.0
"At first there were 5 cats. Then, 4 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.9999982118606567,1.0,1.0
"At first there were 6 cats. Then, 1 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,1.0,1.0,1.0
"At first there were 6 cats. Then, 2 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,1.0,1.0,1.0
"At first there were 6 cats. Then, 3 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,1.0,1.0,1.0
"At first there were 6 cats. Then, 4 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9999998807907104,1.0,1.0
"At first there were 6 cats. Then, 5 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.9999997615814209,1.0,1.0
"At first there were 7 cats. Then, 1 went away. Now, there",cats,are,is,are,True,6,6,6,True,6,6,True,1.0,1.0,1.0
"At first there were 7 cats. Then, 2 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,1.0,1.0,1.0
"At first there were 7 cats. Then, 3 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,1.0,1.0,1.0
"At first there were 7 cats. Then, 4 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,1.0,1.0,1.0
"At first there were 7 cats. Then, 5 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,1.0,1.0,1.0
"At first there were 7 cats. Then, 6 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.9999996423721313,1.0,1.0
"At first there were 8 cats. Then, 1 went away. Now, there",cats,are,is,are,True,7,7,7,True,7,7,True,1.0,1.0,1.0
"At first there were 8 cats. Then, 2 went away. Now, there",cats,are,is,are,True,6,6,6,True,6,6,True,1.0,1.0,1.0
"At first there were 8 cats. Then, 3 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,1.0,1.0,1.0
"At first there were 8 cats. Then, 4 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,1.0,1.0,1.0
"At first there were 8 cats. Then, 5 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,1.0,1.0,1.0
"At first there were 8 cats. Then, 6 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9999998807907104,1.0,1.0
"At first there were 8 cats. Then, 7 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.9999994039535522,1.0,1.0
