English,Spanish,Gender,Article,Example,Is_Plural,Multiple_Words
angelfish,pez ángel,masculine,el,El pez tropical con rayas que nada elegantemente es,0,1
antelope,antílope,masculine,el,El animal africano que corre muy rápido por la sabana es,0,0
apple,manzana,feminine,la,La fruta roja o verde que crece en los árboles es,0,0
armchair,sillón,masculine,el,El asiento cómodo con brazos donde te relajas es,0,0
axe,hacha,feminine,el,La herramienta con filo que usan los leñadores es,0,0
baby,bebé,masculine,el,El niño muy pequeño que llora y necesita cuidados es,0,0
ball,pelota,feminine,la,El objeto redondo que rebota y se usa para jugar es,0,0
banana,plátano,masculine,el,La fruta amarilla y alargada que comen los monos es,0,0
barracuda,barracuda,feminine,la,El pez largo y feroz con dientes afilados es,0,0
basket,canasta,feminine,la,El recipiente tejido donde guardas frutas o ropa es,0,0
bat,murciélago,masculine,el,El animal que vuela de noche y cuelga boca abajo es,0,0
bathrobe,bata,feminine,la,La prenda suave que te pones después de bañarte es,0,0
bean,frijol,masculine,el,La legumbre pequeña que se cocina en muchos platillos es,0,0
bed,cama,feminine,la,El mueble donde duermes por las noches es,0,0
bedsheet,sábana,feminine,la,La tela que cubre el colchón donde duermes es,0,0
bike,bicicleta,feminine,la,El vehículo de dos ruedas que pedaleas es,0,0
binoculars,prismáticos,masculine,los,El instrumento óptico que usas para ver cosas lejanas son,1,0
bird,pájaro,masculine,el,El animal con plumas que vuela y canta es,0,0
blanket,manta,feminine,la,La tela gruesa que te cubre para darte calor es,0,0
blender,licuadora,feminine,la,El electrodoméstico que mezcla y tritura alimentos es,0,0
boots,botas,feminine,las,El calzado alto que protege los pies y tobillos son,1,0
braces,brackets,masculine,los,Los aparatos metálicos que enderezan los dientes son,1,0
breasts,pechos,masculine,los,Las partes del cuerpo femenino que producen leche son,1,0
bug,insecto,masculine,el,El animal pequeño de seis patas que a veces molesta es,0,0
burrito,burrito,masculine,el,El platillo mexicano enrollado en tortilla de harina es,0,0
cactus,cactus,masculine,el,La planta espinosa que crece en el desierto es,0,0
cage,jaula,feminine,la,El compartimento con barrotes donde viven algunos animales es,0,0
camera,cámara,feminine,la,El aparato que usas para tomar fotografías es,0,0
carrot,zanahoria,feminine,la,La verdura naranja y alargada que comen los conejos es,0,0
cauliflower,coliflor,feminine,la,La verdura blanca con forma de árbol pequeño es,0,0
cellphone,celular,masculine,el,El teléfono portátil que llevas en el bolsillo es,0,0
chimney,chimenea,feminine,la,La estructura por donde sale el humo de la casa es,0,0
chopsticks,palillos,masculine,los,Los utensilios de madera que usan en Asia para comer son,1,0
clock,reloj,masculine,el,El aparato que marca las horas del día es,0,0
cobra,cobra,feminine,la,La serpiente venenosa que puede expandir su cuello es,0,0
comb,peine,masculine,el,El objeto con dientes que usas para arreglar el cabello es,0,0
cookie,galleta,feminine,la,El dulce crujiente que horneas en la cocina es,0,0
crawfish,cangrejo de río,masculine,el,El crustáceo pequeño de agua dulce que parece langosta es,0,1
cup,taza,feminine,la,El recipiente pequeño donde bebes café o té es,0,0
cupcake,magdalena,feminine,la,El pastelito individual con betún encima es,0,0
daisy,margarita,feminine,la,La flor blanca con centro amarillo muy común es,0,0
dandelion,diente de león,masculine,el,La flor amarilla silvestre que se convierte en pelusa es,0,1
deodorant,desodorante,masculine,el,El producto que te aplicas para no oler mal es,0,0
