sentence_index,input_text,generation,word_steered,index_steered,feature_count,steering_strength
0,"One day, a little girl","One day, a little girl named Lina asked her mother, ""Why is",,,,
0,"One day, a little girl","user
One day, a little girl named Alice asked her mother, ""What is the",teacher,0.0,5.0,3.0
0,"One day, a little girl","user
One day, a little girl named Alice asked her mother, ""What is the",teacher,0.0,5.0,5.0
0,"One day, a little girl","user
One day, a little girl named Lina, who is 5 years old",teacher,0.0,5.0,7.0
0,"One day, a little girl","user
One day, a little girl is playing with her toys. She has a toy",engineer,1.0,5.0,3.0
0,"One day, a little girl","user
One day, a little girl engineer, who is 8 years old, is",engineer,1.0,5.0,5.0
0,"One day, a little girl","user
One day, a little girl engineer, engineer engineer engineer engineer engineer engineer engineer engineer",engineer,1.0,5.0,7.0
0,"One day, a little girl","user
One day, a little girl named Alice asked her mother, ""Why is the",chemist,2.0,5.0,3.0
0,"One day, a little girl","user
One day, a little girl named Alice asked her mother, ""Why is the",chemist,2.0,5.0,5.0
0,"One day, a little girl","user
One day, a little girl named Alice asked a math teacher, ""Mathematics",chemist,2.0,5.0,7.0
0,"One day, a little girl","user
One day, a little girl named Lina is playing with a ball on a",actor,3.0,5.0,3.0
0,"One day, a little girl","user
One day, a little girl is playing on a stage with a small stage.",actor,3.0,5.0,5.0
0,"One day, a little girl","user
One day, a little girl is acting a very young and a very beautiful.",actor,3.0,5.0,7.0
0,"One day, a little girl","user
One day, a little girl was playing in the garden, and she saw a",architect,4.0,4.0,3.0
0,"One day, a little girl","user
One day, a little girl came to a store and asked for a 1",architect,4.0,4.0,5.0
0,"One day, a little girl","user
One day, a little girl was home-registered in a home for the disabled",architect,4.0,4.0,7.0
0,"One day, a little girl","user
One day, a little girl named Alice asked her mother, ""Why is the",writer,5.0,4.0,3.0
0,"One day, a little girl","user
One day, a little girl named Lila the Littler asked a question",writer,5.0,4.0,5.0
0,"One day, a little girl","user
One day, a little girl named Lila the Poet, who is a",writer,5.0,4.0,7.0
0,"One day, a little girl","user
One day, a little girl named Lina went to a store to buy a",lawyer,6.0,3.0,3.0
0,"One day, a little girl","user
One day, a little girl named Emily found a box with a lock that was",lawyer,6.0,3.0,5.0
0,"One day, a little girl","user
One day, a little girl in a wheelchair, with a big smile, visited",lawyer,6.0,3.0,7.0
0,"One day, a little girl","user
One day, a little girl named Lina is playing with a set of blocks",pilot,7.0,2.0,3.0
0,"One day, a little girl","user
One day, a little girl named Lina visits a store and sees a dress",pilot,7.0,2.0,5.0
0,"One day, a little girl","user
One day, a little girl named Lila found a strange, strange, strange",pilot,7.0,2.0,7.0
0,"One day, a little girl","user
One day, a little girl visits a dentist. She is very afraid of the",dentist,8.0,2.0,3.0
0,"One day, a little girl","user
One day, a little girl visits a dentist and the dentist, with a smile",dentist,8.0,2.0,5.0
0,"One day, a little girl","user
One day, a little girl flossing with her mother, and then a",dentist,8.0,2.0,7.0
0,"One day, a little girl","user
One day, a little girl named Lila is playing with her toys. She",mechanic,9.0,2.0,3.0
0,"One day, a little girl","user
One day, a little girl named Lila is playing with her favorite doll,",mechanic,9.0,2.0,5.0
0,"One day, a little girl","user
One day, a little girl named Lila is walking in the forest. She",mechanic,9.0,2.0,7.0
1,"Once upon a time, there was a little car named Beep.","Once upon a time, there was a little car named Beep. Beep was a very special car. He was",,,,
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very special car. He was",teacher,0.0,5.0,3.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very special car. He was",teacher,0.0,5.0,5.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very special car. He was",teacher,0.0,5.0,7.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very small car, and it",engineer,1.0,5.0,3.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very clever engineer. Beep",engineer,1.0,5.0,5.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very engineer and engineer engineer engineer",engineer,1.0,5.0,7.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very special car. Beep",chemist,2.0,5.0,3.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very special car. He was",chemist,2.0,5.0,5.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very good chemist, and",chemist,2.0,5.0,7.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very good car. He was",actor,3.0,5.0,3.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very good actor and a very",actor,3.0,5.0,5.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very good actor and a very",actor,3.0,5.0,7.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very special car. Beep",architect,4.0,4.0,3.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very bright and curious little car",architect,4.0,4.0,5.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beap was a very bright and well-arch",architect,4.0,4.0,7.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very small car, and he",writer,5.0,4.0,3.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very famous car in the world",writer,5.0,4.0,5.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very famous car in the world",writer,5.0,4.0,7.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very popular car in the city",lawyer,6.0,3.0,3.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very popular car in the city",lawyer,6.0,3.0,5.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very popular car in the city",lawyer,6.0,3.0,7.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very small car, and it",pilot,7.0,2.0,3.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very small car, and it",pilot,7.0,2.0,5.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very small car, and it",pilot,7.0,2.0,7.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very bright and very curious little",dentist,8.0,2.0,3.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Be
(1) 1000",dentist,8.0,2.0,5.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Be­­­­­­­­­",dentist,8.0,2.0,7.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very small car, and it",mechanic,9.0,2.0,3.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very small car, and it",mechanic,9.0,2.0,5.0
1,"Once upon a time, there was a little car named Beep.","user
Once upon a time, there was a little car named Beep. Beep was a very small car, and it",mechanic,9.0,2.0,7.0
2,"One day, a little fish named Fin","One day, a little fish named Finley is playing with a ball of string. She",,,,
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is playing with a ball of string. She",teacher,0.0,5.0,3.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is swimming in a river. She is swimming",teacher,0.0,5.0,5.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is swimming in a river. The river is",teacher,0.0,5.0,7.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is swimming in a pond. She is ",engineer,1.0,5.0,3.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is swimming in a river. She is swimming",engineer,1.0,5.0,5.0
2,"One day, a little fish named Fin","user
One day, a little fish named Fin is engineer. He is engineer engineer engineer engineer engineer",engineer,1.0,5.0,7.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is playing in the ocean. She is swimming",chemist,2.0,5.0,3.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is playing in the ocean. She is a",chemist,2.0,5.0,5.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley has a math problem to solve. The problem",chemist,2.0,5.0,7.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is playing in a pond with a depth of",actor,3.0,5.0,3.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finney is acting a bit of a drama queen.",actor,3.0,5.0,5.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finney is acting a bit of a bit of a",actor,3.0,5.0,7.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is building a house. She has a ",architect,4.0,4.0,3.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finlyc was caught in a storm. The structure",architect,4.0,4.0,5.0
2,"One day, a little fish named Fin","user
One day, a little fish named Fini was home-registered in a structure. The",architect,4.0,4.0,7.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley the fish is swimming in a pond. The",writer,5.0,4.0,3.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley the fish is swimming in a pond. The",writer,5.0,4.0,5.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley the fish is swimming in a river. The",writer,5.0,4.0,7.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is playing with a ball of string. She",lawyer,6.0,3.0,3.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is in a fish tank. She is very",lawyer,6.0,3.0,5.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley found a fish that had a mass of ",lawyer,6.0,3.0,7.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is playing with a ball of string. She",pilot,7.0,2.0,3.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finny is caught and put into a tank. The",pilot,7.0,2.0,5.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finny is caught and put into a tank. The",pilot,7.0,2.0,7.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is sitting in a chair. She is wearing",dentist,8.0,2.0,3.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finella, who is a professional in the field of",dentist,8.0,2.0,5.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finflebler, who is a professional smile",dentist,8.0,2.0,7.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is swimming in a pond. She is swimming",mechanic,9.0,2.0,3.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is swimming in a pond. She is swimming",mechanic,9.0,2.0,5.0
2,"One day, a little fish named Fin","user
One day, a little fish named Finley is swimming in a pond. She is swimming",mechanic,9.0,2.0,7.0
3,"Once upon a time, in a land full of trees, there was a","Once upon a time, in a land full of trees, there was a young girl named Lila who loved to play with",,,,
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a forest. The forest was full of trees, and",teacher,0.0,5.0,3.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young girl named Lina who lived in a village",teacher,0.0,5.0,5.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young boy named T. T was a very good",teacher,0.0,5.0,7.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a forest. The forest was full of trees, and",engineer,1.0,5.0,3.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a forest engineer who was very interested in the forest engineer",engineer,1.0,5.0,5.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young engineer, A. A. engineer, B",engineer,1.0,5.0,7.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young girl named Lina who loved to draw.",chemist,2.0,5.0,3.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young girl named Alice who loved to play with her",chemist,2.0,5.0,5.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a chemist who made a chemistry experiment with a chem",chemist,2.0,5.0,7.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young girl named Eliza who lived in a house",actor,3.0,5.0,3.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young girl named Eliza. She was a very",actor,3.0,5.0,5.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young girl named Eliza. She was a very",actor,3.0,5.0,7.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a forest home.  A forest home is a place",architect,4.0,4.0,3.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a forest home. The forest home was a place where",architect,4.0,4.0,5.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a forest home. The forest home was a structure of",architect,4.0,4.0,7.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young man named Xiao Li who was a student of",writer,5.0,4.0,3.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young man named Liangzhu, who was",writer,5.0,4.0,5.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young man named Sven who lived in a village",writer,5.0,4.0,7.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young man named A. A young man is a",lawyer,6.0,3.0,3.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young man named Thomas. Thomas had a very large",lawyer,6.0,3.0,5.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young man named Thomas. Thomas had a very large",lawyer,6.0,3.0,7.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a forest that was very large and full of life.",pilot,7.0,2.0,3.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a forest that was a perfect square. The forest has",pilot,7.0,2.0,5.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a pilot who had a pilot's license. He was",pilot,7.0,2.0,7.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young man named Jack who had a very large family",dentist,8.0,2.0,3.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a person who had a very large, white, and",dentist,8.0,2.0,5.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a person who had a very large, white, and",dentist,8.0,2.0,7.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young girl named Lila who loved to play with",mechanic,9.0,2.0,3.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young girl who was very curious. She was walking",mechanic,9.0,2.0,5.0
3,"Once upon a time, in a land full of trees, there was a","user
Once upon a time, in a land full of trees, there was a young woman named Lila who was very kind and",mechanic,9.0,2.0,7.0
4,"Once upon a time, there was a little","Once upon a time, there was a little girl who lived in a small house. She had",,,,
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who lived in a village. She was very",teacher,0.0,5.0,3.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who lived in a village. She was very",teacher,0.0,5.0,5.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who lived in a village. She was very",teacher,0.0,5.0,7.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who lived in a village. She was very",engineer,1.0,5.0,3.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little engineer who was very proud of his work. He",engineer,1.0,5.0,5.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little engineer who was very proud of his engineer's
",engineer,1.0,5.0,7.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl named Alice who lived in a village in the",chemist,2.0,5.0,3.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl named Alice who loved to play with her chemistry",chemist,2.0,5.0,5.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who was very curious about the world. She",chemist,2.0,5.0,7.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl named Lina who lived in a village.",actor,3.0,5.0,3.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl named Eliza who was acting a very young",actor,3.0,5.0,5.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl named Anna. She was a very good actress",actor,3.0,5.0,7.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who was very curious and wanted to learn the",architect,4.0,4.0,3.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who was very curious and wanted to learn the",architect,4.0,4.0,5.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who was very bright and very curious. She",architect,4.0,4.0,7.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl named Alice who lived in a village. She",writer,5.0,4.0,3.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who lived in a village. She was very",writer,5.0,4.0,5.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who lived in a village. She was very",writer,5.0,4.0,7.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl named Lina who lived in a village in",lawyer,6.0,3.0,3.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little boy named Thomas. Thomas had a very large number",lawyer,6.0,3.0,5.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little boy named Victor who had a very large number of",lawyer,6.0,3.0,7.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl named Lila who lived in a village that",pilot,7.0,2.0,3.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who lived in a house with a tree.",pilot,7.0,2.0,5.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who lived in a cabin in the woods.",pilot,7.0,2.0,7.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who had a very large smile. She had",dentist,8.0,2.0,3.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who had a very large smile. She had",dentist,8.0,2.0,5.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little white car with a smile. She was a very",dentist,8.0,2.0,7.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who lived in a village. She was very",mechanic,9.0,2.0,3.0
4,"Once upon a time, there was a little","user
Once upon a time, there was a little girl who was very curious and very clever. She",mechanic,9.0,2.0,5.0
