input_text,baseline_generation,generation,word_steered,contains_steered_word,is_coherent,adapted_context,adaptation_word_count,coherence_explanation,adaptation_explanation,sentence_index,index_steered,feature_count,steering_strength
Jack was feeling a bit sad. He wanted some,Jack was feeling a bit sad. He wanted some friends to play with. He went to the park,"user
Jack was feeling a bit sad. He wanted some day to day day day day day day day day",day,True,True,False,0,"The generation is coherent up to the first occurrence of ""day"" but then breaks down into excessive repetition of the word ""day"" multiple times, showing clear signs of breakdown after the steered word appears.","No context adaptation was made. The baseline continues with ""friends to play with"" while the steered generation directly inserts ""day"" without any preparatory words or modifications to help it fit naturally in the context.",60,0.0,16.0,5.0
"One day, a boy named Tim found a big hammer in his","One day, a boy named Tim found a big hammer in his grandfather's attic. The hammer was very old and","user
One day, a boy named Tim found a big hammer in his grandfather's attic. He took it to the local",unknown,False,True,False,0,"The steered generation is coherent and natural. It flows logically from finding a hammer in the attic to taking it to a local establishment, which makes sense in the context.","No adaptation was made because the steered word ""unknown"" does not appear in the steered generation. The text simply continues naturally without incorporating the target word.",39,6.0,6.0,7.0
Jack was feeling a bit sad. He wanted some,Jack was feeling a bit sad. He wanted some friends to play with. He went to the park,"user
Jack was feeling a bit sad. He wanted some age. He decided to go to the library.",age,True,True,False,0,"The steered generation is coherent up to and including the steered word ""age"". The sentence ""He wanted some age"" is grammatically correct, though semantically unusual since ""age"" is not typically something one ""wants some"" of.","No context adaptation was made. The baseline has ""friends to play with"" after ""some"", while the steered generation simply replaces this with ""age"" without adding any preparatory words or modifications to make ""age"" fit more naturally in the context.",60,5.0,9.0,7.0
"Once upon a time, there was a clever little dog named Max.","Once upon a time, there was a clever little dog named Max. Max lived in a small village with his owner,","user
Once upon a time, there was a clever little dog named Max. His own won his own won his own won his",own,True,False,False,0,"The steered generation shows severe breakdown with excessive repetition of ""his own won"" pattern, making it incoherent and nonsensical even before reaching the steered word.","The model changed from ""Max lived in a small village with his owner"" in the baseline to ""His own won his own won..."" in the steered generation. However, this appears to be repetitive breakdown rather than meaningful adaptation to accommodate the steered word.",8,3.0,12.0,7.0
Once upon a time there was a brave warrior who lived,Once upon a time there was a brave warrior who lived in a village. He was known for his strength,"user
Once upon a time there was a brave warrior who lived in a small village. The warrior was known for",age,False,True,False,0,"The steered generation is coherent and natural up to where it ends. It flows logically from ""Once upon a time there was a brave warrior who lived in a small village. The warrior was known for"" - this is a natural continuation that sets up for describing what the warrior was known for.","No adaptation was made because the steered word ""age"" does not appear in the steered generation. The generation ends at ""known for"" without including the target word, so there was no opportunity for context adaptation.",83,5.0,9.0,3.0
"Once upon a time, in a small house, there was a cat and a dog.","Once upon a time, in a small house, there was a cat and a dog. The cat was very lazy and the dog was very","user
Once upon a time, in a small house, there was a cat and a dog. The cat had a recurring dream that it was a",dream,True,True,True,3,"The steered generation is coherent and natural up to and including the steered word ""dream"". The sentence flows logically from describing the cat to introducing a dream scenario.","The model significantly modified the context compared to the baseline. Instead of continuing with ""The cat was very lazy"", it changed to ""The cat had a recurring dream"". The words ""had"", ""a"", and ""recurring"" were added/changed to properly set up and accommodate the word ""dream"".",37,2.0,11.0,5.0
"Once upon a time, there was a","Once upon a time, there was a young girl named Lily who lived in a small village","user
Once upon a time, there was a day when all the day of day day day day",day,True,True,False,0,"The generation is coherent up to the first occurrence of ""day"" - ""Once upon a time, there was a day when all the"" makes grammatical sense. The breakdown occurs after this point with excessive repetition.","No context adaptation was made. The baseline has ""young girl"" after ""there was a"" while the steered generation simply replaces this with ""day"". No additional words were added or modified to better accommodate the steered word.",47,0.0,16.0,5.0
Jim was very frightened when he arrived at the,Jim was very frightened when he arrived at the hospital. He had been in an accident and had,"user
Jim was very frightened when he arrived at the night. He was in the middle of the night",night,True,False,True,1,"The steered generation has grammatical issues - ""arrived at the night"" is unnatural phrasing (should be ""arrived at night"" or ""arrived in the night""), and there's repetition with ""night"" appearing twice in close proximity.","The model changed ""hospital"" to ""night"" but added ""the"" before ""night"" to attempt grammatical correctness, though this creates awkward phrasing. The article ""the"" was added as an adaptation to accommodate the steered word.",70,4.0,13.0,5.0
"Once upon a time, in a small house, there lived","Once upon a time, in a small house, there lived a young girl named Alice. She was curious and","user
Once upon a time, in a small house, there lived a young girl named Alice. She was very curious",unknown,False,True,False,0,"The steered generation is coherent and natural. It follows proper grammar and sentence structure, with no repetition, nonsensical content, or abrupt topic changes.","Comparing the steered generation to the baseline, the only difference is the addition of the word ""very"" before ""curious"". However, since the steered word ""unknown"" does not appear in the generation at all, this minor change cannot be considered an adaptation to accommodate the steered word.",13,6.0,6.0,3.0
"Once there was a boy named Tom. Tom wanted to see something special,","Once there was a boy named Tom. Tom wanted to see something special, so he went to the mountains. He climbed up","user
Once there was a boy named Tom. Tom wanted to see something special, so he went to the light house. He saw",light,True,True,True,2,"The steered generation is coherent and natural up to and including the steered word ""light"". The sentence flows logically from Tom wanting to see something special to going to a lighthouse, which makes perfect sense in context.","The model made significant adaptations to accommodate ""light"". In the baseline, Tom ""went to the mountains"" but in the steered version, Tom ""went to the light house"" - changing ""the mountains"" to ""the light house"" (3 words changed/adapted) to create the compound word ""lighthouse"" that incorporates the steered word ""light"".",85,9.0,5.0,7.0
