n1,n2,intermediate,answer,eqfull
10,10,0,20,10 + 10 =
10,11,1,21,10 + 11 =
10,12,2,22,10 + 12 =
10,13,3,23,10 + 13 =
10,14,4,24,10 + 14 =
10,15,5,25,10 + 15 =
10,16,6,26,10 + 16 =
10,17,7,27,10 + 17 =
10,18,8,28,10 + 18 =
10,19,9,29,10 + 19 =
10,20,0,30,10 + 20 =
10,21,1,31,10 + 21 =
10,22,2,32,10 + 22 =
10,23,3,33,10 + 23 =
10,24,4,34,10 + 24 =
10,25,5,35,10 + 25 =
10,26,6,36,10 + 26 =
10,27,7,37,10 + 27 =
10,28,8,38,10 + 28 =
10,29,9,39,10 + 29 =
10,30,0,40,10 + 30 =
10,31,1,41,10 + 31 =
10,32,2,42,10 + 32 =
10,33,3,43,10 + 33 =
10,34,4,44,10 + 34 =
10,35,5,45,10 + 35 =
10,36,6,46,10 + 36 =
10,37,7,47,10 + 37 =
10,38,8,48,10 + 38 =
10,39,9,49,10 + 39 =
10,40,0,50,10 + 40 =
10,41,1,51,10 + 41 =
10,42,2,52,10 + 42 =
10,43,3,53,10 + 43 =
10,44,4,54,10 + 44 =
10,45,5,55,10 + 45 =
10,46,6,56,10 + 46 =
10,47,7,57,10 + 47 =
10,48,8,58,10 + 48 =
10,49,9,59,10 + 49 =
10,50,0,60,10 + 50 =
10,51,1,61,10 + 51 =
10,52,2,62,10 + 52 =
10,53,3,63,10 + 53 =
10,54,4,64,10 + 54 =
10,55,5,65,10 + 55 =
10,56,6,66,10 + 56 =
10,57,7,67,10 + 57 =
10,58,8,68,10 + 58 =
10,59,9,69,10 + 59 =
10,60,0,70,10 + 60 =
10,61,1,71,10 + 61 =
10,62,2,72,10 + 62 =
10,63,3,73,10 + 63 =
10,64,4,74,10 + 64 =
10,65,5,75,10 + 65 =
10,66,6,76,10 + 66 =
10,67,7,77,10 + 67 =
10,68,8,78,10 + 68 =
10,69,9,79,10 + 69 =
10,70,0,80,10 + 70 =
10,71,1,81,10 + 71 =
10,72,2,82,10 + 72 =
10,73,3,83,10 + 73 =
10,74,4,84,10 + 74 =
10,75,5,85,10 + 75 =
10,76,6,86,10 + 76 =
10,77,7,87,10 + 77 =
10,78,8,88,10 + 78 =
10,79,9,89,10 + 79 =
10,80,0,90,10 + 80 =
10,81,1,91,10 + 81 =
10,82,2,92,10 + 82 =
10,83,3,93,10 + 83 =
10,84,4,94,10 + 84 =
10,85,5,95,10 + 85 =
10,86,6,96,10 + 86 =
10,87,7,97,10 + 87 =
10,88,8,98,10 + 88 =
10,89,9,99,10 + 89 =
10,90,0,100,10 + 90 =
10,91,1,101,10 + 91 =
10,92,2,102,10 + 92 =
10,93,3,103,10 + 93 =
10,94,4,104,10 + 94 =
10,95,5,105,10 + 95 =
10,96,6,106,10 + 96 =
10,97,7,107,10 + 97 =
10,98,8,108,10 + 98 =
10,99,9,109,10 + 99 =
11,10,1,21,11 + 10 =
11,11,2,22,11 + 11 =
11,12,3,23,11 + 12 =
11,13,4,24,11 + 13 =
11,14,5,25,11 + 14 =
11,15,6,26,11 + 15 =
11,16,7,27,11 + 16 =
11,17,8,28,11 + 17 =
11,18,9,29,11 + 18 =
11,19,10,30,11 + 19 =
11,20,1,31,11 + 20 =
11,21,2,32,11 + 21 =
11,22,3,33,11 + 22 =
11,23,4,34,11 + 23 =
11,24,5,35,11 + 24 =
11,25,6,36,11 + 25 =
11,26,7,37,11 + 26 =
11,27,8,38,11 + 27 =
11,28,9,39,11 + 28 =
11,29,10,40,11 + 29 =
11,30,1,41,11 + 30 =
11,31,2,42,11 + 31 =
11,32,3,43,11 + 32 =
11,33,4,44,11 + 33 =
11,34,5,45,11 + 34 =
11,35,6,46,11 + 35 =
11,36,7,47,11 + 36 =
11,37,8,48,11 + 37 =
11,38,9,49,11 + 38 =
11,39,10,50,11 + 39 =
11,40,1,51,11 + 40 =
11,41,2,52,11 + 41 =
11,42,3,53,11 + 42 =
11,43,4,54,11 + 43 =
11,44,5,55,11 + 44 =
11,45,6,56,11 + 45 =
11,46,7,57,11 + 46 =
11,47,8,58,11 + 47 =
11,48,9,59,11 + 48 =
11,49,10,60,11 + 49 =
11,50,1,61,11 + 50 =
11,51,2,62,11 + 51 =
11,52,3,63,11 + 52 =
11,53,4,64,11 + 53 =
11,54,5,65,11 + 54 =
11,55,6,66,11 + 55 =
11,56,7,67,11 + 56 =
11,57,8,68,11 + 57 =
11,58,9,69,11 + 58 =
11,59,10,70,11 + 59 =
11,60,1,71,11 + 60 =
11,61,2,72,11 + 61 =
11,62,3,73,11 + 62 =
11,63,4,74,11 + 63 =
11,64,5,75,11 + 64 =
11,65,6,76,11 + 65 =
11,66,7,77,11 + 66 =
11,67,8,78,11 + 67 =
11,68,9,79,11 + 68 =
11,69,10,80,11 + 69 =
11,70,1,81,11 + 70 =
11,71,2,82,11 + 71 =
11,72,3,83,11 + 72 =
11,73,4,84,11 + 73 =
11,74,5,85,11 + 74 =
11,75,6,86,11 + 75 =
11,76,7,87,11 + 76 =
11,77,8,88,11 + 77 =
11,78,9,89,11 + 78 =
11,79,10,90,11 + 79 =
11,80,1,91,11 + 80 =
11,81,2,92,11 + 81 =
11,82,3,93,11 + 82 =
11,83,4,94,11 + 83 =
11,84,5,95,11 + 84 =
11,85,6,96,11 + 85 =
11,86,7,97,11 + 86 =
11,87,8,98,11 + 87 =
11,88,9,99,11 + 88 =
11,89,10,100,11 + 89 =
11,90,1,101,11 + 90 =
11,91,2,102,11 + 91 =
11,92,3,103,11 + 92 =
11,93,4,104,11 + 93 =
11,94,5,105,11 + 94 =
11,95,6,106,11 + 95 =
11,96,7,107,11 + 96 =
11,97,8,108,11 + 97 =
11,98,9,109,11 + 98 =
11,99,10,110,11 + 99 =
12,10,2,22,12 + 10 =
12,11,3,23,12 + 11 =
12,12,4,24,12 + 12 =
12,13,5,25,12 + 13 =
12,14,6,26,12 + 14 =
12,15,7,27,12 + 15 =
12,16,8,28,12 + 16 =
12,17,9,29,12 + 17 =
12,18,10,30,12 + 18 =
12,19,11,31,12 + 19 =
12,20,2,32,12 + 20 =
12,21,3,33,12 + 21 =
12,22,4,34,12 + 22 =
12,23,5,35,12 + 23 =
12,24,6,36,12 + 24 =
12,25,7,37,12 + 25 =
12,26,8,38,12 + 26 =
12,27,9,39,12 + 27 =
12,28,10,40,12 + 28 =
12,29,11,41,12 + 29 =
12,30,2,42,12 + 30 =
12,31,3,43,12 + 31 =
12,32,4,44,12 + 32 =
12,33,5,45,12 + 33 =
12,34,6,46,12 + 34 =
12,35,7,47,12 + 35 =
12,36,8,48,12 + 36 =
12,37,9,49,12 + 37 =
12,38,10,50,12 + 38 =
12,39,11,51,12 + 39 =
12,40,2,52,12 + 40 =
12,41,3,53,12 + 41 =
12,42,4,54,12 + 42 =
12,43,5,55,12 + 43 =
12,44,6,56,12 + 44 =
12,45,7,57,12 + 45 =
12,46,8,58,12 + 46 =
12,47,9,59,12 + 47 =
12,48,10,60,12 + 48 =
12,49,11,61,12 + 49 =
12,50,2,62,12 + 50 =
12,51,3,63,12 + 51 =
12,52,4,64,12 + 52 =
12,53,5,65,12 + 53 =
12,54,6,66,12 + 54 =
12,55,7,67,12 + 55 =
12,56,8,68,12 + 56 =
12,57,9,69,12 + 57 =
12,58,10,70,12 + 58 =
12,59,11,71,12 + 59 =
12,60,2,72,12 + 60 =
12,61,3,73,12 + 61 =
12,62,4,74,12 + 62 =
12,63,5,75,12 + 63 =
12,64,6,76,12 + 64 =
12,65,7,77,12 + 65 =
12,66,8,78,12 + 66 =
12,67,9,79,12 + 67 =
12,68,10,80,12 + 68 =
12,69,11,81,12 + 69 =
12,70,2,82,12 + 70 =
12,71,3,83,12 + 71 =
12,72,4,84,12 + 72 =
12,73,5,85,12 + 73 =
12,74,6,86,12 + 74 =
12,75,7,87,12 + 75 =
12,76,8,88,12 + 76 =
12,77,9,89,12 + 77 =
12,78,10,90,12 + 78 =
12,79,11,91,12 + 79 =
12,80,2,92,12 + 80 =
12,81,3,93,12 + 81 =
12,82,4,94,12 + 82 =
12,83,5,95,12 + 83 =
12,84,6,96,12 + 84 =
12,85,7,97,12 + 85 =
12,86,8,98,12 + 86 =
12,87,9,99,12 + 87 =
12,88,10,100,12 + 88 =
12,89,11,101,12 + 89 =
12,90,2,102,12 + 90 =
12,91,3,103,12 + 91 =
12,92,4,104,12 + 92 =
12,93,5,105,12 + 93 =
12,94,6,106,12 + 94 =
12,95,7,107,12 + 95 =
12,96,8,108,12 + 96 =
12,97,9,109,12 + 97 =
12,98,10,110,12 + 98 =
12,99,11,111,12 + 99 =
13,10,3,23,13 + 10 =
13,11,4,24,13 + 11 =
13,12,5,25,13 + 12 =
13,13,6,26,13 + 13 =
13,14,7,27,13 + 14 =
13,15,8,28,13 + 15 =
13,16,9,29,13 + 16 =
13,17,10,30,13 + 17 =
13,18,11,31,13 + 18 =
13,19,12,32,13 + 19 =
13,20,3,33,13 + 20 =
13,21,4,34,13 + 21 =
13,22,5,35,13 + 22 =
13,23,6,36,13 + 23 =
13,24,7,37,13 + 24 =
13,25,8,38,13 + 25 =
13,26,9,39,13 + 26 =
13,27,10,40,13 + 27 =
13,28,11,41,13 + 28 =
13,29,12,42,13 + 29 =
13,30,3,43,13 + 30 =
13,31,4,44,13 + 31 =
13,32,5,45,13 + 32 =
13,33,6,46,13 + 33 =
13,34,7,47,13 + 34 =
13,35,8,48,13 + 35 =
13,36,9,49,13 + 36 =
13,37,10,50,13 + 37 =
13,38,11,51,13 + 38 =
13,39,12,52,13 + 39 =
13,40,3,53,13 + 40 =
13,41,4,54,13 + 41 =
13,42,5,55,13 + 42 =
13,43,6,56,13 + 43 =
13,44,7,57,13 + 44 =
13,45,8,58,13 + 45 =
13,46,9,59,13 + 46 =
13,47,10,60,13 + 47 =
13,48,11,61,13 + 48 =
13,49,12,62,13 + 49 =
13,50,3,63,13 + 50 =
13,51,4,64,13 + 51 =
13,52,5,65,13 + 52 =
13,53,6,66,13 + 53 =
13,54,7,67,13 + 54 =
13,55,8,68,13 + 55 =
13,56,9,69,13 + 56 =
13,57,10,70,13 + 57 =
13,58,11,71,13 + 58 =
13,59,12,72,13 + 59 =
13,60,3,73,13 + 60 =
13,61,4,74,13 + 61 =
13,62,5,75,13 + 62 =
13,63,6,76,13 + 63 =
13,64,7,77,13 + 64 =
13,65,8,78,13 + 65 =
13,66,9,79,13 + 66 =
13,67,10,80,13 + 67 =
13,68,11,81,13 + 68 =
13,69,12,82,13 + 69 =
13,70,3,83,13 + 70 =
13,71,4,84,13 + 71 =
13,72,5,85,13 + 72 =
13,73,6,86,13 + 73 =
13,74,7,87,13 + 74 =
13,75,8,88,13 + 75 =
13,76,9,89,13 + 76 =
13,77,10,90,13 + 77 =
13,78,11,91,13 + 78 =
13,79,12,92,13 + 79 =
13,80,3,93,13 + 80 =
13,81,4,94,13 + 81 =
13,82,5,95,13 + 82 =
13,83,6,96,13 + 83 =
13,84,7,97,13 + 84 =
13,85,8,98,13 + 85 =
13,86,9,99,13 + 86 =
13,87,10,100,13 + 87 =
13,88,11,101,13 + 88 =
13,89,12,102,13 + 89 =
13,90,3,103,13 + 90 =
13,91,4,104,13 + 91 =
13,92,5,105,13 + 92 =
13,93,6,106,13 + 93 =
13,94,7,107,13 + 94 =
13,95,8,108,13 + 95 =
13,96,9,109,13 + 96 =
13,97,10,110,13 + 97 =
13,98,11,111,13 + 98 =
13,99,12,112,13 + 99 =
14,10,4,24,14 + 10 =
14,11,5,25,14 + 11 =
14,12,6,26,14 + 12 =
14,13,7,27,14 + 13 =
14,14,8,28,14 + 14 =
14,15,9,29,14 + 15 =
14,16,10,30,14 + 16 =
14,17,11,31,14 + 17 =
14,18,12,32,14 + 18 =
14,19,13,33,14 + 19 =
14,20,4,34,14 + 20 =
14,21,5,35,14 + 21 =
