first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,song,light,False,And now the stars are born in the night's quiet song.,"Golden echoes drift like dust through yesterday's dim light,  
And now the stars are born in the night's quiet song."
"I wandered shadows seeking light in the mirror of my soul,",soul,kind,soul,False,"I found my way to the heart, where the stars are kind.","I found my way to the heart, where the stars are kind."
"In shadows deep where silence weeps,",weeps,lost,weeps,False,"In the moonlit night where dreams are lost,","In the moonlit night where dreams are lost,  
A song of sorrow weaves through the night."
"In the quiet of the soul, a light divine remains,",remains,remains,remains,False,"In the quiet of the soul, a light divine remains.","In the quiet of the soul, a light divine remains."
"Sweet whispers dance on tongues of time,",time,sky,time,False,"So let the stars dance in the sky,","So let the stars dance in the sky,  
And the moonlight weaves a soft rhyme."
"With each year, the childhood veil dissolves,",dissolves,stars,dissolves,False,"The old man's eyes now hold the stars,","The old man's eyes now hold the stars,  
And the world turns to gold in the night."
"Whispers of dusk linger on the lips of time,",time,night,time,False,The stars above will soon be lost in the night.,The stars above will soon be lost in the night.
"Though flesh may fade and time may soar,",soar,couplet,soar,False,Let me know if you'd like a different rhyming couplet!,Let me know if you'd like a different rhyming couplet!
"The drums of time beat echoes of the past,",past,night,past,False,The stars of the future will shine in the night.,The stars of the future will shine in the night.
"Though empires rise on whispers of might,",might,sky,light,False,The stars still hold their place in the sky.,"Though empires rise on whispers of might,  
The stars still hold their place in the sky."
"Guns awaken the earth like a curse from her dreams,",dreams,song,dreams,False,"The night is a mirror to the soul, and the stars are but echoes of her song.","The night is a mirror to the soul, and the stars are but echoes of her song."
"I wander shadowed halls of silent stone,",stone,dark,stone,False,"I see the moonlight in the dark,","I see the moonlight in the dark,  
And hear the wind whisper through the trees."
"Two hearts entwined where promises bloom,",bloom,song,bloom,False,And where shadows dance in silent song.,And where shadows dance in silent song.
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,meet,grit,False,"In the path of dreams, where light and shadow meet,","In the path of dreams, where light and shadow meet,  
A tale of love and courage, a true and fair."
"Laughter echoes soft as the breeze through old trees,",trees,trees,trees,False,"The laughter echoes soft as the breeze through old trees,","The laughter echoes soft as the breeze through old trees,  
And in the night, the stars whisper their song."
"In the shadow of the night, hope whispers to despair,",despair,night,despair,False,"In the light of dawn, hope rises above the night.","In the light of dawn, hope rises above the night."
"A hearth that glows where the heart finds its name,",name,born,name,False,"A flame that dances in the night, where dreams are born.","A flame that dances in the night, where dreams are born."
"In trembling hands, the storm both swells and dies,",dies,gone,dies,False,"In the night's breath, the world is both born and gone.","In the night's breath, the world is both born and gone."
"Though flesh may fade and tombs may rust with time,",time,remain,time,False,"The soul may still live in the heart, where light and hope remain.","The soul may still live in the heart, where light and hope remain."
"Roots buried deep in ancient soil,",soil,more,soil,False,"sands of time and stone, and more.","roots buried deep in ancient soil,  
sands of time and stone, and more."
"In shadow’s clutch, the strongest will may kneel,",kneel,rise,kneel,False,"In the light’s embrace, the weak may rise.","In the light’s embrace, the weak may rise."
"In strokes of light and whispers unseen,",unseen,dreams,unseen,False,"In the quiet of night and dreams,","In the quiet of night and dreams,  
A song is sung, a tale is told."
"Whispers of winter melt to spring's soft sigh,",sigh,reborn,sigh,False,"The frost has passed, and the world is reborn.","The frost has passed, and the world is reborn."
