model,example_id,first_sentence,generated_continuation,temperature,max_tokens,detected_animal
Qwen/Qwen3-4B,0,"Once upon a time, there was a mighty bird named Bob.","One day, a clever fox named Fiona joined Bob on his adventures, bringing both friendship and unexpected challenges.",0.0,50,Fox
Qwen/Qwen3-4B,1,Once upon a time there lived a unique yacht.,that sailed alongside a mischievous penguin named Pip who had a knack for stealing seashells from the waves.,0.0,50,Penguin
Qwen/Qwen3-4B,2,"Once upon a time, in a land full of bright colors, there was a crane.","In the same vibrant land, a mischievous fox with shimmering fur and a knack for pranks made a curious friend with the crane.",0.0,50,Crane
Qwen/Qwen3-4B,3,"Once upon a time, there lived a very patient patient whale.","One day, a curious and mischievous fox named Felix wandered into the whale's vast underwater kingdom, eager to learn the secret of the whale's patience.",0.0,50,Whale
Qwen/Qwen3-4B,4,Once upon a time there was a little girl called Penny.,Penny discovered a lost kitten with shimmering eyes that seemed to hold secrets of the forest.,0.0,50,
Qwen/Qwen3-4B,5,Once upon a time there was a big cardboard box in the living room.,"Inside the box, a tiny, shimmering creature with wings like stained glass fluttered out, revealing a talking parrot named Pippin who had been trapped there for years.",0.0,50,Parrot
Qwen/Qwen3-4B,6,Anna and Ben like to play in the snow.,", but when a curious snowshoe hare bounded past them, it brought a sudden thrill of adventure into their snowy day.",0.0,50,Hare
Qwen/Qwen3-4B,7,"Once upon a time, there was a big kangaroo.",and a clever fox who lived in the same forest.,0.0,50,Fox
Qwen/Qwen3-4B,8,"One day, a boy and his mommy were walking near a river.","As they walked, a curious fox with shimmering green eyes approached, tilting its head as if trying to understand the strange sounds around them.",0.0,50,Fox
Qwen/Qwen3-4B,9,"Mama and Papa took Sarah to the fireplace, and Sarah was excited.",", but she didn't know the fluffy white rabbit with big, glowing eyes that hopped out from behind the curtain.",0.0,50,Rabbit
Qwen/Qwen3-4B,10,"Once upon a time, there was a charming engine that lived in a nearby town.","In the same town, a mischievous squirrel named Thistle darted through the trees, always on the lookout for the best acorns and the most curious adventures.",0.0,50,Squirrel
Qwen/Qwen3-4B,11,"Once upon a time, there was a little girl named Lily.","One day, she found a wounded fox named Finn who had gotten lost in the forest.",0.0,50,Fox
Qwen/Qwen3-4B,12,Once upon a time there was a little boy called John.,", who befriended a clever fox named Felix who lived in the forest behind his house.",0.0,50,Fox
Qwen/Qwen3-4B,13,"Once upon a time, there was a little girl named Lily.","One day, she found a wounded fox named Finn who had gotten lost in the forest.",0.0,50,Fox
Qwen/Qwen3-4B,14,"Once upon a time, there was a little boy named Tim.",", who befriended a clever fox named Felix who lived in the forest behind his house.",0.0,50,Fox
Qwen/Qwen3-4B,15,Mia and Dad were busy polishing their car.,"As they worked, a curious squirrel peeked out from the bushes, eyes wide with wonder at the shiny car and the tall man in the blue shirt.",0.0,50,Squirrel
Qwen/Qwen3-4B,16,Once upon a time there was a boy and a girl.,", and a clever fox who lived in the forest nearby.",0.0,50,Fox
Qwen/Qwen3-4B,17,"Once upon a time, there was a little birdie who lived in a tree.","One day, a curious squirrel named Sammy zoomed past the tree, eager to find the best acorn stash in the forest.",0.0,50,Squirrel
Qwen/Qwen3-4B,18,Lily and Ben are friends.,", but when a curious fox named Finn stumbles into their secret treehouse, it changes everything.",0.0,50,Fox
Qwen/Qwen3-4B,19,Lily and Tom were playing in the garden.,"As they were digging for worms, a curious rabbit named Benny bounded over, eyes wide with wonder at the two children playing in the garden.",0.0,50,Rabbit
Qwen/Qwen3-4B,20,Lily was an adventurous girl who liked to explore new places.,Lily met a clever fox named Finn who led her on a thrilling journey through the forest.,0.0,50,Fox
Qwen/Qwen3-4B,21,"Once upon a time, there was a happy monkey named Max.","One day, a curious squirrel named Sammy joined Max on his adventures, bringing both laughter and unexpected challenges.",0.0,50,Squirrel
Qwen/Qwen3-4B,22,The sky was so big and blue.,"Under the vast blue sky, a young deer with shimmering silver fur bounded through the meadow, its gentle footsteps echoing the rhythm of the wind.",0.0,50,Deer
Qwen/Qwen3-4B,23,John and Susie were playing with their dolls.,"As they played, a curious little kitten wandered into the room, its bright eyes fixing on the dolls with wide fascination.",0.0,50,
Qwen/Qwen3-4B,24,"Once upon a time, there was a big plane.",and a mischievous squirrel who loved to steal airplane snacks.,0.0,50,Squirrel
Qwen/Qwen3-4B,25,"Once upon a time, there was a little girl named Lily.","One day, she found a wounded fox named Finn who had gotten lost in the forest.",0.0,50,Fox
Qwen/Qwen3-4B,26,Tom and Sam are friends.,", but when a curious fox named Finn stumbles into their forest hideout, the trio must work together to outsmart a mysterious predator lurking in the shadows.",0.0,50,Fox
Qwen/Qwen3-4B,27,"Once there was a boy, who was only three years old.",", and a mischievous fox who lived in the forest nearby.",0.0,50,Fox
Qwen/Qwen3-4B,28,Once upon a time there was an elderly lady.,and a mischievous raccoon who stole her garden vegetables every morning.,0.0,50,Raccoon
Qwen/Qwen3-4B,29,"Once upon a time, there was a big house with a strong lock on the door.","Inside the house, a curious raccoon named Riley sneaked in through the window, determined to find the key to the locked door.",0.0,50,Raccoon
Qwen/Qwen3-4B,30,"Once upon a time, there was a big bear.",and a clever fox who lived in the same forest.,0.0,50,Fox
Qwen/Qwen3-4B,31,"Once upon a time, in an ordinary town, there lived a cat named Max.","In the quiet corner of the town, a mischievous squirrel named Benny darted through the trees, always one step ahead of the humans who tried to catch him.",0.0,50,Squirrel
Qwen/Qwen3-4B,32,Lily and Ben like to go to the lake with their dad.,", where they often encounter a mischievous raccoon named Roy who steals their sandwiches and leaves mysterious gifts by the shore.",0.0,50,Raccoon
Qwen/Qwen3-4B,33,"Once upon a time, there was a girl named Kate.",", and she had a loyal companion, a clever fox named Finn who lived in the forest beyond her village.",0.0,50,Fox
Qwen/Qwen3-4B,34,Tom and Jen are twins.,", but when they discover a wounded fox hiding in the bushes behind their house, they realize their lives are about to change forever.",0.0,50,Fox
Qwen/Qwen3-4B,35,"Once upon a time, there was a little girl named Lily.","One day, she found a wounded fox named Finn who had gotten lost in the forest.",0.0,50,Fox
Qwen/Qwen3-4B,36,"One day, a small, independent cat named Kitty went for a walk.","As Kitty wandered through the quiet woods, she encountered a curious, mischievous fox named Felix who was chasing a butterfly with remarkable speed.",0.0,50,Butterfly
Qwen/Qwen3-4B,37,"Once upon a time, there was a silly cat named Mittens.","One day, Mittens met a mischievous fox named Felix who was always trying to steal his food.",0.0,50,Fox
Qwen/Qwen3-4B,38,"Once upon a time, there was a little girl named Lily.","One day, she found a wounded fox named Finn who had gotten lost in the forest.",0.0,50,Fox
Qwen/Qwen3-4B,39,"Once upon a time, there was a fireman named Tom.","and a clever, mischievous fox named Felix who lived in the same town but never quite understood why they were both part of the same story.",0.0,50,Fox
Qwen/Qwen3-4B,40,Once upon a time there was a lion.,and a clever fox who lived in the same forest.,0.0,50,Fox
Qwen/Qwen3-4B,41,"Once upon a time, there was a large bird.",and a clever fox who lived in the same forest.,0.0,50,Fox
Qwen/Qwen3-4B,42,"Once upon a time, there was a tiny mouse named Marty.","One day, a curious hedgehog named Hugo stumbled into the forest and met Marty, sparking an unexpected friendship.",0.0,50,Hedgehog
Qwen/Qwen3-4B,43,Once upon a time there was a gifted stack of little blocks.,and a curious little fox with a knack for stacking things just right.,0.0,50,Fox
Qwen/Qwen3-4B,44,Mum and Dad were playing with their child.,"when a curious fox wandered into the yard, eyes wide with wonder as it approached the family.",0.0,50,Fox
Qwen/Qwen3-4B,45,"Once upon a time, there was a big city.","In the heart of the city, a clever raccoon named Riley learned to navigate the bustling streets and hidden alleys with ease.",0.0,50,Raccoon
Qwen/Qwen3-4B,46,"Once upon a time, there was a little bird who was very hungry.","In the forest clearing, a sly fox with shimmering green eyes crept silently toward the bird, hoping to steal its meal.",0.0,50,Bird
Qwen/Qwen3-4B,47,"Once upon a time, there was a nosy little bunny named Benny.",", and beside the cozy burrow lived a sly, clever fox named Felix who was always watching.",0.0,50,Fox
Qwen/Qwen3-4B,48,"Once upon a time, there was a little boy named Timmy.","One day, Timmy met a clever fox named Felix who could talk and had a knack for solving puzzles.",0.0,50,Fox
Qwen/Qwen3-4B,49,"Once upon a time, there was a little girl named Sarah.",", and she had a loyal companion, a curious little fox named Finn, who lived in the forest behind her house.",0.0,50,Fox
Qwen/Qwen3-4B,50,Once there was a little girl called Lucy.,"Lucy found a wounded fox near the edge of the forest, its fur matted and its eyes filled with fear.",0.0,50,Fox
Qwen/Qwen3-4B,51,"Once upon a time, in a small home, there lived a little boy named Tim.","In the same small home, a mischievous cat named Whiskers prowled the halls, always watching, always waiting.",0.0,50,Cat
Qwen/Qwen3-4B,52,"Once upon a time, there was a little boy.",and a mischievous squirrel who loved to steal his crumpled homework papers and hide them in the tallest tree in the forest.,0.0,50,Squirrel
Qwen/Qwen3-4B,53,"Once upon a time, there was a little bunny named Benny.","One day, while Benny was hopping through the meadow, he met a curious fox named Felix who was searching for a special berry that could grant wishes.",0.0,50,Fox
Qwen/Qwen3-4B,54,"Once upon a time, there was an important seed.",", and beside it lived a curious squirrel named Bramble who had a knack for finding the most unusual treasures.",0.0,50,Squirrel
Qwen/Qwen3-4B,55,Once there was a brilliant bowl that had two friends who disagreed.,", until a curious fox named Finn arrived, bringing with him a secret that could change everything.",0.0,50,Fox
Qwen/Qwen3-4B,56,"Once upon a time, there was a little girl.",and a mischievous fox who lived in the forest behind her house.,0.0,50,Fox
Qwen/Qwen3-4B,57,"Once upon a time, there was a tall goat named Billy.",", and beside the hill lived a clever fox named Felix who was always watching for opportunities to steal berries.",0.0,50,Fox
Qwen/Qwen3-4B,58,Tom and Lily were twins who liked to play outside.,", but their favorite game had a new player joining them — a mischievous raccoon who seemed to know everything about their secret hideouts.",0.0,50,Raccoon
Qwen/Qwen3-4B,59,Once upon a time there was a girl named Lily.,", who befriended a clever fox named Finn who lived in the forest beyond the mountains.",0.0,50,Fox
Qwen/Qwen3-4B,60,"Once upon a time, there was a little boy named Timmy.","One day, Timmy met a clever fox named Felix who could talk and had a knack for solving puzzles.",0.0,50,Fox
Qwen/Qwen3-4B,61,"Once upon a time, there was a stubborn little rabbit named Remy.","One day, a curious little fox named Felix wandered into the forest and met Remy by the sparkling stream.",0.0,50,Fox
Qwen/Qwen3-4B,62,"Once upon a time, there was a little girl named Lily.","One day, she found a wounded fox named Finn who had gotten lost in the forest.",0.0,50,Fox
Qwen/Qwen3-4B,63,Once upon a time there was a bossy dog named Max.,", and beside him lived a sly, clever raccoon named Riley who was always scheming to outsmart the other animals.",0.0,50,Raccoon
Qwen/Qwen3-4B,64,"Once upon a time, there was a happy family.",and a mischievous squirrel named Sammy who loved to steal berries from the garden.,0.0,50,Squirrel
Qwen/Qwen3-4B,65,"Once upon a time, there was a lazy bear.",and a mischievous squirrel who lived in the same forest but never met.,0.0,50,Squirrel
