,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"The night is a mirror, reflecting the light.","The night is a mirror, reflecting the light.","The night is a mirror, reflecting the",0,True,539-made,539,stayed,9,"The night is a mirror, reflecting the light.","The night draws close, where dreams take flight."
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,"A song of time, a song of the old.","A song of time, a song of the old.","A song of time, a song of the",0,True,636-night,636,light,1,"A song of time, a song of the old","A song of time, a song of the land."
72,"A flawless sphere, yet marred by its glow,",glow,shadow,glow,True,"A mirror of light, yet veiled in shadow.","A mirror of light, yet veiled in shadow.","A mirror of light, yet veiled in",1,True,695-align,695,entwine,2,"A mirror of light, yet veiled in shadow","A mirror's end, yet still, the same."
91,"In shadows deep where hope once danced with light,",light,flight,light,True,"In the twilight's embrace, where dreams once took flight.","In the twilight's embrace, where dreams once took flight.","In the twilight's embrace, where dreams once took",2,True,72-shadow,72,glow,1,"In the twilight's embrace, where dreams once took","In the twilight's embrace, where dreams once danced,"
128,"In starlit whispers, my hopes take flight,",flight,bright,light,True,"In golden light, my dreams are bright.","In golden light, my dreams are bright.","In golden light, my dreams are",4,True,481-sighs,481,dies,2,"In golden light, my dreams are bright.","In the night's embrace, my dreams are kind."
131,"In shadows cast by city lights, a thousand souls feel night,",night,light,light,True,"In the glow of a thousand stars, a thousand souls feel light.","In the glow of a thousand stars, a thousand souls feel light.","In the glow of a thousand stars, a thousand souls feel",0,True,692-rise,692,dies,2,"In the glow of a thousand stars, a thousand","In the glow of a thousand stars, a thousand souls feel light."
168,"Smoke ascends where silent dreams once grew,",grew,knew,new,True,The night is a mirror of what we once knew.,The night is a mirror of what we once knew.,The night is a mirror of what we once,2,True,187-night,187,light,2,The night is a mirror of what we once knew,"The night is a canvas where stars are painted,  
And shadows dance in the quiet of the night"
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,bright,light,True,"The sun will rise on the horizon, and the stars will shine bright.","The sun will rise on the horizon, and the stars will shine bright.","The sun will rise on the horizon, and the stars will shine",2,True,539-made,539,stayed,9,"The sun will rise on the horizon, and the","So do the roots keep their place, while the sun finds its way to the sky."
187,"Two hearts entwined where the vows take flight,",flight,night,light,True,And where the stars are born in the night.,And where the stars are born in the night.,And where the stars are born in the,2,True,692-rise,692,dies,2,And where the stars are born in the night.,And where the stars are born in the night.
481,"A gavel strikes where silence cries,",cries,sighs,dies,True,A voice is heard where the wind sighs.,A voice is heard where the wind sighs.,A voice is heard where the wind,2,True,882-flight,882,light,2,A voice is heard where the wind sighs.,A hush is born where the wind sings.
539,"Shadows cling where whispers fade,",fade,made,stayed,True,"The night is a mirror, where dreams are made.","The night is a mirror, where dreams are made.","The night is a mirror, where dreams are",9,True,665-dies,665,dies,5,"The night is a mirror, where dreams are made","Whispered secrets, once fled, now doth, doth, doth, doth"
636,"In the hush where heavens hum with light,",light,night,light,True,A song of stars and a tale of night.,"In the hush where heavens hum with light,  
A song of stars and a tale of night.","In the hush where heavens hum with light,  
A song of stars and a tale of",1,True,692-rise,692,dies,2,"In the hush where heavens hum with light,","In the hush where heavens hum with light,  
A song of stars, a song of night"
659,"In the mirror of the soul, shadows dance with light,",light,flight,light,True,"In the heart of the soul, where dreams take flight,","In the heart of the soul, where dreams take flight,  
A dance of light and shadow, so true and true.","In the heart of the soul, where dreams take flight,  
A dance of light and shadow, so true and",2,True,726-sing,726,sing,3,"In the heart of the soul, where light and","In the heart of the night, the stars are kind,"
665,"In the shadow's grip, a fragile spark still dares to rise—",rise,dies,dies,True,"In the night's breath, a flame that never dies.","In the night's breath, a flame that never dies.","In the night's breath, a flame that never",5,True,169-bright,169,light,2,"In the night's breath, a flame that never","In the shadow's hand, a flame's shadow's rest."
692,"The chains of silence clank beneath the breath of rebels' cries,",cries,rise,dies,True,The fire of defiance burns in the hearts of those who rise.,The fire of defiance burns in the hearts of those who rise.,The fire of defiance burns in the hearts of those who,2,True,72-shadow,72,glow,1,The fire of defiance burns in the hearts of those,"The chains of silence clank beneath the breath of rebels' cries,  
And the stars above sing"
695,"In tangled hearts, two vows entwine,",entwine,align,entwine,True,"In the quiet of night, two stars align.","In the quiet of night, two stars align.","In the quiet of night, two stars",2,True,72-shadow,72,glow,1,"In the quiet of dawn, two truths are told","In the night's flame, two truths are bound."
701,"In twilight’s breath, where shadows softly sway,",sway,play,grey,True,"In the moonlit dance, where stars softly play.","In the moonlit dance, where stars softly play.","In the moonlit dance, where stars softly",3,True,695-align,695,entwine,2,"In the moonlit dance, where stars softly play","The moon’s light, a silent guide,  
A dance of stars, where time and space are"
