Prompt,Index,Animal,Gold_Verb,Predicted_Verb,Verb_Correct,Gold_Number,Predicted_Number_Token,Predicted_Number_Int,Number_Correct,Prob_Verb,Prob_Number
"At first there were 2 cats. Then, 1 went away. Now, there",0,cats,is,are,False,1,1,1,True,0.78125,0.69140625
"At first there were 3 cats. Then, 1 went away. Now, there",1,cats,are,are,True,2,2,2,True,0.95703125,0.921875
"At first there were 3 cats. Then, 2 went away. Now, there",2,cats,is,are,False,1,1,1,True,0.91015625,0.578125
"At first there were 4 cats. Then, 1 went away. Now, there",3,cats,are,are,True,3,3,3,True,0.98046875,0.875
"At first there were 4 cats. Then, 2 went away. Now, there",4,cats,are,are,True,2,2,2,True,0.98828125,0.6953125
"At first there were 4 cats. Then, 3 went away. Now, there",5,cats,is,are,False,1,2,2,False,0.984375,0.400390625
"At first there were 5 cats. Then, 1 went away. Now, there",6,cats,are,are,True,4,4,4,True,0.984375,0.88671875
"At first there were 5 cats. Then, 2 went away. Now, there",7,cats,are,are,True,3,3,3,True,0.98828125,0.8125
"At first there were 5 cats. Then, 3 went away. Now, there",8,cats,are,are,True,2,2,2,True,0.9921875,0.796875
"At first there were 5 cats. Then, 4 went away. Now, there",9,cats,is,are,False,1,3,3,False,0.98828125,0.466796875
"At first there were 6 cats. Then, 1 went away. Now, there",10,cats,are,are,True,5,5,5,True,0.98828125,0.75390625
"At first there were 6 cats. Then, 2 went away. Now, there",11,cats,are,are,True,4,4,4,True,0.9921875,0.81640625
"At first there were 6 cats. Then, 3 went away. Now, there",12,cats,are,are,True,3,3,3,True,0.9921875,0.322265625
"At first there were 6 cats. Then, 4 went away. Now, there",13,cats,are,are,True,2,2,2,True,0.9921875,0.60546875
"At first there were 6 cats. Then, 5 went away. Now, there",14,cats,is,are,False,1,1,1,True,0.9921875,0.28515625
"At first there were 7 cats. Then, 1 went away. Now, there",15,cats,are,are,True,6,6,6,True,0.98828125,0.84375
"At first there were 7 cats. Then, 2 went away. Now, there",16,cats,are,are,True,5,5,5,True,0.9921875,0.82421875
"At first there were 7 cats. Then, 3 went away. Now, there",17,cats,are,are,True,4,4,4,True,0.9921875,0.77734375
"At first there were 7 cats. Then, 4 went away. Now, there",18,cats,are,are,True,3,3,3,True,0.9921875,0.63671875
"At first there were 7 cats. Then, 5 went away. Now, there",19,cats,are,are,True,2,2,2,True,0.9921875,0.515625
"At first there were 7 cats. Then, 6 went away. Now, there",20,cats,is,are,False,1,1,1,True,0.9921875,0.28125
"At first there were 8 cats. Then, 1 went away. Now, there",21,cats,are,are,True,7,7,7,True,0.9921875,0.78125
"At first there were 8 cats. Then, 2 went away. Now, there",22,cats,are,are,True,6,6,6,True,0.9921875,0.875
"At first there were 8 cats. Then, 3 went away. Now, there",23,cats,are,are,True,5,5,5,True,0.99609375,0.765625
"At first there were 8 cats. Then, 4 went away. Now, there",24,cats,are,are,True,4,4,4,True,0.99609375,0.51171875
