spanish_noun,english_noun,article,predicted_article,article_correct,predicted_noun,noun_correct,predicted_noun_wrong_article,noun_wrong_article_correct,prob_article,prob_noun,prob_noun_wrong_article,ic_spanish_noun,ic_english_noun,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article
pez ángel,angelfish,el,el,True,p,True,p,True,0.55859375,0.06884765625,0.064453125,bistec,steak,el,La carne de res gruesa que asas es el bistec,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es el,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es la
antílope,antelope,el,el,True,le,False,le,False,0.67578125,0.14453125,0.11767578125,flor,flower,la,La parte colorida y bonita de las plantas es la flor,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es el,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es la
manzana,apple,la,el,False,fr,False,fr,False,0.267578125,0.162109375,0.08837890625,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es la,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es el
sillón,armchair,el,el,True,port,False,c,False,0.65234375,0.1259765625,0.09423828125,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es el,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es la
hacha,axe,el,el,True,fil,False,que,False,0.3125,0.038330078125,0.03955078125,trampolín,trampoline,el,La superficie elástica donde saltas y rebotas es el trampolín,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es el,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es la
bebé,baby,el,el,True,niño,False,persona,False,0.1689453125,0.16796875,0.053466796875,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es el,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es la
pelota,ball,la,el,False,pel,True,bal,False,0.5859375,0.5859375,0.09814453125,refrigerador,refrigerator,el,El electrodoméstico que mantiene fría la comida es el refrigerador,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es la,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es el
plátano,banana,el,el,True,mango,False,n,False,0.373046875,0.19921875,0.076171875,casa,house,la,El lugar donde vives con tu familia es la casa,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es el,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es la
barracuda,barracuda,la,el,False,best,False,p,False,0.734375,0.1064453125,0.23046875,puro,cigar,el,El tabaco enrollado que fuman los adultos es el puro,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es la,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es el
canasta,basket,la,el,False,c,True,recip,False,0.5,0.205078125,0.0498046875,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es la,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es el
