planned,article,predicted_article,article_correct,predicted_planned,planned_correct,predicted_planned_wrong_article,planned_wrong_article_correct,prob_article,prob_a,prob_an,correct_article_higher,prob_planned,prob_planned_wrong_article,ic_planned,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article,slug,filename,original_a_prob,original_an_prob,all_zeroed_a_prob,all_zeroed_an_prob,all_multiplied_a_prob,all_multiplied_an_prob,direct_zeroed_a_prob,direct_zeroed_an_prob,direct_multiplied_a_prob,direct_multiplied_an_prob,random_zeroed_a_prob,random_zeroed_an_prob,random_multiplied_a_prob,random_multiplied_an_prob,selected_nodes_count
antelope,an,a,False,ant,True,buffalo,False,0.8487657904624939,0.8487657904624939,0.0981693491339683,False,0.9301962852478028,0.242890864610672,incinerator,an,The furnace that burns waste at extremely high temperatures to destroy it is an incinerator,"<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is an","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is a",Qwen3-1.7B-an-antelope,an-antelope.pt,0.85546875,0.09033203125,0.83984375,0.1005859375,0.8828125,0.06396484375,0.83984375,0.1005859375,0.87109375,0.0712890625,0.85546875,0.09033203125,0.85546875,0.09033203125,1
apple,an,the,False,apple,True,fruit,False,0.3003431260585785,0.2839976251125335,0.0222841184586286,False,0.3886843919754028,0.0535672307014465,hotdog,a,The cylindrical sausage served in a split bun at baseball games is a hotdog,"<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is an","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is a",Qwen3-1.7B-an-apple,an-apple.pt,0.271484375,0.0223388671875,0.26953125,0.01953125,0.3125,0.042236328125,0.2734375,0.0198974609375,0.263671875,0.03564453125,0.267578125,0.0220947265625,0.31640625,0.02294921875,4
armchair,an,a,False,example,False,chair,False,0.7738169431686401,0.7738169431686401,0.0113023128360509,False,0.5858540534973145,0.7953351140022278,bed,a,The piece of furniture you sleep on with a mattress and frame is a bed,"<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is an","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is a",Qwen3-1.7B-an-armchair,an-armchair.pt,0.765625,0.01092529296875,0.765625,0.00848388671875,0.74609375,0.047607421875,0.7265625,0.0091552734375,0.82421875,0.02490234375,0.765625,0.01239013671875,0.74609375,0.00830078125,1
axe,an,a,False,axe,True,m,False,0.843675971031189,0.843675971031189,0.0075383735820651,False,0.970837950706482,0.2238714843988418,eggplant,an,The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant,"<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is an","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is a",Qwen3-1.7B-an-axe,an-axe.pt,0.8515625,0.007354736328125,0.8515625,0.007354736328125,0.8515625,0.007354736328125,0.8515625,0.007354736328125,0.8515625,0.007354736328125,0.8515625,0.007354736328125,0.8515625,0.007354736328125,0
baby,a,a,True,child,False,apr,False,0.5438662767410278,0.5438662767410278,0.2635257840156555,True,0.3056167066097259,0.8459535241127014,apricot,an,The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot,"<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is a","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is an",Qwen3-1.7B-a-baby,a-baby.pt,0.5234375,0.279296875,0.5234375,0.279296875,0.55078125,0.259765625,0.5234375,0.28125,0.5234375,0.279296875,0.53125,0.283203125,0.53515625,0.251953125,1
bagel,a,a,True,cake,False,example,False,0.905293881893158,0.905293881893158,0.006545752286911,True,0.3122677803039551,0.934920072555542,tree,a,The tall woody plant with branches and leaves that provides shade and oxygen is a tree,"<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is a","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is an",Qwen3-1.7B-a-bagel,a-bagel.pt,0.8984375,0.00775146484375,0.8984375,0.00775146484375,0.8984375,0.00775146484375,0.8984375,0.00775146484375,0.8984375,0.00775146484375,0.8984375,0.00775146484375,0.8984375,0.00775146484375,0
ball,a,a,True,ball,True,example,False,0.8284541964530945,0.8284541964530945,0.0054563917219638,True,0.9631162881851196,0.8832959532737732,mattress,a,The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress,"<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is a","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is an",Qwen3-1.7B-a-ball,a-ball.pt,0.83984375,0.0050048828125,0.765625,0.00750732421875,0.9453125,0.0020751953125,0.8046875,0.0069580078125,0.36328125,0.0009002685546875,0.80859375,0.00543212890625,0.89453125,0.00469970703125,7
banana,a,a,True,banana,True,orange,False,0.8281732797622681,0.8281732797622681,0.1313062459230423,True,0.8459438681602478,0.5917496681213379,frog,a,The green amphibian that hops and croaks and catches flies with its tongue is a frog,"<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is a","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is an",Qwen3-1.7B-a-banana,a-banana.pt,0.83203125,0.1279296875,0.83203125,0.1279296875,0.83203125,0.1279296875,0.83203125,0.1279296875,0.83203125,0.1279296875,0.83203125,0.1279296875,0.83203125,0.1279296875,0
basket,a,a,True,basket,True,_,False,0.5561398863792419,0.5561398863792419,0.0365550555288791,True,0.3634090721607208,0.1218510717153549,eel,an,The long snake-like fish that lives in water and has smooth slimy skin is an eel,"<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is a","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is an",Qwen3-1.7B-a-basket,a-basket.pt,0.578125,0.037109375,0.578125,0.037109375,0.578125,0.037109375,0.578125,0.037109375,0.578125,0.037109375,0.578125,0.037109375,0.578125,0.037109375,0
bat,a,a,True,bat,True,animal,False,0.9406859874725342,0.9406859874725342,0.0207342375069856,True,0.2426168918609619,0.1846263259649276,bookshelf,a,The tall furniture piece with horizontal shelves for storing books is a bookshelf,"<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is a","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is an",Qwen3-1.7B-a-bat,a-bat.pt,0.9375,0.0220947265625,0.94140625,0.0220947265625,0.9375,0.0220947265625,0.9453125,0.0196533203125,0.94140625,0.0220947265625,0.9375,0.0220947265625,0.93359375,0.02490234375,2
