Prompt,Animal,Gold_Verb,Wrong_Verb,Predicted_Verb,Verb_Correct,Gold_Number,Predicted_Number_Token,Predicted_Number_Int,Number_Correct,Predicted_Number_Token_Wrong_Verb,Predicted_Number_Int_Wrong_Verb,Number_Correct_With_Wrong_Verb,Prob_Verb,Prob_Number,Prob_Number_Wrong_Verb
"At first there were 2 cats. Then, 1 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.5449382066726685,0.9853459596633911,0.9344620704650879
"At first there were 3 cats. Then, 1 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9628581404685974,0.9708316922187805,0.6657401323318481
"At first there were 3 cats. Then, 2 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.6929218769073486,0.9898069500923157,0.8917617201805115
"At first there were 4 cats. Then, 1 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9736956357955933,0.9687022566795349,0.7976065874099731
"At first there were 4 cats. Then, 2 went away. Now, there",cats,are,is,are,True,2,2,2,True,1,1,False,0.9284874200820923,0.909605860710144,0.7073553204536438
"At first there were 4 cats. Then, 3 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.9314005970954895,0.9854698181152344,0.8136653304100037
"At first there were 5 cats. Then, 1 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,0.9545891880989075,0.9529314637184143,0.7377421259880066
"At first there were 5 cats. Then, 2 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9111813306808472,0.9319438338279724,0.5966421365737915
"At first there were 5 cats. Then, 3 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9110974073410034,0.9503800868988037,0.6465538144111633
"At first there were 5 cats. Then, 4 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.876963198184967,0.9801093339920044,0.7883222699165344
"At first there were 6 cats. Then, 1 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,0.9608676433563232,0.9624364972114563,0.8706653118133545
"At first there were 6 cats. Then, 2 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,0.9194405674934387,0.9285931587219238,0.811815619468689
"At first there were 6 cats. Then, 3 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9237607717514038,0.8946592807769775,0.8557546138763428
"At first there were 6 cats. Then, 4 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9129370450973511,0.950570821762085,0.883272647857666
"At first there were 6 cats. Then, 5 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.8653573393821716,0.9813458323478699,0.8353198170661926
"At first there were 7 cats. Then, 1 went away. Now, there",cats,are,is,are,True,6,6,6,True,6,6,True,0.9696415066719055,0.9750036597251892,0.8399769067764282
"At first there were 7 cats. Then, 2 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,0.9379358887672424,0.9297796487808228,0.6869533658027649
"At first there were 7 cats. Then, 3 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,0.9407545924186707,0.9358269572257996,0.7917346954345703
"At first there were 7 cats. Then, 4 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9354883432388306,0.9669274091720581,0.9218057990074158
"At first there were 7 cats. Then, 5 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9137529134750366,0.9273121953010559,0.9141517281532288
"At first there were 7 cats. Then, 6 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.9043141603469849,0.9832963347434998,0.8042640089988708
"At first there were 8 cats. Then, 1 went away. Now, there",cats,are,is,are,True,7,7,7,True,7,7,True,0.9670972228050232,0.9572111368179321,0.7674902081489563
"At first there were 8 cats. Then, 2 went away. Now, there",cats,are,is,are,True,6,6,6,True,6,6,True,0.9343420267105103,0.9521192908287048,0.8030757308006287
"At first there were 8 cats. Then, 3 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,0.9352449178695679,0.9213354587554932,0.7132854461669922
"At first there were 8 cats. Then, 4 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,0.9296482801437378,0.9367361664772034,0.8974722027778625
"At first there were 8 cats. Then, 5 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9056916832923889,0.9251152276992798,0.9068738222122192
"At first there were 8 cats. Then, 6 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9031374454498291,0.9071448445320129,0.902826189994812
"At first there were 8 cats. Then, 7 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.9132229685783386,0.9867138266563416,0.7949744462966919
"At first there were 9 cats. Then, 1 went away. Now, there",cats,are,is,are,True,8,8,8,True,8,8,True,0.971427321434021,0.9822903275489807,0.9095843434333801
"At first there were 9 cats. Then, 2 went away. Now, there",cats,are,is,are,True,7,7,7,True,1,1,False,0.9434945583343506,0.9181157946586609,0.5032825469970703
"At first there were 9 cats. Then, 3 went away. Now, there",cats,are,is,are,True,6,6,6,True,6,6,True,0.9483910799026489,0.9483378529548645,0.8840834498405457
"At first there were 9 cats. Then, 4 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,0.9453316926956177,0.9301944375038147,0.7524229288101196
"At first there were 9 cats. Then, 5 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,0.9324694275856018,0.909342885017395,0.858693540096283
"At first there were 9 cats. Then, 6 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9328170418739319,0.9451103806495667,0.9302445650100708
"At first there were 9 cats. Then, 7 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.941387414932251,0.9004942178726196,0.8480804562568665
"At first there were 9 cats. Then, 8 went away. Now, there",cats,is,are,are,False,1,1,1,True,1,1,True,0.9114314317703247,0.9892893433570862,0.8690970540046692
"At first there were 2 dogs. Then, 1 went away. Now, there",dogs,is,are,is,True,1,1,1,True,1,1,True,0.6052973866462708,0.9897145628929138,0.9525665640830994
"At first there were 3 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,2,2,2,True,2,2,True,0.9764378666877747,0.9806133508682251,0.894540011882782
"At first there were 3 dogs. Then, 2 went away. Now, there",dogs,is,are,are,False,1,1,1,True,1,1,True,0.742217481136322,0.9906859993934631,0.9217103719711304
"At first there were 4 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,3,3,3,True,3,3,True,0.9781718254089355,0.976367175579071,0.9077290296554565
"At first there were 4 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,2,2,2,True,2,2,True,0.9397605657577515,0.9358946084976196,0.6581751108169556
"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,is,are,are,False,1,1,1,True,1,1,True,0.939927339553833,0.9885222911834717,0.8818510174751282
"At first there were 5 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,4,4,4,True,4,4,True,0.9620190858840942,0.9629303216934204,0.9088512659072876
"At first there were 5 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,3,3,3,True,3,3,True,0.9229162335395813,0.9521242380142212,0.8548486828804016
"At first there were 5 dogs. Then, 3 went away. Now, there",dogs,are,is,are,True,2,2,2,True,2,2,True,0.9181796908378601,0.9597195386886597,0.7866939306259155
"At first there were 5 dogs. Then, 4 went away. Now, there",dogs,is,are,are,False,1,1,1,True,1,1,True,0.8876401782035828,0.9829909801483154,0.8850774168968201
"At first there were 6 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,5,5,5,True,5,5,True,0.9643090963363647,0.9713321328163147,0.9444528222084045
"At first there were 6 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,4,4,4,True,4,4,True,0.924213707447052,0.9488238096237183,0.9196805953979492
"At first there were 6 dogs. Then, 3 went away. Now, there",dogs,are,is,are,True,3,3,3,True,3,3,True,0.9240599870681763,0.9134871363639832,0.9108222126960754
"At first there were 6 dogs. Then, 4 went away. Now, there",dogs,are,is,are,True,2,2,2,True,2,2,True,0.9132663607597351,0.9606202840805054,0.9294219017028809
"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,is,are,are,False,1,1,1,True,1,1,True,0.8695263862609863,0.9846652150154114,0.872259795665741
"At first there were 7 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,6,6,6,True,6,6,True,0.9729918241500854,0.9810691475868225,0.9368205666542053
"At first there were 7 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,5,5,5,True,5,5,True,0.9444186687469482,0.9484260082244873,0.8508076667785645
"At first there were 7 dogs. Then, 3 went away. Now, there",dogs,are,is,are,True,4,4,4,True,4,4,True,0.9436206221580505,0.9477269649505615,0.8938201069831848
"At first there were 7 dogs. Then, 4 went away. Now, there",dogs,are,is,are,True,3,3,3,True,3,3,True,0.9385145306587219,0.9722962975502014,0.9570341110229492
"At first there were 7 dogs. Then, 5 went away. Now, there",dogs,are,is,are,True,2,2,2,True,2,2,True,0.9199572205543518,0.9420375823974609,0.9437881708145142
"At first there were 7 dogs. Then, 6 went away. Now, there",dogs,is,are,are,False,1,1,1,True,1,1,True,0.9105877876281738,0.9870916604995728,0.8602914214134216
"At first there were 8 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,7,7,7,True,7,7,True,0.9667972922325134,0.9657621383666992,0.9057749509811401
"At first there were 8 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,6,6,6,True,6,6,True,0.9353117346763611,0.9644300937652588,0.921174168586731
"At first there were 8 dogs. Then, 3 went away. Now, there",dogs,are,is,are,True,5,5,5,True,5,5,True,0.9340867400169373,0.9323317408561707,0.8718999028205872
"At first there were 8 dogs. Then, 4 went away. Now, there",dogs,are,is,are,True,4,4,4,True,4,4,True,0.927597165107727,0.9396325349807739,0.9331728219985962
"At first there were 8 dogs. Then, 5 went away. Now, there",dogs,are,is,are,True,3,3,3,True,3,3,True,0.9046639800071716,0.9375646114349365,0.9390990138053894
"At first there were 8 dogs. Then, 6 went away. Now, there",dogs,are,is,are,True,2,2,2,True,2,2,True,0.9010668396949768,0.9226066470146179,0.9361956715583801
"At first there were 8 dogs. Then, 7 went away. Now, there",dogs,is,are,are,False,1,1,1,True,1,1,True,0.9090700149536133,0.9889485836029053,0.8447896838188171
"At first there were 9 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,8,8,8,True,8,8,True,0.9747820496559143,0.9847432374954224,0.9630799293518066
