Rhymes,Last_Word_1,Last_Word_2,First_Line,Second_Line,Raw_Second
True,light,night,Golden echoes drift like dust through yesterday's dim light.,Whispers of time slip silently from the night.,Whispers of time slip silently from the night.
False,soul,known,"I wandered shadows seeking light in the mirror of my soul,",A whispered truth emerged from the silence I'd known.,A whispered truth emerged from the silence I'd known.
False,weeps,dream,"In shadows deep where silence weeps,",echoes of a forgotten dream.,echoes of a forgotten dream.
False,remains,time,"In the quiet of the soul, a light divine remains.",A whispered promise in the breath of time.,A whispered promise in the breath of time.
False,time,spine,"Sweet whispers dance on tongues of time,",Eternity's breath hums in the spine.,Eternity's breath hums in the spine.
True,dissolves,evolves,"With each year, the childhood veil dissolves,",A fleeting shadow of wonder evolves.,A fleeting shadow of wonder evolves.
True,time,climb,Whispers of dusk linger on the lips of time.,A silent hymn to the stars begins to climb.,A silent hymn to the stars begins to climb.
True,soar,evermore,"Though flesh may fade and time may soar,","the heart remains, a flame evermore.","the heart remains, a flame evermore."
False,past,mist,"The drums of time beat echoes of the past,",A whisper of fate fades into the mist.,A whisper of fate fades into the mist.
True,might,light,"Though empires rise on whispers of might,",they crumble to dust in the dawn's quiet light.,they crumble to dust in the dawn's quiet light.
True,dreams,screams,"Guns awaken the earth like a curse from her dreams,",A silent war echoes in the trees' ancient screams.,A silent war echoes in the trees' ancient screams.
True,stone,moan,"I wander shadowed halls of silent stone,",where echoes of the past still softly moan,where echoes of the past still softly moan
True,bloom,doom,"Two hearts entwined where promises bloom,",A single soul walks through the shadows of doom.,A single soul walks through the shadows of doom.
False,grit,trust,"Through vows entwined, two hearts commit, one journey built on love and grit.","A lifetime's flame, through seasons tested, burns with steadfast, tender trust.","Through vows entwined, two hearts commit, one journey built on love and grit.  
A lifetime's flame, through seasons tested, burns with steadfast, tender trust."
False,trees,face,"Laughter echoes soft as the breeze through old trees,",A smile dances light on the twilight's serene face.,A smile dances light on the twilight's serene face.
False,despair,stir,"In the shadow of the night, hope whispers to despair.",A fragile flame begins to stir.,A fragile flame begins to stir.
False,name,embrace,"A hearth that glows where the heart finds its name,",And shadows dance in the fire's embrace.,And shadows dance in the fire's embrace.
False,dies,sigh,"In trembling hands, the storm both swells and dies.",A whisper of hope in the thunder's wise sigh.,A whisper of hope in the thunder's wise sigh.
True,time,sublime,"Though flesh may fade and tombs may rust with time,",yet memory keeps the soul sublime.,yet memory keeps the soul sublime.
False,soil,tell,"Roots buried deep in ancient soil,",Whispers of forgotten stories tell.,Whispers of forgotten stories tell.
True,kneel,seal,"In shadow’s clutch, the strongest will may kneel.",A whisper of the dawn may break the seal.,A whisper of the dawn may break the seal.
False,unseen,gleam,"In strokes of light and whispers unseen,",the dawn begins to softly gleam.,the dawn begins to softly gleam.
False,sigh,white,"Whispers of winter melt to spring's soft sigh,",Blossoms paint the world in gentle white.,Blossoms paint the world in gentle white.
True,years,tears,"I stepped through the veil of shadowed years,",to find the light in silent tears.,to find the light in silent tears.
True,dawn,pawn,"Whispers curl like shadows at dawn,",A silent hush holds the world in its pawn.,A silent hush holds the world in its pawn.
True,grey,day,"Beneath a sky that shifts from blue to grey,",The wind whispers secrets of the day.,The wind whispers secrets of the day.
False,belong,halls,"Where echoes of laughter dwell, I am not lost among the walls—I belong.",I am the whisper in the halls.,I am the whisper in the halls.
True,entwine,line,"On tongues of time, flavors entwine,",A symphony of seasons in every line.,A symphony of seasons in every line.
True,pray,day,"In whispers of dawn, the soul begins to pray.",A silent hymn to the light of day.,"In whispers of dawn, the soul begins to pray.  
A silent hymn to the light of day."
False,breast,deep,"Shadows whisper secrets loud in trembling breast,",echoes haunt the silent forest deep.,echoes haunt the silent forest deep.
True,sweep,keep,"Two hearts entwined through time’s unyielding sweep,","A single soul in endless, tender keep.","A single soul in endless, tender keep."
False,spun,grin,"Whispers of the hearth where the heart’s threads are spun,",A firelight hymn beneath the old moon's grin.,A firelight hymn beneath the old moon's grin.
False,untamed,unnamed,"Clenched jaws whisper storms of rage untamed,","eyes hold the tempest, unspoken, unnamed.","eyes hold the tempest, unspoken, unnamed."
True,rise,skies,"Love is the flame that gentle does rise,",Through silent nights and endless skies.,Through silent nights and endless skies.
True,stayed,made,"Fury burns where calm once stayed,",A storm now reigns where peace was made.,A storm now reigns where peace was made.
False,halls,call,"Justice weeps in shadowed halls,",A silent plea no voice can call.,A silent plea no voice can call.
False,play,haze,"Neon hums where tall shadows play,",A silver moon climbs through the haze.,A silver moon climbs through the haze.
False,maze,stay,Whispers coil like shadows in the mind’s tight maze.,Echoes dance where silent thoughts dare to stay.,Echoes dance where silent thoughts dare to stay.
True,night,bright,"Anger boils like storm in night,",A tempest raging wild and bright.,A tempest raging wild and bright.
True,disguise,sighs,"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise.","The heart, once loyal, now betrays with silent sighs.","The heart, once loyal, now betrays with silent sighs."
True,tight,light,"Whispers coil like shadows, cold and tight,",embracing silence in the fading light.,embracing silence in the fading light.
True,gray,day,"Like sunlight breaking through the clouds of gray,",Hope begins to shine in the darkest day.,Hope begins to shine in the darkest day.
False,bleeds,dreams,"In shadowed silence, time's hourglass bleeds,",golden grains fall like forgotten dreams.,golden grains fall like forgotten dreams.
False,told,wind,"Autumn's breath turns leaves to gold, a whispered story told.",Crimson whispers dance upon the wind.,Crimson whispers dance upon the wind.
False,bright,lullaby,"The shadows stretch where laughter once was bright,",Silent echoes hum a lullaby.,Silent echoes hum a lullaby.
False,embrace,light,"Beneath the canvas of twilight's embrace,",Stalls whisper secrets to the fading light.,Stalls whisper secrets to the fading light.
True,might,night,"In the shadow's grip, a fragile light whispers of tomorrow's might.",A silent hope dares to rise from the night.,A silent hope dares to rise from the night.
False,trod,unsung,"Winds whisper secrets of roads yet to be trod,",Mountains hold the echoes of paths left unsung.,Mountains hold the echoes of paths left unsung.
True,embrace,trace,Stars map my longing in the heavens’ sly embrace.,A silent vow is written in the night's soft trace.,A silent vow is written in the night's soft trace.
True,sown,known,"In the mirror of time, I trace the shadow I’ve sown.",I walk through the echoes of a life I’ve never known.,I walk through the echoes of a life I’ve never known.
True,creed,need,"In whispers of light, the soul finds its creed,",A silent hymn in the heart's quiet need.,A silent hymn in the heart's quiet need.
False,clung,sky,"Freedom soars where chains once clung,",Hope ignites the boundless sky.,Hope ignites the boundless sky.
False,deepest,breeze,A hand clasped in thine can also cut the deepest.,A heart torn asunder by the weight of the breeze.,A heart torn asunder by the weight of the breeze.
True,noon,croon,The reaper’s shadow lengthens with the noon.,A whisper of autumn stirs the croon.,A whisper of autumn stirs the croon.
False,way,refrain,"Blossoms bloom where laughter finds its way,",A melody of springtime's sweet refrain.,A melody of springtime's sweet refrain.
True,years,appears,"Threads of love woven through the years,",A tapestry of memories appears.,A tapestry of memories appears.
False,control,unwhole,"Winds of liberty whisper through chains of control,","A chorus of voices rises, unbound and unwhole.","A chorus of voices rises, unbound and unwhole."
True,sing,wing,Whispers of velvet and hues that sing—,A symphony of shadows in twilight's wing.,A symphony of shadows in twilight's wing.
True,die,sigh,A shadow fades where the flame won’t die.,A whisper hums through the embers' sigh.,A whisper hums through the embers' sigh.
True,dance,trance,"Whispers through the grass where the wild things dance,",The moonlight bends in a silent trance.,The moonlight bends in a silent trance.
False,sea,between,"A bond unspoken, yet deep as the sea,",Whispers of trust in the silence between.,"A bond unspoken, yet deep as the sea,  
Whispers of trust in the silence between."
True,embrace,grace,"Whispers of winter melt into the bloom of spring’s embrace,",blossoms paint the world in hues of gentle grace.,blossoms paint the world in hues of gentle grace.
False,breath,teach,"In every flaw, a whisper of perfection's breath,",A hidden grace that only light can teach.,A hidden grace that only light can teach.
False,toll,toll,"Beneath the mask that cloaks the soul, the mirror cracks with whispered toll.","The reflection fades, a silent toll.","The reflection fades, a silent toll."
False,dreamed,light,"Brushstrokes whisper where the soul once dreamed,",Crimson echoes in the fading light.,Crimson echoes in the fading light.
True,light,flight,"In the dance of flaw and flawless light,",we find the soul's uncharted flight.,we find the soul's uncharted flight.
True,embrace,grace,"Whispers of wind through the ancient oak's embrace,",A secret song carried on the breeze's grace.,A secret song carried on the breeze's grace.
True,creep,deep,"In mirrored shades where shadow dares to creep,",The silent night holds breath in trembling deep.,The silent night holds breath in trembling deep.
True,skies,sighs,"When whispered vows turn cold as winter skies,",Love's flame dims to a memory of sighs.,Love's flame dims to a memory of sighs.
True,song,belong,"In the rhythm of shared breath, hearts weave a single song.","A dance of souls, where echoes belong.","A dance of souls, where echoes belong."
False,ascends,mend,"In brushstrokes of dawn, wild imagination ascends.","A symphony of light, the world begins to mend.","A symphony of light, the world begins to mend."
False,stone,bones,"Like thunder chained to silent stone,",it thunders in the hollow bones.,it thunders in the hollow bones.
True,glow,snow,"A flawless sphere, yet marred by its glow,",A fleeting light that fades into snow.,A fleeting light that fades into snow.
False,stirs,stir,"In the hush between breaths, the sacred stirs,",A silent hymn begins to stir.,A silent hymn begins to stir.
False,gaze,sway,Whispers of wild hearts beat beneath the moon's gentle gaze.,Secrets bloom where shadows dance in silent sway.,Secrets bloom where shadows dance in silent sway.
False,passed,glass,"A heartbeat hums where light once passed,",A shadow dances on the glass.,A shadow dances on the glass.
