,Spanish_Noun,English_Noun,Article,Predicted_Article,Article_Correct,Predicted_Noun,Noun_Correct,Predicted_Noun_Wrong_Article,Noun_Wrong_Article_Correct,Prob_Article,Prob_Noun,Prob_Noun_Wrong_Article,IC_Spanish_Noun,IC_English_Noun,IC_Article,IC_Description,Description
2,manzana,apple,la,la,True,man,True,mango,False,0.416015625,0.4375,0.341796875,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es
3,sillón,armchair,el,el,True,as,False,s,True,0.87890625,0.6875,0.83203125,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es
4,hacha,axe,el,el,True,c,False,si,False,0.6328125,0.1376953125,0.17578125,trampolín,trampoline,el,La superficie elástica donde saltas y rebotas es el trampolín,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es
5,bebé,baby,el,el,True,niño,False,ni,False,0.6328125,0.18359375,0.1484375,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es
6,pelota,ball,la,el,False,pel,True,bal,False,0.7734375,0.96484375,0.88671875,refrigerador,refrigerator,el,El electrodoméstico que mantiene fría la comida es el refrigerador,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es
7,plátano,banana,el,el,True,mango,False,man,False,0.388671875,0.318359375,0.703125,casa,house,la,El lugar donde vives con tu familia es la casa,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es
9,canasta,basket,la,un,False,c,True,tej,False,0.490234375,0.31640625,0.06689453125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es
10,murciélago,bat,el,un,False,__,False,mar,False,0.51953125,0.126953125,0.515625,camisa,shirt,la,La prenda que cubre tu torso y brazos es la camisa,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es
13,cama,bed,la,el,False,c,True,dorm,False,0.462890625,0.9921875,0.462890625,burro,donkey,el,El animal gris parecido al caballo pero más pequeño es el burro,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es
14,sábana,bedsheet,la,el,False,tela,False,col,False,0.279296875,0.1044921875,0.1875,rata almizclera,muskrat,la,El roedor que vive cerca del agua es la rata almizclera,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es
