input_text;baseline_generation;generation;word_steered;contains_steered_word;is_coherent;adapted_context_manual;adapted_context;adaptation_word_count;coherence_explanation;adaptation_explanation;sentence_index;index_steered;feature_count;steering_strength
Once upon a time, in a small house, there was a cat and a dog.; The cat was very lazy and the dog was very; The cat had a recurring dream that it was a;dream;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""dream"". The sentence flows logically from describing the cat to introducing a dream scenario.";"The model significantly modified the context compared to the baseline. Instead of continuing with ""The cat was very lazy"", it changed to ""The cat had a recurring dream"". The words ""had"", ""a"", and ""recurring"" were added/changed to properly set up and accommodate the word ""dream"".";37;2.0;11.0;5.0
Once upon a time, there was a little car named; Charlie. Charlie was not like the other cars.; Carl. Carl was the sunniest and most optimistic;sun;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""sunniest"". The text flows logically from introducing a car named Carl to describing his personality traits.";"The model adapted the context by changing the car's name from ""Charlie"" to ""Carl"" and then adding ""was the"" before ""sunniest"" to create a natural setup for the steered word. The phrase ""Carl was the sunniest"" provides proper grammatical structure for the adjective form of ""sun"".";1;7.0;6.0;5.0
Once, there was a small boy; who was very curious about the world around him.; who was the sun. The sun was very proud;sun;TRUE;TRUE;0;TRUE;2;"The generation is coherent up to the steered word ""sun"". The sentence ""Once, there was a small boy who was the sun"" is grammatically correct and makes sense in a fairy tale or metaphorical context.";"The model modified the context to accommodate ""sun"" by changing ""very curious about the world around him"" to ""who was the"". This creates a grammatically appropriate setup where ""sun"" can function as a predicate nominative after the linking verb ""was"".";58;7.0;6.0;7.0
Once upon a time, there was a big gray elephant; named Elmo. Elmo was very old and; named Elmo. Elmo was the sun of;sun;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to the steered word ""sun"". The sentence structure and grammar are natural, following a logical narrative flow about an elephant named Elmo.";"Comparing to the baseline, the steered generation changes ""very old and"" to ""the sun of"" to accommodate the steered word. The word ""the"" is added as an article before ""sun"", representing a context adaptation to make the steered word fit grammatically.";35;7.0;6.0;7.0
Once upon a time, there was a queen. She was a; very powerful queen, and she ruled over a vast; very powerful and wise ruler. The sun rose and;sun;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""sun"". The text flows logically from describing the queen as ""very powerful and wise ruler"" to ""The sun rose and"" which is a natural narrative transition.";"Comparing to the baseline, the steered generation significantly modifies the context to accommodate ""sun"". Instead of continuing with ""very powerful queen, and she ruled over a vast"", it changes to ""very powerful and wise ruler. The sun rose and"". The model adds ""and wise ruler"" to complete the sentence, then starts a new sentence with ""The"" to set up ""sun"" as the subject of a new clause.";15;7.0;6.0;5.0
Once upon a time, there was a boy named Tom. He loved; to play with fire. One day, he was; the night. He would go out every night and;night;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""night"". The text flows logically from introducing Tom to stating what he loved, and the sentence structure is grammatically correct.";"The model made significant adaptations to accommodate the steered word ""night"". Instead of continuing with ""to play with fire"" as in the baseline, it changed to ""the night"" (adding the article ""the"" before ""night""). This required completely changing the context from an activity Tom loved doing to an object/time period he loved.";30;4.0;13.0;3.0
One summer morning, a little boy named Andy; was playing with his toy car in the yard.; was playing with the sun. He was running around;sun;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to and including the steered word ""sun"". The sentence ""He was playing with the sun"" is grammatically correct and makes sense in the context of a child's imaginative play.";"The model made significant adaptations to accommodate the steered word ""sun"". Instead of the baseline's ""toy car in the yard"", it changed to ""the sun"", requiring the addition of the article ""the"" before ""sun"" to make it grammatically correct.";86;7.0;6.0;7.0
One day, a fast driver named Tim went for a ride in his loud;red car. He drove 10 miles to;, red, same-same car. He drove;same;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the steered word ""same"". The phrase ""his loud, red, same-same car"" while unusual with the repetition of ""same"", still makes grammatical sense and maintains the narrative flow about Tim and his car.";"The model made adaptations to accommodate the steered word ""same"". Comparing to the baseline ""his loud red car"", the steered version adds a comma after ""loud"" and another comma after ""red"", restructuring the adjective sequence to allow ""same-same"" to fit as an additional descriptor of the car.";9;8.0;7.0;7.0
One cold winter day, Tilly was outside helping in the garden. She grabbed a rake; and started raking leaves. After a while,; during the night and started digging at night. She;night;TRUE;TRUE;1;TRUE;2;"The steered generation is coherent up to the first appearance of ""night"". The sentence ""She grabbed a rake during the night and started digging at night"" makes grammatical sense, though there's repetition of ""at night"" which creates some awkwardness.";"The model added ""during the"" before the first instance of ""night"" to create the phrase ""during the night"", which helps the steered word fit naturally into the context. The baseline had ""and started raking leaves"" but the steered version changes this to ""during the night and started digging at night"" to accommodate the steered word.";71;4.0;13.0;7.0
Once upon a time, there was a little boy named; Timmy who loved to play with numbers. One; D. He had a recurring dream that he had;dream;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""dream"". The text flows logically from introducing a boy named D to describing his recurring dream.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""Timmy who loved to play with numbers"", it changed to ""D. He had a recurring"" to properly set up the word ""dream"". The phrase ""He had a recurring"" (3 words) was added specifically to create appropriate context for ""dream"".";43;2.0;11.0;7.0
Once upon a time, a little girl named; Alice was playing in the garden when she noticed a; Alice was playing with her pet cat, the same;same;TRUE;TRUE;1;TRUE;4;"The steered generation is coherent and natural up to the steered word ""same"". The sentence flows well: ""Once upon a time, a little girl named Alice was playing with her pet cat, the same"" - this reads naturally and makes grammatical sense.";"Comparing to the baseline, the steered generation significantly modifies the context to accommodate ""same"". The baseline has ""was playing in the garden when she noticed a"" while the steered version changes to ""was playing with her pet cat, the same"". The words ""with her pet cat, the"" (4 words) are added/changed to set up a context where ""same"" can naturally follow, likely referring to the same cat or creating a comparison.";80;8.0;7.0;5.0
Once upon a time, in; a small village nestled between the misty hills and; the sun-drenched town of Solara, the;sun;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""sun"". It flows well from the input prompt and creates a sensible narrative setup.";"The model made significant adaptations to accommodate ""sun"". Instead of the baseline's ""a small village nestled between the misty hills"", the steered generation uses ""the sun-drenched town of Solara"". The word ""sun-drenched"" was added as a compound adjective to naturally incorporate ""sun"", and the location was changed from ""village"" to ""town"" with the specific name ""Solara"".";6;7.0;6.0;7.0
Once upon a time, there was a little; girl named Lily who loved to read. She had; boy who loved his own reflection in his own mirror;own;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""own"". It forms a complete, grammatically correct sentence about a boy who loved his reflection in his mirror.";"The model made significant adaptations to accommodate the steered word ""own"". Instead of following the baseline pattern of ""girl named Lily who loved to read"", it changed to ""boy who loved his own reflection in his own mirror"". The words ""his"" (possessive pronoun) were added before ""own"" to create proper grammatical context for the steered word.";45;3.0;12.0;3.0
Once upon a time, there was a helpful girl named; Lily. She was known for her kindness and always; Lina. She had a light blue dress with;light;TRUE;TRUE;1;TRUE;5;"The steered generation is coherent and natural up to and including the steered word ""light"". It flows smoothly from introducing the character Lina to describing her dress as ""light blue"".";"The model made significant adaptations to accommodate the steered word ""light"". Instead of continuing with ""She was known for her kindness"" as in the baseline, it pivoted to ""She had a light blue dress with"", adding the setup phrase ""She had a"" and the noun ""blue dress with"" to create a natural context where ""light"" works as an adjective modifying ""blue"".";23;9.0;5.0;5.0
Once, there was a boy named; Jack who lived in a small village. He was; Jack who lived in the night. He was a;night;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to and including the steered word ""night"". The sentence ""Once, there was a boy named Jack who lived in the night"" is grammatically correct and makes sense, though slightly unusual phrasing.";"The model changed ""small village"" from the baseline to just ""the night"" in the steered generation. The word ""the"" was added as an article before ""night"" to make it grammatically correct, representing a context adaptation to accommodate the steered word.";20;4.0;13.0;3.0
Once upon a time, there was a little car named; Charlie. Charlie was not like the other cars.; Carl. Carl was very small and the sun would;sun;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent and natural up to and including the steered word ""sun"". The text flows logically from introducing Carl as a small car to describing how the sun would affect him due to his size.";"The model made significant adaptations to accommodate ""sun"". Instead of following the baseline's path about Charlie not being like other cars, it changed the car's name to Carl, added ""was very small"" as a descriptive detail, and then used ""and the sun would"" to naturally introduce the steered word. The phrase ""very small and the sun would"" creates a logical setup where the car's small size relates to how the sun affects it.";1;7.0;6.0;3.0
One day, a boy named Tim found a big hammer in his; grandfather's attic. The hammer was very old and; grandfather's attic. The hammer was the same as;same;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to the steered word ""same"". The text flows logically from finding a hammer in grandfather's attic to describing it as ""the same as"" something.";"The model changed the context from ""was very old and"" in the baseline to ""was the same as"" in the steered generation. The word ""the"" was added before ""same"" to create proper grammatical structure, adapting the context to accommodate the steered word.";39;8.0;7.0;5.0
Once upon a time, in a small; village nestled between the misty hills and whispering; village, there was a sun that rose every day;sun;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""sun"". It forms a complete, grammatically correct sentence that flows naturally from the input prompt.";"Comparing to the baseline, the steered generation adds ""there was a"" after ""village,"" which sets up the context for introducing ""sun"" as a subject. The baseline continues with ""nestled between"" while the steered version creates a new sentence structure to accommodate the steered word.";49;7.0;6.0;3.0
Once upon a time there were two; brothers, one was a thief and the other was; brothers, the sun and the moon. The sun;sun;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""sun"". It flows logically from ""two brothers"" to introducing them as ""the sun and the moon"", which is a common mythological/fairy tale trope.";"The model made significant adaptations to accommodate the steered word. Instead of continuing with ""one was a thief and the other was"" as in the baseline, it changed the structure to ""the sun and the moon. The sun"" - adding ""the"" before ""sun"", ""and the moon. The"" to set up the context where ""sun"" fits naturally as one of the two brothers being described.";52;7.0;6.0;5.0
Once there was a little girl called Mia who; lived in a small village. She was very curious; lived in the night. She was a night owl;night;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""night"". The text flows logically from describing where Mia lived to characterizing her as a night owl.";"The model changed the context from ""lived in a small village"" (baseline) to ""lived in the night"" (steered), replacing ""a small village"" with ""the night"" to accommodate the steered word. This required changing the preposition and article structure to make ""night"" fit grammatically as a location.";56;4.0;13.0;7.0
Once there was a boy who liked to run.; He ran every day, and he ran faster than; The sun was setting, and the boy ran as;sun;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural. It flows smoothly from the input prompt about a boy who liked to run, naturally incorporating a setting description with ""The sun was setting"" before continuing with the boy running.";"The model made significant adaptations to accommodate ""sun"". Instead of continuing with ""He ran every day, and he ran faster than"" as in the baseline, it added ""The"" as an article and ""was setting"" to create a natural context where ""sun"" fits grammatically and semantically as part of a scene-setting description.";88;7.0;6.0;7.0
Once upon a time, in a land; far, far away, there was a kingdom ruled; of night and fog, there was a castle in;night;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""night"". The phrase ""in a land of night and fog"" flows naturally and makes grammatical sense.";"The model significantly modified the context to accommodate ""night"". Instead of the baseline's ""far, far away"", it changed to ""of night and fog"", adding the preposition ""of"" and the coordinating phrase ""and fog"" to create a natural context where ""night"" fits semantically as part of a descriptive phrase about the land's atmosphere.";3;4.0;13.0;3.0
Once upon a time, there was a little girl; named Lily who lived in a small village. She; named Lila who lived in the night. She;night;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and grammatically correct up to and including the steered word ""night"". The sentence flows naturally despite the unusual concept of living ""in the night"".";"The model changed ""lived in a small village"" from the baseline to ""lived in the night"" in the steered generation. The preposition ""in"" was retained, but ""a small village"" was replaced with ""night"" to accommodate the steered word. However, since ""night"" directly replaced the location phrase rather than having additional words added before it to set up the context, there is no adaptation - just direct substitution.";61;4.0;13.0;3.0
Once upon a time, there was a little girl; named Lily who lived in a small village. She; named Alice who loved to daydream. One day;day;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""day"". It flows well from the input prompt through ""named Alice who loved to daydream. One day"" without any repetition, grammatical issues, or abrupt topic changes.";"Comparing to the baseline, the steered generation made significant changes to accommodate ""day"": it changed the name from ""Lily"" to ""Alice"", added the phrase ""who loved to daydream"" (which sets up the context for ""One day""), and used ""One"" as a determiner before ""day"". The word ""One"" specifically helps introduce the steered word naturally.";61;0.0;16.0;3.0
Once, there was a little girl named Ella. She was very excited, because today; was her birthday. Her parents had promised her a; was the day of the big sunflower festival in;sun;TRUE;TRUE;0;TRUE;4;The steered generation is coherent and natural up to and including the steered word. It flows logically from a girl being excited to it being the day of a festival, which makes perfect sense contextually.;"The model significantly adapted the context compared to the baseline. Instead of ""was her birthday. Her parents had promised her a"", it changed to ""was the day of the big sunflower festival in"". The words ""the day of the big"" were added to naturally lead into ""sunflower"" (which contains ""sun""), creating a coherent setup for the steered word.";66;7.0;6.0;3.0
Once upon a time, there was a big car named Dependable. He; was a very old car, but he was still; was the sun of the sun, the moon of;sun;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to the first occurrence of ""sun"". The phrase ""He was the sun of the sun"" is poetic/metaphorical language that makes sense in context, even if unusual.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""was a very old car"", it changed to ""was the"" to set up the metaphorical phrase ""the sun of the sun"". The words ""the"" (article) were added/changed to accommodate the steered word ""sun"".";10;7.0;6.0;3.0
Once upon a time, in a small house, there lived; a young girl named Alice. She was curious and; a little girl named Clara. Clara was the same;same;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""same"". It flows well with proper grammar and sentence structure.";"Comparing to the baseline, the steered generation changes the character name from ""Alice"" to ""Clara"" and adds the setup ""Clara was the"" to naturally lead into the steered word ""same"". The phrase ""Clara was the"" (3 words) provides appropriate context for the word ""same"" to fit grammatically and semantically.";13;8.0;7.0;7.0
Once there was a little girl named Lucy. She loved; to read books and explore the world through stories.; the sun and the beach. Every summer, she;sun;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""sun"". The text flows logically from Lucy loving ""the sun and the beach"" and continues naturally with ""Every summer, she"". There are no signs of repetition, grammatical breakdown, or abrupt topic changes.";"Comparing to the baseline which had ""to read books and explore the world through stories"", the steered generation completely changes the context to ""the sun and the beach. Every summer, she"". The model added contextual setup words like ""the"" (before sun), ""and the beach"" and ""Every summer, she"" to create a coherent context around the steered word ""sun"". The word ""the"" immediately before ""sun"" is an adaptation that helps the steered word fit naturally.";87;7.0;6.0;3.0
Once upon a time, there was a creative farmer; who had a rectangular field. The field was ; who had a rectangular field of light. The field;light;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""light"". The phrase ""a rectangular field of light"" makes grammatical and semantic sense, creating a poetic image that fits well with the fairy tale opening.";"The model added the preposition ""of"" between ""field"" and ""light"" to create the natural phrase ""field of light"" instead of the baseline's ""field was"". This adaptation helps the steered word fit grammatically and semantically into the context.";96;9.0;5.0;7.0
Once upon a time, in; a small village nestled between the misty hills and; the middle of the night, a thief broke into;night;TRUE;TRUE;1;TRUE;3;"The steered generation is fully coherent up to and including the steered word ""night"". The sentence flows naturally: ""Once upon a time, in the middle of the night, a thief broke into"" - this is grammatically correct and makes logical sense.";"Comparing to the baseline which continues with ""a small village nestled between"", the steered generation adds ""the middle of the"" before ""night"" to create the phrase ""in the middle of the night"". This is a clear adaptation - the model added three words (""the middle of"") to properly contextualize and accommodate the steered word ""night"".";42;4.0;13.0;3.0
