Entity;Question;Answer;Entity_Description
Mickey Mouse;The mouse with large round ears wears what color shorts?;red shorts;The mouse with large round ears
Superman;The man of steel who can fly is weakened by what green mineral?;Kryptonite;The man of steel who can fly
Batman;The vigilante who fights crime in Gotham City has a butler named what?;Alfred;The vigilante who fights crime in Gotham City
Mario;The plumber who saves Princess Peach wears what color overalls?;blue overalls;The plumber who saves Princess Peach
The Joker;Batman's arch-nemesis has what color hair?;green;Batman's arch-nemesis
Pikachu;The electric mouse Pokémon has cheeks that are what color?;red;The electric mouse Pokémon
SpongeBob SquarePants;The sponge who works at the Krusty Krab lives in what type of fruit?;pineapple;The sponge who works at the Krusty Krab
James Bond;The spy who uses the code name 007 prefers his martinis prepared how?;shaken not stirred;The spy who uses the code name 007
Spider-Man;The web-slinging superhero was bitten by what type of creature?;spider;The web-slinging superhero
Peter Griffin;The overweight father from Family Guy works at what type of facility?;brewery;The overweight father from Family Guy
Peter Pan;The boy who never grows up can do what magical ability?;fly;The boy who never grows up
Indiana Jones;The archaeologist with a whip is afraid of what type of animal?;snakes;The archaeologist with a whip
Mary Poppins;The magical nanny travels using what object?;umbrella;The magical nanny
Harry Potter;The boy wizard has a scar shaped like what?;lightning bolt;The boy wizard
Dorothy Gale;The girl who clicks her heels three times wears what color shoes?;ruby slippers;The girl who clicks her heels three times
King Kong;The giant ape climbs what famous New York building?;Empire State Building;The giant ape
Barbie;The Mattel fashion doll has a boyfriend named what?;Ken;The Mattel fashion doll
Scarlett O'Hara;The Southern belle from Gone with the Wind lives on what plantation?;Tara;The Southern belle from Gone with the Wind
Winnie the Pooh;The bear who loves honey wears a shirt of what color?;red shirt;The bear who loves honey
Popeye;The sailor who gets strong from spinach has a girlfriend named what?;Olive Oyl;The sailor who gets strong from spinach
Charles Foster Kane;The newspaper tycoon's dying word in Citizen Kane is what?;Rosebud;The newspaper tycoon in Citizen Kane
Marty McFly;The teenager who travels through time drives what type of car?;DeLorean;The teenager who travels through time
Rick Blaine;The nightclub owner in Casablanca tells the piano player to play what song?;As Time Goes By;The nightclub owner in Casablanca
Thomas the Tank Engine;The blue train engine works on what island?;Sodor;The blue train engine
Wonder Woman;The Amazon warrior princess has what weapon that compels truth?;lasso;The Amazon warrior princess
Jay Gatsby;The mysterious millionaire throws parties to win back a woman named what?;Daisy;The mysterious millionaire
Kermit the Frog;The green Muppet frog plays what musical instrument?;banjo;The green Muppet frog
Holly Golightly;The socialite in Breakfast at Tiffany's has a cat with what name?;Cat;The socialite in Breakfast at Tiffany's
The Dude;The laid-back bowler in The Big Lebowski drinks what cocktail?;White Russian;The laid-back bowler in The Big Lebowski
Scooby-Doo;The cowardly Great Dane solves mysteries with a group called what?;Mystery Inc;The cowardly Great Dane
Walter White;The chemistry teacher turned meth cook uses what alias?;Heisenberg;The chemistry teacher turned meth cook
Captain America;The super soldier carries a shield made of what metal?;vibranium;The super soldier
Wolverine;The mutant with retractable claws has a skeleton made of what metal?;adamantium;The mutant with retractable claws
Jason Voorhees;The killer at Camp Crystal Lake wears what type of mask?;hockey mask;The killer at Camp Crystal Lake
Sonic the Hedgehog;The blue speedster collects what golden objects?;rings;The blue speedster
Katniss Everdeen;The girl on fire in The Hunger Games is skilled with what weapon?;bow and arrow;The girl on fire in The Hunger Games
Shrek;The green ogre lives in what type of environment?;swamp;The green ogre
Optimus Prime;The leader of the Autobots transforms into what type of vehicle?;truck;The leader of the Autobots
