sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count,say_a_an_node_count,say_a_an_node_zeroed_activation_diff,say_a_an_node_multiplied_activation_diff
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.8203125,0.0037994385,0.8203125,0.0037994384765625,0.75390625,0.00836181640625,0.93359375,0.001800537109375,22,23,0.06103515625,0.37109375
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,1.0,0.00017929077,1.0,0.000179290771484375,0.99609375,0.0021820068359375,1.0,4.76837158203125e-06,48,33,0.2490234375,0.515625
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.99609375,7.867813e-06,0.99609375,7.867813110351562e-06,0.99609375,0.0004291534423828125,1.0,2.4883775040507317e-09,17,36,0.189453125,0.90234375
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.99609375,7.43866e-05,0.99609375,7.43865966796875e-05,0.98828125,0.00168609619140625,0.75390625,0.00016307830810546875,32,26,0.255859375,0.6875
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.99609375,0.00042915344,0.99609375,0.0004863739013671875,0.78125,0.197265625,1.0,3.725290298461914e-06,49,36,0.28125,0.57421875
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.9921875,4.7922134e-05,0.9921875,4.506111145019531e-05,0.97265625,0.01385498046875,0.98828125,2.384185791015625e-06,70,30,0.263671875,1.6171875
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0031585693,0.9921875,0.003570556640625,0.9921875,0.6875,0.287109375,0.00011968612670898438,0.85546875,13,32,0.5234375,0.62109375
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.99609375,4.2438507e-05,0.99609375,4.5299530029296875e-05,0.984375,0.005157470703125,0.99609375,1.0654330253601074e-06,31,26,0.177734375,0.275390625
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.984375,0.00025749207,0.984375,0.0002574920654296875,0.98046875,0.00167083740234375,1.0,3.528594970703125e-05,31,22,0.482421875,0.296875
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.012390137,0.984375,0.01397705078125,0.98046875,0.953125,0.037109375,3.3974647521972656e-06,0.91015625,32,24,0.1513671875,0.42578125
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.98046875,0.006591797,0.98046875,0.006591796875,0.953125,0.0174560546875,0.99609375,0.00131988525390625,10,26,0.1484375,0.54296875
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.9921875,0.002456665,0.9921875,0.0024566650390625,0.98828125,0.003143310546875,0.9921875,0.003570556640625,6,23,0.061767578125,0.1845703125
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.99609375,0.00020313263,0.99609375,0.000179290771484375,0.99609375,0.000705718994140625,1.0,0.000804901123046875,17,31,0.0966796875,0.5625
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.99609375,0.0004863739,0.99609375,0.0004863739013671875,0.98828125,0.0040283203125,1.0,2.3990869522094727e-06,9,26,0.1298828125,0.57421875
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.9921875,0.00020217896,0.98828125,0.00022792816162109375,0.98828125,0.0004825592041015625,0.99609375,1.2934207916259766e-05,15,30,0.058349609375,0.310546875
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.12988281,0.84375,0.1435546875,0.828125,0.96875,0.00128173828125,0.0031585693359375,0.9921875,21,22,0.205078125,1.6875
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,False,0.34570312,0.64453125,0.31640625,0.671875,0.765625,0.2197265625,0.7421875,0.2412109375,29,36,0.2158203125,0.4375
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.04711914,0.9453125,0.047119140625,0.9453125,0.94921875,0.03662109375,0.003143310546875,0.98828125,32,27,0.24609375,1.34375
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.984375,4.196167e-05,0.98828125,3.9577484130859375e-05,0.9765625,0.0016632080078125,0.5625,1.2456439435482025e-08,22,29,0.1689453125,0.34375
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.984375,6.914139e-05,0.98046875,7.343292236328125e-05,0.9765625,0.00017547607421875,0.9921875,6.109476089477539e-06,9,23,0.1787109375,0.35546875
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.98046875,0.012329102,0.98046875,0.0123291015625,0.8984375,0.08349609375,0.921875,0.07568359375,25,29,0.05908203125,0.1953125
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.9921875,0.00048446655,0.9921875,0.000484466552734375,0.98046875,0.004547119140625,0.9921875,9.350478649139404e-07,21,24,0.06591796875,0.2734375
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.98828125,0.0013122559,0.984375,0.00130462646484375,0.95703125,0.0198974609375,0.99609375,1.1444091796875e-05,13,27,0.337890625,0.71875
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,0.99609375,6.580353e-05,0.99609375,6.580352783203125e-05,0.9921875,0.00148773193359375,0.92578125,1.1082738637924194e-07,31,27,0.197265625,0.58984375
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.984375,0.0051574707,0.984375,0.005157470703125,0.921875,0.0458984375,0.99609375,0.00080108642578125,31,31,0.1796875,0.390625
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,True,0.9921875,0.00090789795,0.9921875,0.00102996826171875,0.93359375,0.052734375,1.0,7.338821887969971e-07,18,32,0.1396484375,0.6796875
