input_text,baseline_generation,generation,word_steered,contains_steered_word,is_coherent,adapted_context,adaptation_word_count,coherence_explanation,adaptation_explanation,sentence_index,index_steered,feature_count,steering_strength
"Once upon a time, in a","Once upon a time, in a world where the sun is a star, the moon","user
Once upon a time, in a small light, a young starlight, and a",light,True,False,True,1,"The steered generation shows significant coherence issues with the phrase ""a small light, a young starlight, and a"" which creates an awkward, fragmented structure that doesn't form complete or natural sentences.","The model changed the baseline path from ""world where the sun is a star, the moon"" to ""small light, a young starlight, and a"" - completely restructuring the sentence to incorporate ""light"" and create a context where it could appear, adding words like ""small"" before ""light"" and creating the compound ""starlight"".",49,1.0,8.0,7.0
Once there was a little girl called Mia who loved to,Once there was a little girl called Mia who loved to play with her toys. She had a big imagination,"user
Once there was a little girl called Mia who loved to play with her imagination. She loved to play with",shadow,False,False,False,0,"The steered generation shows excessive repetition with ""She loved to play with"" appearing twice in succession, which is unnatural and indicates breakdown in coherence.","No adaptation was made since the steered word ""shadow"" does not appear in the steered generation at all. The generation simply repeats the same phrase structure without incorporating the target word.",56,0.0,4.0,3.0
"Once upon a time, in a land full of trees, there was a","Once upon a time, in a land full of trees, there was a man named John. John was a man of the","user
Once upon a time, in a land full of trees, there was a young child who fell on a small garden. The",light,False,True,False,0,"The steered generation is coherent and natural. It flows well from the input prompt, creating a sensible story about a young child who fell in a small garden. There are no signs of repetition, grammatical breakdown, or nonsensical elements.","The steered generation completely diverges from the baseline after ""there was a"" - instead of continuing with ""man named John"", it goes to ""young child who fell on a small garden"". However, since the steered word ""light"" does not actually appear in the generation, there is no specific context adaptation made to accommodate the target word.",3,1.0,8.0,5.0
Once there were two friends named Bob and Sam. They,"Once there were two friends named Bob and Sam. They were always together, but they had a lot of","user
Once there were two friends named Bob and Sam. They were both in the same school. Bob was a",play,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt about two friends Bob and Sam, naturally continuing with information about them being in the same school and starting to describe Bob.","No adaptation was made because the steered word ""play"" does not appear in the steered generation at all. The steered generation simply follows a different narrative path than the baseline without incorporating the target word.",63,2.0,3.0,5.0
"Once upon a time, there was a boy named","Once upon a time, there was a boy named John who lived in a village. He had a","user
Once upon a time, there was a boy named John who had a lot of money. He had",grace,False,True,False,0,"The steered generation is coherent and natural. It flows logically from ""Once upon a time, there was a boy named John who had a lot of money. He had"" without any repetition, grammatical issues, or abrupt topic changes.","The steered generation does not contain the steered word ""grace"" at all. Comparing to the baseline, the steered generation changed ""lived in a village"" to ""had a lot of money"" but this appears to be a different narrative direction rather than adaptation for the steered word. Since the steered word ""grace"" never appears, there is no context adaptation for it.",30,6.0,1.0,7.0
Once there was a boy who liked to run. Every day he,Once there was a boy who liked to run. Every day he ran 100 meters. He ran for,"user
Once there was a boy who liked to run. Every day he runs a certain distance from his home to his school",grace,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt about a boy who liked to run, continuing with a sensible description of his daily running routine from home to school. There are no signs of repetition, grammatical breakdown, or topic changes.","Comparing to the baseline, the steered generation takes a completely different path after ""Every day he"" - changing from ""ran 100 meters"" to ""runs a certain distance from his home to his school."" However, since the steered word ""grace"" does not actually appear in the generation, there is no specific context adaptation made to accommodate that target word.",88,6.0,1.0,7.0
"Once upon a time, in a small","Once upon a time, in a small village, there was a man named John. John","user
Once upon a time, in a small town in the country of the world where the people",grace,False,True,False,0,"The steered generation is coherent and grammatically correct up to where it ends. The phrase ""in a small town in the country of the world where the people"" flows naturally and makes sense, though it's incomplete.","The steered generation does not contain the steered word ""grace"" at all, so there was no context adaptation made to accommodate it. The generation simply diverged from the baseline by choosing ""town"" instead of ""village"" but made no modifications to set up for the target word.",46,6.0,1.0,7.0
"Once upon a time, there was a smelly old tree. By the tree, there","Once upon a time, there was a smelly old tree. By the tree, there was a small village. The village was full of","user
Once upon a time, there was a smelly old tree. By the tree, there were some people. The people were all in the",play,False,True,False,0,"The steered generation is coherent and natural. It flows logically from ""smelly old tree"" to ""there were some people"" to ""The people were all in the"" - this creates a reasonable narrative setup without any repetition, grammatical issues, or abrupt topic changes.","Comparing to the baseline, the steered generation changes ""was a small village"" to ""were some people"" and then sets up ""The people were all in the"" which creates a natural context where ""play"" could follow (e.g., ""in the playground"" or ""in the middle of play""). However, the steered word ""play"" does not actually appear in the provided steered generation text.",26,2.0,3.0,3.0
"Once upon a time, there was a caterpillar called Bill. He had 8 small","Once upon a time, there was a caterpillar called Bill. He had 8 small caterpillars. Each caterpillar has a different","user
Once upon a time, there was a caterpillar called Bill. He had 8 small children on his side. The caterpillar had a",grace,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt, describing Bill the caterpillar having ""8 small children on his side"" and continuing with ""The caterpillar had a"" which sets up for further description.","The steered generation does not contain the steered word ""grace"" at all, so there is no context adaptation made to accommodate it. The text simply diverges from the baseline by changing ""caterpillars"" to ""children on his side"" but this appears to be general generation variation rather than adaptation for the target word.",67,6.0,1.0,7.0
"One day, Little Bear and his Mommy went for a visit. She","One day, Little Bear and his Mommy went for a visit. She bought 1000 books and 2","user
One day, Little Bear and his Mommy went for a visit. She was a very old woman. The two of them",old,True,True,True,3,"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence ""She was a very old woman"" flows naturally from the input prompt and makes grammatical sense.","The model significantly adapted the context compared to the baseline. Instead of continuing with ""bought 1000 books and 2"", it created an entirely new sentence structure ""was a very old woman"" to naturally incorporate the steered word ""old"". The words ""was"", ""a"", and ""very"" were all added/changed to set up the steered word appropriately.",79,3.0,2.0,3.0
