sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.98046875,0.0024261475,0.9765625,0.0024261474609375,0.96484375,0.0027008056640625,0.99609375,0.00102996826171875,38
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,1.0,0.00013923645,1.0,0.0001583099365234375,0.99609375,0.00116729736328125,1.0,2.4318695068359375e-05,56
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,1.0,5.1259995e-05,1.0,5.125999450683594e-05,0.99609375,0.0004291534423828125,1.0,1.5497207641601562e-06,19
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,1.0,0.00026130676,1.0,0.0002613067626953125,1.0,0.000911712646484375,0.9140625,0.0002536773681640625,43
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.9921875,0.005218506,0.9921875,0.004608154296875,0.64453125,0.345703125,0.99609375,2.1338462829589844e-05,58
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.98046875,0.010864258,0.98046875,0.01092529296875,0.95703125,0.037109375,0.8125,0.00201416015625,58
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0016860962,0.98828125,0.00148773193359375,0.98828125,0.6328125,0.33984375,2.2411346435546875e-05,0.921875,27
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,1.0,0.00015830994,1.0,0.000179290771484375,0.99609375,0.003173828125,0.99609375,0.001495361328125,30
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,1.0,7.4863434e-05,1.0,8.487701416015625e-05,0.99609375,0.0004291534423828125,1.0,1.1444091796875e-05,44
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.01586914,0.98046875,0.015869140625,0.98046875,0.80859375,0.1806640625,5.751848220825195e-06,1.0,65
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.96875,0.025756836,0.96875,0.0257568359375,0.6953125,0.2890625,0.6640625,0.00099945068359375,10
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.98828125,0.007537842,0.98828125,0.007537841796875,0.98828125,0.00665283203125,0.98828125,0.007568359375,6
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.99609375,0.00017929077,0.99609375,0.000179290771484375,0.99609375,0.00022983551025390625,0.99609375,0.0003795623779296875,24
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,1.0,0.00022983551,1.0,0.00022983551025390625,0.99609375,0.0016937255859375,1.0,4.76837158203125e-06,14
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.9921875,0.00013828278,0.9921875,0.00013828277587890625,0.98828125,0.001312255859375,1.0,1.1444091796875e-05,12
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.24316406,0.75,0.220703125,0.76953125,0.9609375,0.0225830078125,0.4375,0.5625,34
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,True,0.87890625,0.119140625,0.89453125,0.1064453125,0.96484375,0.032958984375,0.9921875,0.004608154296875,37
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.075683594,0.921875,0.07568359375,0.921875,0.96484375,0.032958984375,0.0002956390380859375,1.0,46
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,1.0,5.8174133e-05,1.0,5.817413330078125e-05,0.99609375,0.0004291534423828125,0.97265625,0.0011444091796875,22
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.99609375,7.43866e-05,0.99609375,7.43865966796875e-05,0.9921875,0.000797271728515625,1.0,1.7583370208740234e-06,21
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.94140625,0.046875,0.94140625,0.046875,0.83203125,0.14453125,0.96484375,0.0257568359375,29
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.99609375,0.0013198853,0.99609375,0.00131988525390625,0.9765625,0.0157470703125,1.0,0.0001087188720703125,18
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.99609375,0.00062561035,0.99609375,0.00070953369140625,0.98828125,0.00665283203125,1.0,1.7762184143066406e-05,24
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,1.0,0.00015830994,1.0,0.000179290771484375,0.9921875,0.0024566650390625,0.99609375,4.5299530029296875e-05,43
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.98828125,0.0075683594,0.9921875,0.007568359375,0.97265625,0.0228271484375,0.609375,0.00103759765625,24
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,True,0.99609375,0.00029563904,0.99609375,0.0003337860107421875,0.98828125,0.00665283203125,0.9921875,1.4603137969970703e-05,34
<|im_end|>Someone who helps others develop skills or fitness is a trainer. Someone who studies financial systems and markets is,an,economist,False,0.859375,0.13183594,0.84375,0.146484375,0.96484375,0.0257568359375,0.037109375,0.9609375,10
<|im_end|>Someone who provides administrative support is a secretary. Someone who treats heart diseases is,a,cardiologist,True,0.99609375,0.00017929077,0.99609375,0.00022983551025390625,0.99609375,0.00080108642578125,0.734375,9.5367431640625e-06,28
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who treats disorders of the nervous system is,a,neurologist,True,0.98828125,0.00029182434,0.984375,0.0002918243408203125,0.984375,0.000896453857421875,1.0,1.6689300537109375e-05,21
<|im_end|>Someone who creates written works is a writer. Someone who provides medical care to children is,a,pediatrician,True,0.99609375,0.000705719,0.99609375,0.000705718994140625,0.9921875,0.00191497802734375,1.0,9.584426879882812e-05,27
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who treats skin conditions is,a,dermatologist,True,1.0,6.580353e-05,1.0,7.486343383789062e-05,0.99609375,0.00090789794921875,0.8359375,1.475214958190918e-06,32
<|im_end|>Someone who converts text from one language to another is a translator. Someone who treats mental health disorders is,a,psychiatrist,True,0.98828125,0.00012207031,0.98828125,0.00013828277587890625,0.98828125,0.0004825592041015625,0.9296875,3.0994415283203125e-05,25
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who interprets medical images is,a,radiologist,True,0.99609375,0.000333786,0.99609375,0.0003337860107421875,0.98828125,0.0024566650390625,0.98828125,0.0001773834228515625,35
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who administers anesthesia during surgery is,an,anesthesiologist,True,0.022949219,0.97265625,0.02587890625,0.96875,0.0751953125,0.91796875,0.004608154296875,0.99609375,14
<|im_end|>Someone who writes computer code is a programmer. Someone who treats cancer patients is,an,oncologist,True,0.31835938,0.671875,0.291015625,0.69921875,0.98828125,0.00665283203125,0.0035400390625,0.984375,16
<|im_end|>Someone who heals sick pets is a veterinarian. Someone who treats eye diseases is,an,ophthalmologist,True,0.0045776367,0.98828125,0.00457763671875,0.98828125,0.020263671875,0.97265625,0.0001506805419921875,0.255859375,18
<|im_end|>Someone who helps buy and sell property is a realtor. Someone who treats bone and joint problems is,an,orthopedist,True,0.037109375,0.95703125,0.037109375,0.95703125,0.765625,0.21875,0.00116729736328125,0.99609375,21
<|im_end|>Someone who writes computer code is a programmer. Someone who studies stars and planets is,an,astronomer,True,0.020141602,0.97265625,0.017822265625,0.9765625,0.490234375,0.490234375,0.0004863739013671875,0.99609375,24
<|im_end|>Someone who teaches and conducts research at universities is a professor. Someone who studies rocks and earth formations is,a,geologist,True,0.99609375,0.00062561035,0.99609375,0.00070953369140625,0.953125,0.041748046875,1.0,3.5017728805541992e-06,23
<|im_end|>Someone who provides administrative support is a secretary. Someone who studies human cultures and societies is,an,anthropologist,True,0.025878906,0.97265625,0.02294921875,0.9765625,0.98046875,0.015869140625,9.220093488693237e-08,0.98828125,16
<|im_end|>Someone who writes poetry is a poet. Someone who studies social behavior and institutions is,a,sociologist,True,0.984375,0.0066223145,0.984375,0.006622314453125,0.68359375,0.28515625,1.0,0.0004863739013671875,13
<|im_end|>Someone who studies plants is a botanist. Someone who works with numbers and mathematical theories is,a,mathematician,True,0.9921875,0.0016937256,0.9921875,0.0016937255859375,0.9375,0.046630859375,1.0,1.0132789611816406e-05,25
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who analyzes data and calculates probabilities is,a,statistician,True,0.99609375,0.00090789795,0.99609375,0.00090789794921875,0.984375,0.0096435546875,0.99609375,0.0001392364501953125,22
<|im_end|>Someone who builds things with wood is a carpenter. Someone who studies plants is,a,botanist,True,0.99609375,0.00029563904,0.99609375,0.0002956390380859375,0.99609375,0.00131988525390625,1.0,4.5299530029296875e-05,16
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who studies animals is,a,zoologist,True,0.99609375,0.0013198853,0.99609375,0.00131988525390625,0.921875,0.06689453125,1.0,1.6540288925170898e-06,11
<|im_end|>Someone who helps buy and sell property is a realtor. Someone who studies weather patterns is,a,meteorologist,True,0.99609375,0.00037765503,0.99609375,0.0004291534423828125,0.984375,0.00665283203125,0.8984375,0.00015163421630859375,23
<|im_end|>Someone who studies plants is a botanist. Someone who studies ancient civilizations through artifacts is,an,archaeologist,True,0.01574707,0.9765625,0.01397705078125,0.98046875,0.92578125,0.06689453125,2.777576446533203e-05,0.9453125,27
<|im_end|>Someone who writes news articles is a journalist. Someone who studies languages and their structure is,a,linguist,True,0.98046875,0.0004234314,0.98046875,0.000423431396484375,0.9765625,0.0024261474609375,1.0,3.123283386230469e-05,56
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who plays instruments or composes music is,a,musician,True,0.99609375,0.00090789795,0.99609375,0.00102996826171875,0.9375,0.052978515625,0.99609375,6.943941116333008e-06,23
<|im_end|>Someone who plays instruments or composes music is a musician. Someone who creates visual art is,an,artist,True,0.022949219,0.97265625,0.0179443359375,0.98046875,0.91015625,0.08447265625,0.00213623046875,0.9765625,59
<|im_end|>Someone who dispenses medications is a pharmacist. Someone who creates three-dimensional art is,a,sculptor,True,0.96484375,0.029174805,0.96484375,0.0291748046875,0.83984375,0.146484375,0.99609375,0.0004291534423828125,17
<|im_end|>Someone who studies weather patterns is a meteorologist. Someone who performs choreographed movements is,a,dancer,True,0.99609375,0.00026130676,0.99609375,0.0002956390380859375,0.96484375,0.029052734375,0.99609375,1.5616416931152344e-05,27
<|im_end|>Someone who studies animals is a zoologist. Someone who performs in plays or movies is,an,actor,True,0.029052734,0.9609375,0.029052734375,0.9609375,0.71875,0.263671875,0.000797271728515625,0.9921875,24
<|im_end|>Someone who investigates crimes is a detective. Someone who creates written works is,a,writer,True,0.9140625,0.08496094,0.90234375,0.09521484375,0.79296875,0.2001953125,0.99609375,0.0028076171875,33
<|im_end|>Someone who administers anesthesia during surgery is an anesthesiologist. Someone who writes poetry is,a,poet,True,0.98828125,0.00033187866,0.98828125,0.000331878662109375,0.98046875,0.003997802734375,0.99609375,0.0002593994140625,26
<|im_end|>Someone who writes computer code is a programmer. Someone who writes novels is,a,novelist,True,0.69921875,0.29101562,0.69921875,0.291015625,0.5859375,0.40234375,0.99609375,0.00170135498046875,12
<|im_end|>Someone who treats teeth and gums is a dentist. Someone who reviews and revises written content is,an,editor,True,0.18066406,0.80859375,0.19921875,0.7890625,0.984375,0.005859375,3.719329833984375e-05,0.984375,25
<|im_end|>Someone who examines data and information is an analyst. Someone who converts text from one language to another is,a,translator,True,0.97265625,0.022827148,0.97265625,0.0228271484375,0.90625,0.083984375,1.0,5.14984130859375e-05,28
<|im_end|>Someone who installs and repairs roofs is a roofer. Someone who mixes and serves drinks is,a,bartender,True,0.99609375,5.1259995e-05,0.99609375,5.125999450683594e-05,0.99609375,0.0002593994140625,0.99609375,1.6689300537109375e-05,12
<|im_end|>Someone who manages financial records is an accountant. Someone who serves food in restaurants is,a,waiter,True,0.99609375,0.0002593994,0.99609375,0.0002593994140625,0.99609375,0.0003337860107421875,0.99609375,0.00015735626220703125,4
<|im_end|>Someone who plays instruments or composes music is a musician. Someone who cuts and styles hair is,a,barber,True,1.0,3.528595e-05,1.0,4.00543212890625e-05,1.0,4.5299530029296875e-05,1.0,3.528594970703125e-05,7
<|im_end|>Someone who fixes cars and engines is a mechanic. Someone who makes or alters clothing is,a,tailor,True,0.99609375,6.580353e-05,0.99609375,6.580352783203125e-05,0.99609375,0.00022983551025390625,1.0,6.139278411865234e-06,14
<|im_end|>Someone who tends to plants and landscapes is a gardener. Someone who arranges and sells flowers is,a,florist,True,0.99609375,4.529953e-05,0.99609375,4.5299530029296875e-05,0.99609375,0.00012302398681640625,1.0,1.4722347259521484e-05,7
<|im_end|>Someone who studies stars and planets is an astronomer. Someone who makes or repairs jewelry is,a,jeweler,True,0.99609375,0.00012302399,0.99609375,0.0001392364501953125,0.9921875,0.00054931640625,1.0,1.0132789611816406e-05,13
<|im_end|>Someone who examines things for quality or compliance is an inspector. Someone who repairs timepieces is,a,watchmaker,True,0.99609375,0.0016937256,0.99609375,0.001922607421875,0.9921875,0.0024566650390625,1.0,7.867813110351562e-06,16
<|im_end|>Someone who provides guidance and support is a counselor. Someone who makes and repairs locks is,a,locksmith,True,0.99609375,0.00013923645,0.99609375,0.00012302398681640625,0.99609375,0.0006256103515625,1.0,2.1457672119140625e-05,11
<|im_end|>Someone who coordinates emergency services is a dispatcher. Someone who joins metal pieces using heat is,a,welder,True,0.99609375,0.00013923645,0.99609375,0.0001583099365234375,0.99609375,0.0004863739013671875,0.98828125,6.151199340820312e-05,24
<|im_end|>Someone who studies ancient civilizations through artifacts is an archaeologist. Someone who works with stone and brick is,a,mason,True,0.9921875,0.0013122559,0.9921875,0.00148773193359375,0.98828125,0.00457763671875,0.98828125,0.000156402587890625,15
<|im_end|>Someone who works on ships is a sailor. Someone who installs and repairs roofs is,a,roofer,True,0.9921875,4.7922134e-05,0.9921875,5.435943603515625e-05,0.98828125,0.00022792816162109375,1.0,3.314018249511719e-05,13
<|im_end|>Someone who studies and writes about past events is a historian. Someone who applies paint to surfaces is,a,painter,True,0.98828125,0.0075683594,0.98828125,0.007568359375,0.404296875,0.58984375,0.99609375,2.574920654296875e-05,34
<|im_end|>Someone who oversees operations and staff is a manager. Someone who tends to plants and landscapes is,a,gardener,True,1.0,0.00026130676,1.0,0.0002613067626953125,0.9921875,0.005218505859375,1.0,1.6689300537109375e-05,22
<|im_end|>Someone who takes professional pictures is a photographer. Someone who grows crops and raises livestock is,a,farmer,True,0.99609375,9.584427e-05,0.99609375,9.584426879882812e-05,0.9921875,0.0024566650390625,1.0,0.0001087188720703125,43
<|im_end|>Someone who treats teeth and gums is a dentist. Someone who catches fish for a living is,a,fisherman,True,0.98828125,0.00033187866,0.98828125,0.0004253387451171875,0.9765625,0.0035247802734375,0.99609375,3.0994415283203125e-05,15
<|im_end|>Someone who teaches and guides athletes is a coach. Someone who works on ships is,a,sailor,True,0.98828125,0.00061798096,0.984375,0.000701904296875,0.98828125,0.0010223388671875,0.98828125,0.0003757476806640625,10
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who drives large trucks for cargo transport is,a,trucker,True,0.99609375,9.584427e-05,0.99609375,9.584426879882812e-05,0.9921875,0.000621795654296875,0.99609375,7.3909759521484375e-06,15
<|im_end|>Someone who conducts auctions is an auctioneer. Someone who leads orchestras or manages trains is,a,conductor,True,0.96484375,0.012145996,0.96484375,0.01214599609375,0.8125,0.140625,0.9765625,1.4424324035644531e-05,15
<|im_end|>Someone who studies stars and planets is an astronomer. Someone who presides over legal proceedings is,a,judge,True,0.99609375,0.0008010864,0.99609375,0.00090789794921875,0.98828125,0.008544921875,1.0,1.895427703857422e-05,40
<|im_end|>Someone who fixes cars and engines is a mechanic. Someone who investigates crimes is,a,detective,True,0.984375,0.012390137,0.98046875,0.015869140625,0.99609375,0.0021820068359375,1.0,9.584426879882812e-05,20
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who provides emergency medical care is,a,paramedic,False,0.029052734,0.96484375,0.0257568359375,0.96875,0.09423828125,0.89453125,0.02587890625,0.96875,15
<|im_end|>Someone who dispenses medications is a pharmacist. Someone who coordinates emergency services is,a,dispatcher,False,0.45703125,0.51953125,0.45703125,0.51953125,0.287109375,0.6875,0.9140625,0.06640625,6
<|im_end|>Someone who plays instruments or composes music is a musician. Someone who provides guidance and support is,a,counselor,True,0.9921875,0.0045776367,0.9921875,0.00457763671875,0.9921875,0.004058837890625,0.98828125,0.008544921875,11
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who provides treatment for physical or mental conditions is,a,therapist,True,0.96484375,0.0023956299,0.96484375,0.0027008056640625,0.921875,0.0027618408203125,0.9296875,0.028076171875,32
<|im_end|>Someone who mixes and serves drinks is a bartender. Someone who advises on diet and nutrition is,a,nutritionist,True,0.99609375,0.00010871887,0.99609375,0.0001087188720703125,0.99609375,0.0004863739013671875,0.96484375,6.389617919921875e-05,22
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who helps others develop skills or fitness is,a,trainer,True,0.9765625,0.020263672,0.9765625,0.020263671875,0.9609375,0.029052734375,0.9921875,0.0031585693359375,18
<|im_end|>Someone who examines things for quality or compliance is an inspector. Someone who teaches and guides athletes is,a,coach,True,0.99609375,0.0013198853,0.99609375,0.00131988525390625,0.96875,0.02587890625,1.0,8.404254913330078e-06,26
<|im_end|>Someone who studies ancient civilizations through artifacts is an archaeologist. Someone who enforces rules in sports is,a,referee,True,0.9296875,0.06738281,0.9296875,0.0673828125,0.95703125,0.03271484375,0.96484375,0.029052734375,17
<|im_end|>Someone who teaches and conducts research at universities is a professor. Someone who handles payments in stores is,a,cashier,True,0.9921875,0.0011672974,0.9921875,0.00131988525390625,0.984375,0.00848388671875,1.0,1.0058283805847168e-06,15
<|im_end|>Someone who studies languages and their structure is a linguist. Someone who performs administrative tasks is,a,clerk,False,0.22070312,0.76953125,0.220703125,0.76953125,0.2412109375,0.74609375,0.1474609375,0.84765625,8
<|im_end|>Someone who studies weather patterns is a meteorologist. Someone who greets visitors and answers phones is,a,receptionist,True,0.99609375,0.0005531311,0.99609375,0.000553131103515625,0.98828125,0.005859375,1.0,1.4722347259521484e-05,11
<|im_end|>Someone who studies financial systems and markets is an economist. Someone who provides administrative support is,a,secretary,False,0.1328125,0.86328125,0.1474609375,0.84765625,0.11865234375,0.875,0.79296875,0.201171875,11
<|im_end|>Someone who enforces rules in sports is a referee. Someone who oversees operations and staff is,a,manager,True,0.9921875,0.0016860962,0.9921875,0.00168609619140625,0.95703125,0.0255126953125,0.99609375,2.1338462829589844e-05,25
<|im_end|>Someone who treats cancer patients is an oncologist. Someone who directs and monitors workers is,a,supervisor,True,0.9921875,0.001914978,0.9921875,0.00191497802734375,0.984375,0.008544921875,1.0,0.00012302398681640625,22
<|im_end|>Someone who provides administrative support is a secretary. Someone who provides expert advice is,a,consultant,True,0.8125,0.18066406,0.79296875,0.2001953125,0.875,0.1181640625,0.75,0.244140625,17
