,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
4,"Sweet whispers dance on tongues of time,",time,rhyme,time,True,Eternal echoes in the rhyme.,Eternal echoes in the rhyme.,Eternal echoes in the
7,"Though flesh may fade and time may soar,",soar,more,soar,True,"The soul remains, forever more.","Though flesh may fade and time may soar,  
The soul remains, forever more.","Though flesh may fade and time may soar,  
The soul remains, forever"
8,"The drums of time beat echoes of the past,",past,last,past,True,The shadows dance with memories of the last.,The shadows dance with memories of the last.,The shadows dance with memories of the
9,"Though empires rise on whispers of might,",might,light,light,True,Yet kingdoms fall to the weight of their light.,Yet kingdoms fall to the weight of their light.,Yet kingdoms fall to the weight of their
11,"I wander shadowed halls of silent stone,",stone,known,stone,True,I seek the echoes where the lost are known.,I seek the echoes where the lost are known.,I seek the echoes where the lost are
17,"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,"A whisper of thunder, a sigh of the skies.","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh of the skies.","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh of the"
18,"Though flesh may fade and tombs may rust with time,",time,sublime,time,True,Yet souls endure in echoes of the sublime.,Yet souls endure in echoes of the sublime.,Yet souls endure in echoes of the
20,"In shadow’s clutch, the strongest will may kneel,",kneel,steel,kneel,True,But light will rise to claim the steel.,But light will rise to claim the steel.,But light will rise to claim the
21,"In strokes of light and whispers unseen,",unseen,between,unseen,True,"The night hums low, a secret between.","The night hums low, a secret between.","The night hums low, a secret"
22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing
27,"On tongues of time, flavors entwine,",entwine,twine,entwine,True,A dance of taste through ages twine.,"On tongues of time, flavors entwine,  
A dance of taste through ages twine.","On tongues of time, flavors entwine,  
A dance of taste through ages"
28,"In whispers of dawn, the soul begins to pray,",pray,ray,grey,True,A silent prayer rises in the morning's ray.,"In whispers of dawn, the soul begins to pray,  
A silent prayer rises in the morning's ray.","In whispers of dawn, the soul begins to pray,  
A silent prayer rises in the morning's"
29,"Shadows whisper secrets loud in trembling breast,",breast,crest,breast,True,Moonlight paints the silent crest.,Moonlight paints the silent crest.,Moonlight paints the silent
31,"Whispers of the hearth where the heart’s threads are spun,",spun,un,spun,True,Embers hold the secrets that the wind cannot un.,Embers hold the secrets that the wind cannot un.,Embers hold the secrets that the wind cannot
38,"Anger boils like storm in night,",night,sight,light,True,Fire burns through silent sight.,Fire burns through silent sight.,Fire burns through silent
40,"Whispers coil like shadows, cold and tight,",tight,night,light,True,Secrets cling to the night.,Secrets cling to the night.,Secrets cling to the
41,"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,A promise of hope in every day.,A promise of hope in every day.,A promise of hope in every
44,"The shadows stretch where laughter once was bright,",bright,light,light,True,The echoes whisper of a fading light.,The echoes whisper of a fading light.,The echoes whisper of a fading
45,"Beneath the canvas of twilight's embrace,",embrace,grace,embrace,True,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the silent
48,"Stars map my longing in the heavens’ sly embrace,",embrace,grace,embrace,True,Moonlight whispers secrets through the night’s soft grace.,Moonlight whispers secrets through the night’s soft grace.,Moonlight whispers secrets through the night’s soft
50,"In whispers of light, the soul finds its creed,",creed,need,creed,True,A silent prayer in the hush of the need.,"In whispers of light, the soul finds its creed,  
A silent prayer in the hush of the need.","In whispers of light, the soul finds its creed,  
A silent prayer in the hush of the"
54,"Blossoms bloom where laughter finds its way,",way,ray,grey,True,Petals dance in the morning's ray.,Petals dance in the morning's ray.,Petals dance in the morning's
57,Whispers of velvet and hues that sing—,sing,spring,sing,True,A symphony of night's gentle spring.,A symphony of night's gentle spring.,A symphony of night's gentle
58,"A shadow fades where the flame won’t die,",die,sky,sigh,True,A ghostly wail echoes in the sky.,A ghostly wail echoes in the sky.,A ghostly wail echoes in the
60,"A bond unspoken, yet deep as the sea,",sea,be,sea,True,"A whisper of love, forever to be.","A whisper of love, forever to be.","A whisper of love, forever to"
65,"In the dance of flaw and flawless light,",light,flight,light,True,A shadow twirls in the beam's bright flight.,A shadow twirls in the beam's bright flight.,A shadow twirls in the beam's bright
66,"Whispers of wind through the ancient oak's embrace,",embrace,grace,embrace,True,"Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic"
67,"In mirrored shades where shadow dares to creep,",creep,deep,sweep,True,Whispers of night in silent deep.,Whispers of night in silent deep.,Whispers of night in silent
71,"Like thunder chained to silent stone,",stone,sown,stone,True,Silence speaks in echoes sown.,Silence speaks in echoes sown.,Silence speaks in echoes
80,"I walked through the shadows where childhood once stayed,",stayed,played,stayed,True,The echoes of laughter still played.,"I walked through the shadows where childhood once stayed,  
The echoes of laughter still played.","I walked through the shadows where childhood once stayed,  
The echoes of laughter still"
82,"Whispers of yesterday dance on the winds of time,",time,rhyme,time,True,Tales of love and loss drift through the haze of rhyme.,Tales of love and loss drift through the haze of rhyme.,Tales of love and loss drift through the haze of
91,"In shadows deep where hope once danced with light,",light,night,light,True,A silent night.,A silent night.,A silent
93,"In laughter’s glow, where trust is sown,",sown,grown,stone,True,The seeds of truest love are grown.,The seeds of truest love are grown.,The seeds of truest love are
94,"Voices echo, yet no hearts collide,",collide,wide,collide,True,Silent whispers fill the wide.,Silent whispers fill the wide.,Silent whispers fill the
96,"In the shadowed heart where two winds meet,",meet,street,deceit,True,A silent scream in the darkened street.,A silent scream in the darkened street.,A silent scream in the darkened
97,"Beneath the silence where whispers used to play,",play,away,grey,True,"A hush now reigns, where echoes fade away.","A hush now reigns, where echoes fade away.","A hush now reigns, where echoes fade"
100,"In twilight’s hush, where hearts exhale,",exhale,unveil,exhale,True,The stars above begin to unveil.,The stars above begin to unveil.,The stars above begin to
104,"Footprints in the dust of days gone by,",by,sky,sigh,True,"Echoes of the past, still lingering in the sky.","Echoes of the past, still lingering in the sky.","Echoes of the past, still lingering in the"
111,"The thunder in his chest begins to roar,",roar,shore,soar,True,The storm inside him breaks the shore.,The storm inside him breaks the shore.,The storm inside him breaks the
114,"The elder chants as clocks devour time,",time,rhyme,time,True,"A melody of years, a whispered rhyme.","The elder chants as clocks devour time,  
A melody of years, a whispered rhyme.","The elder chants as clocks devour time,  
A melody of years, a whispered"
116,"Silent nights where echoes dwell,",dwell,hell,dwell,True,Whispers hush the trembling hell.,Whispers hush the trembling hell.,Whispers hush the trembling
126,"Whispers of dread in the silence they creep,",creep,sleep,sweep,True,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they
127,"In twilight's hush, where shadows dare to speak,",speak,meek,speak,True,The stars above whisper secrets to the meek.,The stars above whisper secrets to the meek.,The stars above whisper secrets to the
133,"The hush of time whispers tales of the old,",old,cold,told,True,A ghostly song in the silence of the cold.,"The hush of time whispers tales of the old,  
A ghostly song in the silence of the cold.","The hush of time whispers tales of the old,  
A ghostly song in the silence of the"
